actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-04T00:10:16.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-04T00:10:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-04T00:10:18.4Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2024-04-04T00:10:18Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. J. Valanciunas: Tip to J. Suggs,"[1630591, 1628976, 202685]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-04-04T00:10:31.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,11.038107752956636,51.79993872549019,1610612753,0,0,2024-04-04T00:11:31Z,70000,False,-9.0,51.0,1,left,MISS P. Banchero driving floating Shot,[1631094],1610612753.0,ORL,driving floating,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,5.21,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-04-04T00:10:32.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2024-04-04T00:10:39Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-04-04T00:10:37.3Z,1,REGULAR,foul,personal,[],1630529,,,1610612753,0,0,2024-04-04T00:10:48Z,90000,False,,,0,,H. Jones loose ball personal FOUL (1 PF),"[1630529, 1628976]",1610612740.0,NOP,loose ball,,,Jones,H. Jones,,,,,Mid-Range,8-16 Right,,,,1627519.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,,,,
11,PT11M32.00S,2024-04-04T00:11:02.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631094,16.4257555847569,49.24172794117647,1610612753,0,0,2024-04-04T00:11:11Z,110000,False,4.0,102.0,1,left,MISS P. Banchero 10' floating Shot,[1631094],1610612753.0,ORL,floating,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,10.2,Missed,,,,,,,,,,,,,,,,,,
12,PT11M29.00S,2024-04-04T00:11:05.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2024-04-04T00:11:11Z,120000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,11.0,,,,,,1.0,1.0,0.0,,,,,,,,,
13,PT11M19.00S,2024-04-04T00:11:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,94.82588699080158,51.470588235294116,1610612740,2,0,2024-04-04T00:12:05Z,130000,False,7.0,-4.0,1,right,J. Valanciunas Layup (2 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,0.84,Made,,,,,,,,,,2.0,C. McCollum,203468.0,1.0,,,,,
15,PT10M56.00S,2024-04-04T00:11:38.0Z,1,REGULAR,2pt,Jump Shot,[],1630591,20.97568988173456,50.0,1610612753,2,0,2024-04-04T00:11:55Z,150000,False,0.0,145.0,1,left,MISS J. Suggs 14' floating Shot,[1630591],1610612753.0,ORL,floating,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Center,14.47,Missed,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2024-04-04T00:11:40.0Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,2,0,2024-04-04T00:11:55Z,160000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Center,,,15.0,,,,,,1.0,0.0,1.0,,,,,,,,,
