actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-24T01:10:29.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-24T01:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-24T01:10:31.5Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2024-01-24T01:10:31Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. J. Collins: Tip to Z. Williamson,"[1629627, 202685, 1628381]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Valanciunas,202685.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-01-24T01:10:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,4.944152431011826,54.90196078431373,1610612740,0,0,2024-01-24T01:10:54Z,70000,False,-25.0,-6.0,1,left,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.52,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-01-24T01:10:51.5Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,0,0,2024-01-24T01:10:51Z,80000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2024-01-24T01:10:54.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627739,94.69448094612353,94.6078431372549,1610612762,0,0,2024-01-24T01:11:24Z,90000,False,223.0,-3.0,1,right,MISS K. Dunn running 3PT,[1627739],1610612762.0,UTA,running,,,Dunn,K. Dunn,,,,,Right Corner 3,24+ Right,22.3,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2024-01-24T01:10:57.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,0,0,2024-01-24T01:11:01Z,100000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M20.00S,2024-01-24T01:11:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,6.258212877792378,57.107843137254896,1610612740,0,0,2024-01-24T01:11:53Z,110000,False,-36.0,6.0,1,left,MISS B. Ingram driving Layup - blocked,"[1627742, 1628381]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,3.61,Missed,,,,,Collins,1628381.0,,,,,,,,,,,,
12,PT11M20.00S,2024-01-24T01:11:07.6Z,1,REGULAR,block,,[],1628381,,,1610612740,0,0,2024-01-24T01:11:10Z,120000,False,,,0,,J. Collins BLOCK (1 BLK),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2024-01-24T01:11:10.6Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,0,0,2024-01-24T01:11:16Z,130000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT11M13.00S,2024-01-24T01:11:16.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,92.72339027595268,49.01960784313725,1610612762,0,2,2024-01-24T01:12:31Z,140000,False,-5.0,16.0,1,right,L. Markkanen driving Layup (2 PTS),[1628374],1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,1.66,Made,,,,,,,2.0,,,,,,,,,,,
