actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-03-16T00:10:26.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-16T00:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-16T00:10:28.5Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2024-03-16T00:10:28Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. I. Zubac: Tip to C. McCollum,"[203468, 202685, 1627826]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-03-16T00:10:45.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,5.338370565045992,26.715686274509803,1610612740,0,0,2024-03-16T00:11:13Z,70000,False,116.0,-2.0,1,left,MISS B. Ingram 11' turnaround fadeaway Shot,[1627742],1610612740.0,NOP,turnaround fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,11.64,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-03-16T00:10:48.4Z,1,REGULAR,rebound,defensive,[],1630538,,,1610612746,0,0,2024-03-16T00:10:50Z,80000,False,,,0,,B. Hyland REBOUND (Off:0 Def:1),[1630538],1610612746.0,LAC,,,,Hyland,B. Hyland,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-03-16T00:11:03.5Z,1,REGULAR,3pt,Jump Shot,[],1630538,70.77858081471747,75.73529411764706,1610612746,0,0,2024-03-16T00:11:08Z,90000,False,129.0,222.0,1,right,MISS B. Hyland 25' step back 3PT,[1630538],1610612746.0,LAC,step back,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2024-03-16T00:11:07.5Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,0,0,2024-03-16T00:11:08Z,100000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M06.00S,2024-03-16T00:11:18.6Z,1,REGULAR,3pt,Jump Shot,[],202685,26.231931668856767,82.84313725490196,1610612740,0,0,2024-03-16T00:11:23Z,110000,False,-164.0,194.0,1,left,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,25.42,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2024-03-16T00:11:20.6Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,0,0,2024-03-16T00:11:23Z,120000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M54.00S,2024-03-16T00:11:31.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,84.05059132720105,49.754901960784316,1610612746,0,2,2024-03-16T00:11:36Z,130000,False,-1.0,97.0,1,right,P. George 9' turnaround fadeaway Jump Shot (2 PTS),[202331],1610612746.0,LAC,turnaround fadeaway,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,9.74,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M39.00S,2024-03-16T00:11:48.7Z,1,REGULAR,foul,personal,[],202695,,,1610612740,0,2,2024-03-16T00:11:55Z,140000,False,,,0,,K. Leonard personal FOUL (1 PF),"[202695, 202685]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202056.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,
