actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-24T01:10:31.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-24T01:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-24T01:10:34.5Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2024-02-24T01:10:34Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. B. Adebayo: Tip to C. McCollum,"[203468, 202685, 1628389]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-02-24T01:11:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,93.51182654402102,54.90196078431373,1610612740,0,0,2024-02-24T01:11:11Z,80000,False,25.0,8.0,1,right,MISS J. Valanciunas Layup,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.59,Missed,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2024-02-24T01:11:08.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2024-02-24T01:11:12Z,90000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M26.00S,2024-02-24T01:11:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,10.85742444152431,50.245098039215684,1610612748,0,2,2024-02-24T01:11:24Z,100000,False,-1.0,50.0,1,left,B. Adebayo cutting Layup (2 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,4.96,Made,,,,,2.0,T. Herro,1629639.0,1.0,,,,,,,,,,
11,PT11M04.00S,2024-02-24T01:11:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,88.64980289093299,50.0,1610612740,2,2,2024-02-24T01:11:44Z,110000,False,0.0,54.0,1,right,H. Jones driving Layup (2 PTS) (Z. Williamson 1 AST),"[1630529, 1629627]",1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,5.42,Made,,,,,2.0,Z. Williamson,1629627.0,1.0,,,,,,,,,,
13,PT10M39.00S,2024-02-24T01:12:06.8Z,1,REGULAR,turnover,out-of-bounds,[],1628997,,,1610612748,2,2,2024-02-24T01:12:18Z,130000,False,,,0,,C. Martin lost ball out-of-bounds TURNOVER (1 TO),[1628997],1610612748.0,MIA,lost ball,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,,,,,,,,,
14,PT10M24.00S,2024-02-24T01:12:27.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630530,84.70762155059133,23.774509803921568,1610612740,2,2,2024-02-24T01:12:37Z,140000,False,-131.0,91.0,1,right,MISS T. Murphy III 15' Jump Shot,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,8-16 Left,15.97,Missed,,,,,,,,,,,,,,,,,,
15,PT10M21.00S,2024-02-24T01:12:30.6Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,2,2,2024-02-24T01:12:37Z,150000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M13.00S,2024-02-24T01:12:38.3Z,1,REGULAR,3pt,Jump Shot,[],202710,30.042706964520367,71.56862745098039,1610612748,2,5,2024-02-24T01:12:44Z,160000,False,-108.0,230.0,1,left,J. Butler 25' 3PT  (3 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,25.39,Made,,,,,3.0,,,,,,,,,,,,,
17,PT10M02.00S,2024-02-24T01:12:50.0Z,1,REGULAR,2pt,Jump Shot,[],202685,85.75886990801577,69.11764705882352,1610612740,2,5,2024-02-24T01:13:02Z,170000,False,96.0,81.0,1,right,MISS J. Valanciunas 12' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,12.56,Missed,,,,,,,,,,,,,,,,,,
18,PT09M59.00S,2024-02-24T01:12:53.0Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,2,5,2024-02-24T01:16:55Z,180000,False,,,0,,N. Jovic REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Mid-Range,8-16 Right,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT09M56.00S,2024-02-24T01:12:57.8Z,1,REGULAR,foul,personal,['2freethrow'],1629627,,,1610612748,2,5,2024-02-24T01:13:24Z,190000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Butler 2 FT),"[1629627, 202710]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,200832.0,1.0,0.0,Butler,202710.0,,,,
21,PT09M56.00S,2024-02-24T01:13:26.6Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,2,6,2024-02-24T01:13:26Z,210000,False,,,0,,J. Butler Free Throw 1 of 2 (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
22,PT09M56.00S,2024-02-24T01:13:41.5Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,2,7,2024-02-24T01:13:41Z,220000,False,,,0,,J. Butler Free Throw 2 of 2 (5 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
23,PT09M47.00S,2024-02-24T01:13:52.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,92.19776609724047,53.431372549019606,1610612740,2,7,2024-02-24T01:14:02Z,230000,False,17.0,21.0,1,right,MISS C. McCollum driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.7,Missed,,,,,,,,,,,,,,,,,,
24,PT09M43.00S,2024-02-24T01:13:56.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,7,2024-02-24T01:14:02Z,240000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT09M40.00S,2024-02-24T01:13:58.7Z,1,REGULAR,turnover,out-of-bounds,[],1631107,,,1610612748,2,7,2024-02-24T01:14:16Z,250000,False,,,0,,N. Jovic bad pass out-of-bounds TURNOVER (1 TO),[1631107],1610612748.0,MIA,bad pass,,,Jovic,N. Jovic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,2005.0,,,,,,,,
27,PT09M29.00S,2024-02-24T01:14:15.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629627,92.72339027595268,47.05882352941176,1610612740,4,7,2024-02-24T01:14:22Z,270000,False,-15.0,16.0,1,right,Z. Williamson driving reverse Layup (2 PTS),[1629627],1610612740.0,NOP,driving reverse,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.17,Made,,,,,2.0,,,,,,,,,,,,,
28,PT09M14.00S,2024-02-24T01:14:28.4Z,1,REGULAR,3pt,Jump Shot,[],1628997,30.436925098554536,77.45098039215686,1610612748,4,10,2024-02-24T01:16:43Z,280000,False,-137.0,234.0,1,left,C. Martin 27' 3PT  (3 PTS) (T. Herro 2 AST),"[1628997, 1629639]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,27.1,Made,,,,,3.0,T. Herro,1629639.0,2.0,,,,,,,,,,
30,PT09M01.00S,2024-02-24T01:14:41.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,88.78120893561103,56.127450980392155,1610612740,4,10,2024-02-24T01:14:46Z,300000,False,31.0,53.0,1,right,MISS Z. Williamson 6' driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,6.12,Missed,,,,,,,,,,,,,,,,,,
31,PT08M59.00S,2024-02-24T01:14:43.8Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,4,10,2024-02-24T01:14:46Z,310000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT08M55.00S,2024-02-24T01:14:48.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629639,9.806176084099869,51.9607843137255,1610612748,4,12,2024-02-24T01:14:56Z,320000,False,-10.0,40.0,1,left,T. Herro running Layup (2 PTS),[1629639],1610612748.0,MIA,running,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,4.09,Made,,,,,2.0,,,,,,,,,,,,,
33,PT08M48.00S,2024-02-24T01:14:59.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,4,12,2024-02-24T01:14:59Z,330000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M34.00S,2024-02-24T01:18:07.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,91.93495400788436,39.21568627450981,1610612740,4,12,2024-02-24T01:18:16Z,340000,False,-54.0,23.0,1,right,MISS J. Valanciunas turnaround fadeaway Shot,[202685],1610612740.0,NOP,turnaround fadeaway,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,5.87,Missed,,,,,,,,,,,,,,,,,,
36,PT08M32.00S,2024-02-24T01:18:09.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,4,12,2024-02-24T01:18:09Z,350000,False,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,,
37,PT08M28.00S,2024-02-24T01:18:16.9Z,1,REGULAR,turnover,lost ball,[],1629639,,,1610612748,4,12,2024-02-24T01:18:21Z,360000,False,,,0,,T. Herro lost ball TURNOVER (1 TO),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,,,,,,,,,
39,PT08M28.00S,2024-02-24T01:18:20.5Z,1,REGULAR,foul,personal,[],1629639,,,1610612740,4,12,2024-02-24T02:17:22Z,380000,False,,,0,,T. Herro loose ball personal FOUL (1 PF),"[1629639, 1630530]",1610612748.0,MIA,loose ball,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,200832.0,1.0,0.0,Murphy III,1630530.0,,,,
41,PT08M14.00S,2024-02-24T01:18:58.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,69.46452036793693,76.7156862745098,1610612740,4,12,2024-02-24T01:19:08Z,400000,False,134.0,235.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,26.99,Missed,,,,,,,,,,,,,,,,,,
