actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-20T00:35:35.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-20T00:35:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-20T00:35:38.1Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2023-12-20T00:35:38Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. J. Jackson Jr.: Tip to C. McCollum,"[203468, 202685, 1628991]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-12-20T00:35:58.2Z,1,REGULAR,2pt,Jump Shot,[],1627742,20.844283837056505,23.774509803921568,1610612740,2,0,2023-12-20T00:36:03Z,70000,False,131.0,143.0,1,left,B. Ingram 19' fadeaway Jump Shot (2 PTS) (H. Jones 1 AST),"[1627742, 1630529]",1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right Center,19.43,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-12-20T00:36:22.5Z,1,REGULAR,foul,personal,['2freethrow'],1629627,,,1610612763,2,0,2023-12-20T00:36:33Z,90000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Morant 2 FT),"[1629627, 1629630]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2534.0,1.0,0.0,Morant,1629630.0,,,,,,,,,
11,PT11M22.00S,2023-12-20T00:36:37.6Z,1,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,2,1,2023-12-20T00:36:37Z,110000,False,,,0,,J. Morant Free Throw 1 of 2 (1 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2023-12-20T00:36:37.6Z,1,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,2,1,2023-12-20T00:36:54Z,120000,False,,,0,,MISS J. Morant Free Throw 2 of 2,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M19.00S,2023-12-20T00:36:40.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,1,2023-12-20T00:36:54Z,130000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT11M10.00S,2023-12-20T00:37:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,7.440867279894875,53.18627450980392,1610612740,2,1,2023-12-20T00:37:08Z,140000,False,-16.0,17.0,1,left,MISS C. McCollum driving Layup - blocked,"[203468, 1631246]",1610612740.0,NOP,driving,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.36,Missed,,,,,,,,,,,,,,Williams Jr.,1631246.0,,,
15,PT11M10.00S,2023-12-20T00:37:03.9Z,1,REGULAR,block,,[],1631246,,,1610612740,2,1,2023-12-20T00:37:06Z,150000,False,,,0,,V. Williams Jr. BLOCK (1 BLK),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M06.00S,2023-12-20T00:37:07.9Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612763,2,1,2023-12-20T00:37:08Z,160000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:1),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
