actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-02T01:10:22.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-02T01:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-02T01:10:25.8Z,1,REGULAR,jumpball,recovered,[],1630174,,,1610612754,0,0,2024-03-02T01:10:25Z,40000,False,,,0,,Jump Ball M. Turner vs. J. Valanciunas: Tip to A. Nesmith,"[1630174, 1626167, 202685]",1610612754.0,IND,startperiod,A. Nesmith,1630174.0,Nesmith,A. Nesmith,Turner,1626167.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-03-02T01:10:45.2Z,1,REGULAR,3pt,Jump Shot,[],1627783,5.601182654402102,4.6568627450980395,1610612754,0,3,2024-03-02T01:10:51Z,70000,False,227.0,0.0,1,left,P. Siakam 3PT  (3 PTS) (A. Nesmith 1 AST),"[1627783, 1630174]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Right Corner 3,24+ Right,22.67,Made,3.0,A. Nesmith,1630174.0,1.0,,,,,,,,,,,,,,
9,PT11M15.00S,2024-03-02T01:11:06.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629627,94.95729303547962,46.568627450980394,1610612740,2,3,2024-03-02T01:11:11Z,90000,False,-17.0,-5.0,1,right,Z. Williamson cutting DUNK (2 PTS) (H. Jones 1 AST),"[1629627, 1630529]",1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.79,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,
11,PT11M05.00S,2024-03-02T01:11:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,12.040078843626807,46.07843137254902,1610612754,2,5,2024-03-02T01:11:22Z,110000,False,20.0,61.0,1,left,P. Siakam 6' driving Layup (5 PTS) (T. Haliburton 1 AST),"[1627783, 1630169]",1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,6.38,Made,5.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
13,PT10M56.00S,2024-03-02T01:11:29.4Z,1,REGULAR,foul,offensive,[],202685,,,1610612740,2,5,2024-03-02T01:11:40Z,130000,False,,,0,,J. Valanciunas offensive FOUL (1 PF),"[202685, 1627783]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204059.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,
15,PT10M56.00S,2024-03-02T01:11:29.4Z,1,REGULAR,turnover,offensive foul,[],202685,,,1610612740,2,5,2024-03-02T01:11:29Z,150000,False,,,0,,J. Valanciunas offensive foul TURNOVER (1 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204059.0,,,,,1.0,,,,,,,,
16,PT10M43.00S,2024-03-02T01:11:54.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627783,23.603810775295663,69.85294117647058,1610612754,2,5,2024-03-02T01:12:57Z,160000,False,-99.0,169.0,1,left,MISS P. Siakam 19' step back Shot,[1627783],1610612754.0,IND,step back,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,19.64,Missed,,,,,,,,,,,,,,,,,,
17,PT10M40.00S,2024-03-02T01:11:57.9Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,2,5,2024-03-02T01:12:00Z,170000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
18,PT10M30.00S,2024-03-02T01:12:07.7Z,1,REGULAR,3pt,Jump Shot,[],202685,69.33311432325887,64.2156862745098,1610612740,5,5,2024-03-02T01:12:13Z,180000,False,71.0,236.0,1,right,J. Valanciunas 24' 3PT  (3 PTS) (Z. Williamson 1 AST),"[202685, 1629627]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,24.63,Made,3.0,Z. Williamson,1629627.0,1.0,,,,,,,,,,,,,,
20,PT10M19.00S,2024-03-02T01:12:18.4Z,1,REGULAR,3pt,Jump Shot,[],1630169,24.52365308804205,86.76470588235294,1610612754,5,5,2024-03-02T01:13:57Z,200000,False,-184.0,178.0,1,left,MISS T. Haliburton 25' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,25.59,Missed,,,,,,,,,,,,,,,,,,
21,PT10M16.00S,2024-03-02T01:12:21.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,5,2024-03-02T01:12:24Z,210000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,
22,PT10M07.00S,2024-03-02T01:12:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,86.5473061760841,54.166666666666664,1610612740,5,5,2024-03-02T01:15:33Z,220000,False,21.0,74.0,1,right,MISS B. Ingram 7' driving Layup - blocked,"[1627742, 1626167]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,7.69,Missed,,,,,,,,,,,,,,,Turner,1626167.0,,
