actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
16,PT10M47.00S,2024-02-15T01:11:32.3Z,1,REGULAR,turnover,offensive foul,[],1630529,,,1610612740,0,3,2024-02-15T01:11:32Z,160000,False,,,0,,H. Jones offensive foul TURNOVER (1 TO),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Right Center,,,,,,,,201245.0,,,,,1.0,,,,,,,
17,PT10M27.00S,2024-02-15T01:11:57.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641731,10.068988173455978,52.69607843137255,1610612764,0,3,2024-02-15T01:12:11Z,170000,False,-13.0,42.0,1,left,MISS B. Coulibaly driving Layup - blocked,"[1641731, 1629627]",1610612764.0,WAS,driving,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,4.42,Missed,,,,,,,,,,,,Williamson,1629627.0,,,,,
18,PT10M27.00S,2024-02-15T01:11:57.8Z,1,REGULAR,block,,[],1629627,,,1610612764,0,3,2024-02-15T01:12:00Z,180000,False,,,0,,Z. Williamson BLOCK (1 BLK),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M27.00S,2024-02-15T01:11:57.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,0,3,2024-02-15T01:12:05Z,190000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,,,,,,,,,,,,,,,,,
21,PT10M16.00S,2024-02-15T01:12:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,88.25558475689881,50.0,1610612740,0,3,2024-02-15T01:12:39Z,210000,False,0.0,58.0,1,right,MISS J. Valanciunas floating Shot - blocked,"[202685, 1628963]",1610612740.0,NOP,floating,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,5.79,Missed,,,,,,,,,,,,Bagley III,1628963.0,,,,,
22,PT10M16.00S,2024-02-15T01:12:17.7Z,1,REGULAR,block,,[],1628963,,,1610612740,0,3,2024-02-15T01:12:19Z,220000,False,,,0,,M. Bagley III BLOCK (1 BLK),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M11.00S,2024-02-15T01:12:22.7Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,0,3,2024-02-15T01:12:23Z,230000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M09.00S,2024-02-15T01:12:30.3Z,1,REGULAR,turnover,bad pass,[],1641731,,,1610612764,0,3,2024-02-15T01:12:39Z,240000,False,,,0,,B. Coulibaly bad pass TURNOVER (1 TO),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1.0,,,,,,,
25,PT10M09.00S,2024-02-15T01:12:34.8Z,1,REGULAR,foul,personal,[],1629673,,,1610612740,0,3,2024-02-15T01:12:41Z,250000,False,,,0,,J. Poole loose ball personal FOUL (1 PF),"[1629673, 1630529]",1610612764.0,WAS,loose ball,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,,,,,,,,2530.0,1.0,0.0,Jones,1630529.0,,,,,,,,
27,PT10M07.00S,2024-02-15T01:12:50.5Z,1,REGULAR,foul,personal,[],1641731,,,1610612740,0,3,2024-02-15T01:12:58Z,270000,False,,,0,,B. Coulibaly personal FOUL (1 PF),"[1641731, 1627742]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Center,,,,,,,,201245.0,1.0,0.0,Ingram,1627742.0,,,,,,,,
31,PT10M00.00S,2024-02-15T01:13:33.3Z,1,REGULAR,foul,personal,['2freethrow'],1641731,,,1610612740,0,3,2024-02-15T01:13:41Z,310000,False,,,0,,B. Coulibaly shooting personal FOUL (2 PF) (Ingram 2 FT),"[1641731, 1627742]",1610612764.0,WAS,shooting,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,8-16 Right,,,,,,,,1630886.0,2.0,0.0,Ingram,1627742.0,,,,,,,,
33,PT10M00.00S,2024-02-15T01:13:59.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627742,,,1610612740,1,3,2024-02-15T01:13:59Z,330000,False,,,0,,B. Ingram Free Throw 1 of 2 (1 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
34,PT10M00.00S,2024-02-15T01:14:16.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627742,,,1610612740,2,3,2024-02-15T01:14:16Z,340000,False,,,0,,B. Ingram Free Throw 2 of 2 (2 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
35,PT09M45.00S,2024-02-15T01:14:34.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628963,16.507884362680684,49.26470588235294,1610612764,2,3,2024-02-15T01:14:39Z,350000,False,4.0,103.0,1,left,MISS M. Bagley III 10' floating Shot,[1628963],1610612764.0,WAS,floating,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),8-16 Center,10.28,Missed,,,,,,,,,,,,,,,,,,
