actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
71,PT07M01.00S,2024-02-15T01:18:45.8Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,9,7,2024-02-15T01:18:47Z,710000,False,,,0,,H. Jones REBOUND (Off:0 Def:3),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,,,70.0,3.0,3.0,0.0,,,,,,,,,,,,,,
72,PT06M57.00S,2024-02-15T01:18:50.2Z,1,REGULAR,turnover,lost ball,[],1630529,,,1610612740,9,7,2024-02-15T01:18:54Z,720000,False,,,0,,H. Jones lost ball TURNOVER (2 TO),"[1630529, 1629673]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,2.0,,,Poole,1629673.0,,,
73,PT06M57.00S,2024-02-15T01:18:50.2Z,1,REGULAR,steal,,[],1629673,,,1610612764,9,7,2024-02-15T01:18:53Z,730000,False,,,0,,J. Poole STEAL (1 STL),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
74,PT06M51.00S,2024-02-15T01:18:55.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1641731,23.47240473061761,11.519607843137255,1610612764,9,7,2024-02-15T01:20:33Z,740000,False,192.0,168.0,1,left,MISS B. Coulibaly 25' running 3PT,[1641731],1610612764.0,WAS,running,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,25.55,Missed,,,,,,,,,,,,,,,,,,
75,PT06M46.00S,2024-02-15T01:19:00.8Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612764,9,7,2024-02-15T01:19:02Z,750000,False,,,0,,M. Bagley III REBOUND (Off:4 Def:0),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Right Center,,,74.0,4.0,0.0,4.0,,,,,,,,,,,,,,
76,PT06M45.00S,2024-02-15T01:19:01.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628963,6.258212877792378,49.754901960784316,1610612764,9,9,2024-02-15T01:19:06Z,760000,False,1.0,6.0,1,left,M. Bagley III DUNK (4 PTS) (D. Avdija 1 AST),"[1628963, 1630166]",1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,0.64,Made,,,,,4.0,,,,,,,,,,,D. Avdija,1630166.0,1.0
78,PT06M30.00S,2024-02-15T01:19:17.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,86.41590013140605,46.81372549019608,1610612740,9,9,2024-02-15T01:26:12Z,780000,False,-16.0,75.0,1,right,MISS Z. Williamson 7' turnaround Shot - blocked,"[1629627, 1630166]",1610612740.0,NOP,turnaround,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,7.69,Missed,,,,,,,,,,,,Avdija,1630166.0,,,,,
151,PT06M30.00S,2024-02-15T01:19:17.5Z,1,REGULAR,block,,[],1630166,,,1610612740,9,9,2024-02-15T01:31:40Z,785000,False,,,0,,D. Avdija BLOCK (1 BLK),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
79,PT06M27.00S,2024-02-15T01:19:20.5Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612764,9,9,2024-02-15T01:19:22Z,790000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT06M26.00S,2024-02-15T01:19:24.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628963,6.652431011826544,49.50980392156863,1610612764,9,9,2024-02-15T01:23:37Z,800000,False,2.0,10.0,1,left,MISS M. Bagley III running Layup - blocked,"[1628963, 1630529]",1610612764.0,WAS,running,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,1.03,Missed,,,,,,,,,,,,Jones,1630529.0,,,,,
81,PT06M26.00S,2024-02-15T01:19:24.5Z,1,REGULAR,block,,[],1630529,,,1610612764,9,9,2024-02-15T01:19:27Z,810000,False,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
82,PT06M26.00S,2024-02-15T01:19:24.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,9,9,2024-02-15T01:19:29Z,820000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,80.0,,,,,,,,,,,,,,,,,
84,PT06M26.00S,2024-02-15T01:19:34.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,9,9,2024-02-15T01:19:34Z,840000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M26.00S,2024-02-15T01:22:05.7Z,1,REGULAR,substitution,out,[],1629627,,,1610612764,9,9,2024-02-15T01:22:17Z,850000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M26.00S,2024-02-15T01:22:05.7Z,1,REGULAR,substitution,out,[],1629673,,,1610612764,9,9,2024-02-15T01:22:17Z,860000,False,,,0,,SUB out: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M26.00S,2024-02-15T01:22:05.7Z,1,REGULAR,substitution,in,[],1630530,,,1610612764,9,9,2024-02-15T01:22:17Z,870000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M26.00S,2024-02-15T01:22:05.7Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,9,9,2024-02-15T01:22:17Z,880000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT06M23.00S,2024-02-15T01:22:34.9Z,1,REGULAR,foul,personal,[],1630529,,,1610612764,9,9,2024-02-15T01:22:42Z,890000,False,,,0,,H. Jones personal FOUL (2 PF),"[1630529, 1630166]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,8-16 Right,,,,,,,,201245.0,2.0,0.0,Avdija,1630166.0,,,,,,,,
91,PT06M23.00S,2024-02-15T01:22:47.2Z,1,REGULAR,substitution,out,[],1630529,,,1610612764,9,9,2024-02-15T01:22:50Z,910000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT06M23.00S,2024-02-15T01:22:47.2Z,1,REGULAR,substitution,in,[],1630230,,,1610612764,9,9,2024-02-15T01:22:50Z,920000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT06M21.00S,2024-02-15T01:23:03.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630557,27.54599211563732,21.568627450980394,1610612764,9,9,2024-02-15T01:24:13Z,930000,False,142.0,206.0,1,left,MISS C. Kispert 25' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,25.06,Missed,,,,,,,,,,,,,,,,,,
94,PT06M17.00S,2024-02-15T01:23:07.1Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612764,9,9,2024-02-15T01:23:07Z,940000,False,,,0,,D. Avdija REBOUND (Off:1 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,93.0,2.0,1.0,1.0,,,,,,,,,,,,,,
95,PT06M16.00S,2024-02-15T01:23:08.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630166,20.18725361366623,47.549019607843135,1610612764,9,9,2024-02-15T01:25:03Z,950000,False,12.0,137.0,1,left,MISS D. Avdija 13' pullup Shot,[1630166],1610612764.0,WAS,pullup,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,13.78,Missed,,,,,,,,,,,,,,,,,,
96,PT06M13.00S,2024-02-15T01:23:11.7Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,9,9,2024-02-15T01:23:13Z,960000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,95.0,1.0,1.0,0.0,,,,,,,,,,,,,,
97,PT06M02.00S,2024-02-15T01:23:22.6Z,1,REGULAR,3pt,Jump Shot,[],1630530,90.88370565045992,3.6764705882352944,1610612740,9,9,2024-02-15T01:23:27Z,970000,False,-232.0,33.0,1,right,MISS T. Murphy III 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Left Corner 3,24+ Left,23.4,Missed,,,,,,,,,,,,,,,,,,
98,PT05M58.00S,2024-02-15T01:23:26.6Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,9,9,2024-02-15T01:23:27Z,980000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Left Corner 3,24+ Left,,,97.0,3.0,2.0,1.0,,,,,,,,,,,,,,
99,PT05M54.00S,2024-02-15T01:23:29.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203468,93.51182654402102,55.392156862745104,1610612740,11,9,2024-02-15T01:25:32Z,990000,False,27.0,8.0,1,right,C. McCollum driving floating bank Jump Shot (2 PTS) (J. Valanciunas 2 AST),"[203468, 202685]",1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.83,Made,,,,,2.0,,,,,,,,,,,J. Valanciunas,202685.0,2.0
101,PT05M43.00S,2024-02-15T01:23:43.1Z,1,REGULAR,turnover,traveling,[],1628963,,,1610612764,11,9,2024-02-15T01:23:51Z,1010000,False,,,0,,M. Bagley III traveling TURNOVER (1 TO),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Left Center,,,,,,,,2530.0,,,,,1.0,,,,,,,
102,PT05M43.00S,2024-02-15T01:23:47.6Z,1,REGULAR,substitution,out,[],202685,,,1610612740,11,9,2024-02-15T01:23:52Z,1020000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT05M43.00S,2024-02-15T01:23:47.6Z,1,REGULAR,substitution,in,[],1626204,,,1610612740,11,9,2024-02-15T01:23:52Z,1030000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT05M30.00S,2024-02-15T01:24:16.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,69.07030223390277,69.85294117647058,1610612740,11,9,2024-02-15T01:24:22Z,1040000,False,99.0,238.0,1,right,MISS C. McCollum 25' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,25.81,Missed,,,,,,,,,,,,,,,,,,
105,PT05M27.00S,2024-02-15T01:24:19.9Z,1,REGULAR,rebound,offensive,[],1626204,,,1610612740,11,9,2024-02-15T01:24:22Z,1050000,False,,,0,,L. Nance Jr. REBOUND (Off:1 Def:0),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Right Center,,,104.0,1.0,0.0,1.0,,,,,,,,,,,,,,
106,PT05M25.00S,2024-02-15T01:24:22.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203468,72.09264126149803,21.07843137254902,1610612740,14,9,2024-02-15T01:24:26Z,1060000,False,-145.0,210.0,1,right,C. McCollum 25' 3PT  (5 PTS) (L. Nance Jr. 1 AST),"[203468, 1626204]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.48,Made,,,,,5.0,,,,,,,,,,,L. Nance Jr.,1626204.0,1.0
108,PT05M14.00S,2024-02-15T01:24:32.0Z,1,REGULAR,turnover,bad pass,[],1630557,,,1610612764,14,9,2024-02-15T01:24:36Z,1080000,False,,,0,,C. Kispert bad pass TURNOVER (1 TO),"[1630557, 1630230]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1.0,,,Marshall,1630230.0,,,
109,PT05M14.00S,2024-02-15T01:24:32.0Z,1,REGULAR,steal,,[],1630230,,,1610612740,14,9,2024-02-15T01:24:34Z,1090000,False,,,0,,N. Marshall STEAL (1 STL),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
110,PT04M53.00S,2024-02-15T01:24:54.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203468,87.20433639947439,41.911764705882355,1610612740,16,9,2024-02-15T01:24:59Z,1100000,False,-40.0,68.0,1,right,C. McCollum 7' driving floating Jump Shot (7 PTS) (B. Ingram 1 AST),"[203468, 1627742]",1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,7.89,Made,,,,,7.0,,,,,,,,,,,B. Ingram,1627742.0,1.0
113,PT04M46.00S,2024-02-15T01:25:07.2Z,1,REGULAR,substitution,out,[],1628963,,,1610612764,16,9,2024-02-15T01:25:13Z,1130000,False,,,0,,SUB out: M. Bagley III,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M46.00S,2024-02-15T01:25:07.2Z,1,REGULAR,substitution,in,[],1626158,,,1610612764,16,9,2024-02-15T01:25:13Z,1140000,False,,,0,,SUB in: R. Holmes,[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M30.00S,2024-02-15T01:25:36.9Z,1,REGULAR,turnover,bad pass,[],1641731,,,1610612764,16,9,2024-02-15T01:25:50Z,1150000,False,,,0,,B. Coulibaly bad pass TURNOVER (2 TO),"[1641731, 1630530]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2.0,,,Murphy III,1630530.0,,,
116,PT04M30.00S,2024-02-15T01:25:36.9Z,1,REGULAR,steal,,[],1630530,,,1610612740,16,9,2024-02-15T01:25:39Z,1160000,False,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
117,PT04M17.00S,2024-02-15T01:25:49.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627742,85.75886990801577,36.029411764705884,1610612740,18,9,2024-02-15T01:25:57Z,1170000,False,-70.0,81.0,1,right,B. Ingram 10' fadeaway Jump Shot (4 PTS) (L. Nance Jr. 2 AST),"[1627742, 1626204]",1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Left,10.73,Made,,,,,4.0,,,,,,,,,,,L. Nance Jr.,1626204.0,2.0
119,PT04M04.00S,2024-02-15T01:26:02.6Z,1,REGULAR,3pt,Jump Shot,[],1630557,22.815374507227332,6.862745098039216,1610612764,18,12,2024-02-15T01:28:12Z,1190000,False,216.0,162.0,1,left,C. Kispert 26' 3PT  (3 PTS) (T. Jones 1 AST),"[1630557, 1626145]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,26.98,Made,,,,,3.0,,,,,,,,,,,T. Jones,1626145.0,1.0
121,PT03M58.00S,2024-02-15T01:26:15.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641731,,,1610612740,18,12,2024-02-15T02:17:31Z,1210000,False,,,0,,B. Coulibaly personal FOUL (3 PF) (Ingram 2 FT),"[1641731, 1627742]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,8-16 Right,,,,,,,,2530.0,3.0,0.0,Ingram,1627742.0,,,,,,,,
123,PT03M58.00S,2024-02-15T01:27:02.8Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,18,12,2024-02-15T01:27:02Z,1230000,False,,,0,,MISS B. Ingram Free Throw 1 of 2,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
124,PT03M58.00S,2024-02-15T01:27:02.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,18,12,2024-02-15T01:27:02Z,1240000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,,
125,PT03M58.00S,2024-02-15T01:27:04.0Z,1,REGULAR,substitution,out,[],1641731,,,1610612740,18,12,2024-02-15T01:27:29Z,1250000,False,,,0,,SUB out: B. Coulibaly,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M58.00S,2024-02-15T01:27:04.0Z,1,REGULAR,substitution,out,[],1626145,,,1610612740,18,12,2024-02-15T01:27:29Z,1260000,False,,,0,,SUB out: T. Jones,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M58.00S,2024-02-15T01:27:04.0Z,1,REGULAR,substitution,in,[],1629673,,,1610612740,18,12,2024-02-15T01:27:29Z,1270000,False,,,0,,SUB in: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M58.00S,2024-02-15T01:27:04.0Z,1,REGULAR,substitution,in,[],1629013,,,1610612740,18,12,2024-02-15T01:27:29Z,1280000,False,,,0,,SUB in: L. Shamet,[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT03M58.00S,2024-02-15T01:27:02.8Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,18,12,2024-02-15T01:27:40Z,1290000,False,,,0,,MISS B. Ingram Free Throw 2 of 2,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
130,PT03M48.00S,2024-02-15T01:27:12.8Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,18,12,2024-02-15T01:29:45Z,1300000,False,,,0,,D. Avdija REBOUND (Off:1 Def:2),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,129.0,3.0,2.0,1.0,,,,,,,,,,,,,,
131,PT03M40.00S,2024-02-15T01:27:39.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,4.5499342969776615,45.588235294117645,1610612764,18,14,2024-02-15T01:32:18Z,1310000,False,22.0,-10.0,1,left,J. Poole cutting Layup (2 PTS) (C. Kispert 1 AST),"[1629673, 1630557]",1610612764.0,WAS,cutting,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,2.41,Made,,,,,2.0,,,,,,,,,,,C. Kispert,1630557.0,1.0
133,PT03M37.00S,2024-02-15T01:27:52.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630557,,,1610612740,18,14,2024-02-15T01:28:05Z,1330000,False,,,0,,C. Kispert personal FOUL (1 PF) (McCollum 2 FT),"[1630557, 203468]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,,,,,,201245.0,1.0,0.0,McCollum,203468.0,,,,,,,,
135,PT03M37.00S,2024-02-15T01:28:09.3Z,1,REGULAR,freethrow,1 of 2,[],203468,,,1610612740,19,14,2024-02-15T01:28:09Z,1350000,False,,,0,,C. McCollum Free Throw 1 of 2 (8 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
136,PT03M37.00S,2024-02-15T01:28:26.0Z,1,REGULAR,freethrow,2 of 2,[],203468,,,1610612740,20,14,2024-02-15T01:28:26Z,1360000,False,,,0,,C. McCollum Free Throw 2 of 2 (9 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
137,PT03M24.00S,2024-02-15T01:28:40.3Z,1,REGULAR,3pt,Jump Shot,[],1630557,33.85348226018397,36.27450980392157,1610612764,20,17,2024-02-15T01:28:45Z,1370000,False,69.0,266.0,1,left,C. Kispert 27' 3PT  (6 PTS) (J. Poole 1 AST),"[1630557, 1629673]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Center,27.44,Made,,,,,6.0,,,,,,,,,,,J. Poole,1629673.0,1.0
139,PT03M10.00S,2024-02-15T01:28:53.7Z,1,REGULAR,3pt,Jump Shot,[],1626204,74.98357424441524,12.009803921568627,1610612740,23,17,2024-02-15T01:28:58Z,1390000,False,-190.0,183.0,1,right,L. Nance Jr. 26' 3PT  (3 PTS) (C. McCollum 1 AST),"[1626204, 203468]",1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Left Center,26.36,Made,,,,,3.0,,,,,,,,,,,C. McCollum,203468.0,1.0
141,PT02M53.00S,2024-02-15T01:29:10.4Z,1,REGULAR,3pt,Jump Shot,[],1629673,29.6484888304862,26.225490196078432,1610612764,23,20,2024-02-15T01:29:14Z,1410000,False,119.0,226.0,1,left,J. Poole 25' 3PT  (5 PTS) (R. Holmes 1 AST),"[1629673, 1626158]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,25.55,Made,,,,,5.0,,,,,,,,,,,R. Holmes,1626158.0,1.0
143,PT02M30.00S,2024-02-15T01:29:34.1Z,1,REGULAR,2pt,Jump Shot,[],203468,92.46057818659659,73.52941176470588,1610612740,25,20,2024-02-15T01:34:09Z,1430000,False,118.0,18.0,1,right,C. McCollum 11' pullup Jump Shot (11 PTS),[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,11.9,Made,,,,,11.0,,,,,,,,,,,,,
144,PT02M18.00S,2024-02-15T01:29:45.6Z,1,REGULAR,3pt,Jump Shot,[],1629673,26.49474375821288,86.51960784313727,1610612764,25,20,2024-02-15T01:29:52Z,1440000,False,-183.0,197.0,1,left,MISS J. Poole 26' step back 3PT,[1629673],1610612764.0,WAS,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,26.83,Missed,,,,,,,,,,,,,,,,,,
145,PT02M13.00S,2024-02-15T01:29:50.6Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,25,20,2024-02-15T01:29:52Z,1450000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,,,144.0,1.0,1.0,0.0,,,,,,,,,,,,,,
146,PT02M08.00S,2024-02-15T01:29:55.8Z,1,REGULAR,turnover,bad pass,[],1630230,,,1610612740,25,20,2024-02-15T01:29:59Z,1460000,False,,,0,,N. Marshall bad pass TURNOVER (1 TO),"[1630230, 1626158]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,Holmes,1626158.0,,,
147,PT02M08.00S,2024-02-15T01:29:55.8Z,1,REGULAR,steal,,[],1626158,,,1610612764,25,20,2024-02-15T01:29:57Z,1470000,False,,,0,,R. Holmes STEAL (1 STL),[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
148,PT02M06.00S,2024-02-15T01:30:01.7Z,1,REGULAR,foul,personal,['2freethrow'],203468,,,1610612764,25,20,2024-02-15T01:30:09Z,1480000,False,,,0,,C. McCollum shooting personal FOUL (1 PF) (Shamet 2 FT),"[203468, 1629013]",1610612740.0,NOP,shooting,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,2530.0,1.0,0.0,Shamet,1629013.0,,,,,,,,
150,PT02M06.00S,2024-02-15T01:30:11.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,25,20,2024-02-15T01:30:11Z,1500000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT02M06.00S,2024-02-15T01:32:32.3Z,1,REGULAR,substitution,out,[],203468,,,1610612764,25,20,2024-02-15T01:32:53Z,1510000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT02M06.00S,2024-02-15T01:32:32.3Z,1,REGULAR,substitution,out,[],1627742,,,1610612764,25,20,2024-02-15T01:32:53Z,1520000,False,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT02M06.00S,2024-02-15T01:32:32.3Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,25,20,2024-02-15T01:32:53Z,1530000,False,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT02M06.00S,2024-02-15T01:32:32.3Z,1,REGULAR,substitution,in,[],1629627,,,1610612764,25,20,2024-02-15T01:32:53Z,1540000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT02M06.00S,2024-02-15T01:32:32.3Z,1,REGULAR,substitution,in,[],1630631,,,1610612764,25,20,2024-02-15T01:32:53Z,1550000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT02M06.00S,2024-02-15T01:32:32.3Z,1,REGULAR,substitution,in,[],1630647,,,1610612764,25,20,2024-02-15T01:32:53Z,1560000,False,,,0,,SUB in: E. Omoruyi,[1630647],1610612764.0,WAS,,,,Omoruyi,E. Omoruyi,,,,,,,,,,,,,,,,,,,,,,,,,,
