actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-23T01:10:20.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-23T01:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-23T01:10:22.4Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2023-11-23T01:10:22Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. D. Sabonis: Tip to Z. Williamson,"[1629627, 202685, 1627734]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Valanciunas,202685.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-11-23T01:10:38.5Z,1,REGULAR,foul,personal,[],1630537,,,1610612740,0,0,2023-11-23T01:10:45Z,70000,False,,,0,,C. Duarte personal FOUL (1 PF),"[1630537, 1627742]",1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Mid-Range,16-24 Left Center,1628954.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2023-11-23T01:11:04.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,94.03745072273325,50.245098039215684,1610612740,2,0,2023-11-23T01:11:08Z,90000,False,1.0,4.0,1,right,J. Valanciunas cutting DUNK (2 PTS) (H. Jones 1 AST),"[202685, 1630529]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,0.37,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,
11,PT11M21.00S,2023-11-23T01:11:18.2Z,1,REGULAR,3pt,Jump Shot,[],1628989,32.013797634691194,68.62745098039215,1610612758,2,3,2023-11-23T01:11:24Z,110000,False,-93.0,248.0,1,left,K. Huerter 26' 3PT  (3 PTS) (D. Sabonis 1 AST),"[1628989, 1627734]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,,,,26.53,Made,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,
13,PT11M03.00S,2023-11-23T01:11:36.1Z,1,REGULAR,3pt,Jump Shot,[],1627742,95.6143232588699,94.36274509803921,1610612740,5,3,2023-11-23T01:11:41Z,130000,False,222.0,-11.0,1,right,B. Ingram 3PT  (3 PTS) (Z. Williamson 1 AST),"[1627742, 1629627]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,,,,22.21,Made,3.0,Z. Williamson,1629627.0,1.0,,,,,,,,,
15,PT10M53.00S,2023-11-23T01:11:46.7Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,5,3,2023-11-23T01:11:50Z,150000,False,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1630529]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,Jones,1630529.0,,,,,,
16,PT10M53.00S,2023-11-23T01:11:46.7Z,1,REGULAR,steal,,[],1630529,,,1610612740,5,3,2023-11-23T01:11:48Z,160000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2023-11-23T01:11:50.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627742,68.15045992115637,44.36274509803921,1610612740,5,3,2023-11-23T01:11:59Z,170000,False,-28.0,247.0,1,right,MISS B. Ingram 24' running 3PT,[1627742],1610612740.0,NOP,running,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,,,,,,24.85,Missed,,,,,,,,,,,,,
18,PT10M44.00S,2023-11-23T01:11:55.8Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612740,5,3,2023-11-23T01:11:59Z,180000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,
