actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
15,PT11M06.00S,2024-01-27T01:11:20.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,0,0,2024-01-27T01:11:29Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,14.0,,,,,,,,,,,,,,,
17,PT10M46.00S,2024-01-27T01:11:51.2Z,1,REGULAR,foul,offensive,[],202685,,,1610612740,0,0,2024-01-27T01:11:57Z,170000,False,,,0,,J. Valanciunas charge offensive FOUL (1 PF),"[202685, 1631096]",1610612740.0,NOP,charge,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628159.0,1.0,0.0,Holmgren,1631096.0,,,,,,,
19,PT10M46.00S,2024-01-27T01:11:51.2Z,1,REGULAR,turnover,offensive foul,[],202685,,,1610612740,0,0,2024-01-27T01:11:51Z,190000,False,,,0,,J. Valanciunas offensive foul TURNOVER (1 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628159.0,,,,,1.0,,,,,,
20,PT10M29.00S,2024-01-27T01:12:19.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631096,6.652431011826544,50.245098039215684,1610612760,0,2,2024-01-27T01:12:28Z,200000,False,-1.0,10.0,1,left,C. Holmgren driving finger roll Layup (2 PTS) (J. Giddey 1 AST),"[1631096, 1630581]",1610612760.0,OKC,driving finger roll,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,1.01,Made,,,,,,,,,,,,,2.0,J. Giddey,1630581.0,1.0,,
22,PT10M20.00S,2024-01-27T01:12:28.2Z,1,REGULAR,3pt,Jump Shot,[],203468,68.15045992115637,60.29411764705882,1610612740,3,2,2024-01-27T01:13:28Z,220000,False,51.0,247.0,1,right,C. McCollum 25' 3PT pullup (3 PTS),[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,25.22,Made,,,,,,,,,,,,,3.0,,,,,
23,PT10M03.00S,2024-01-27T01:12:45.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,16.245072273324574,48.529411764705884,1610612760,3,2,2024-01-27T01:12:50Z,230000,False,7.0,100.0,1,left,MISS C. Holmgren 10' fadeaway Shot,[1631096],1610612760.0,OKC,fadeaway,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Center,10.05,Missed,,,,,,,,,,,,,,,,,,
24,PT10M01.00S,2024-01-27T01:12:47.3Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,3,2,2024-01-27T01:12:50Z,240000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,
25,PT09M56.00S,2024-01-27T01:12:52.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203468,93.38042049934296,57.107843137254896,1610612740,3,2,2024-01-27T02:08:37Z,250000,False,36.0,10.0,1,right,MISS C. McCollum running Shot,[203468],1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,3.68,Missed,,,,,,,,,,,,,,,,,,
27,PT09M53.00S,2024-01-27T01:12:55.7Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,3,2,2024-01-27T01:13:01Z,270000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:2),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,
28,PT09M46.00S,2024-01-27T01:13:03.1Z,1,REGULAR,3pt,Jump Shot,[],1628983,27.020367936925098,82.59803921568627,1610612760,3,2,2024-01-27T01:13:07Z,280000,False,-163.0,201.0,1,left,MISS S. Gilgeous-Alexander 25' 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,25.92,Missed,,,,,,,,,,,,,,,,,,
29,PT09M42.00S,2024-01-27T01:13:07.1Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,3,2,2024-01-27T01:13:07Z,290000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,
30,PT09M37.00S,2024-01-27T01:13:11.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630529,94.56307490144546,51.470588235294116,1610612740,5,2,2024-01-27T01:17:05Z,300000,False,7.0,-1.0,1,right,H. Jones running reverse Layup (2 PTS) (B. Ingram 1 AST),"[1630529, 1627742]",1610612740.0,NOP,running reverse,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,0.75,Made,,,,,,,,,,,,,2.0,B. Ingram,1627742.0,1.0,,
32,PT09M28.00S,2024-01-27T01:13:24.3Z,1,REGULAR,timeout,full,['team'],0,,,1610612760,5,2,2024-01-27T01:13:24Z,320000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M22.00S,2024-01-27T01:16:24.3Z,1,REGULAR,3pt,Jump Shot,[],1631096,26.888961892247043,78.67647058823529,1610612760,5,2,2024-01-27T01:16:28Z,330000,False,-143.0,200.0,1,left,MISS C. Holmgren 24' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,24.63,Missed,,,,,,,,,,,,,,,,,,
34,PT09M18.00S,2024-01-27T01:16:28.3Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,5,2,2024-01-27T01:16:28Z,340000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:2),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,
35,PT09M00.00S,2024-01-27T01:16:45.6Z,1,REGULAR,3pt,Jump Shot,[],1630529,69.20170827858082,69.11764705882352,1610612740,8,2,2024-01-27T01:16:49Z,350000,False,96.0,237.0,1,right,H. Jones 25' 3PT  (5 PTS) (B. Ingram 2 AST),"[1630529, 1627742]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,25.56,Made,,,,,,,,,,,,,5.0,B. Ingram,1627742.0,2.0,,
37,PT08M47.00S,2024-01-27T01:16:59.6Z,1,REGULAR,3pt,Jump Shot,[],1628983,29.911300919842315,29.166666666666668,1610612760,8,5,2024-01-27T01:17:03Z,370000,False,104.0,229.0,1,left,S. Gilgeous-Alexander 25' 3PT  (3 PTS) (J. Williams 1 AST),"[1628983, 1631114]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,25.13,Made,,,,,,,,,,,,,3.0,J. Williams,1631114.0,1.0,,
39,PT08M29.00S,2024-01-27T01:17:17.0Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,8,5,2024-01-27T01:17:20Z,390000,False,,,0,,J. Valanciunas bad pass TURNOVER (2 TO),"[202685, 1630581]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,2.0,,,,,Giddey,1630581.0
40,PT08M29.00S,2024-01-27T01:17:17.0Z,1,REGULAR,steal,,[],1630581,,,1610612760,8,5,2024-01-27T01:17:18Z,400000,False,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
41,PT08M17.00S,2024-01-27T01:17:29.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631096,5.863994743758213,50.49019607843137,1610612760,8,7,2024-01-27T01:17:34Z,410000,False,-2.0,3.0,1,left,C. Holmgren alley-oop DUNK (4 PTS) (J. Williams 2 AST),"[1631096, 1631114]",1610612760.0,OKC,alley-oop,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,0.36,Made,,,,,,,,,,,,,4.0,J. Williams,1631114.0,2.0,,
