actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-10-31T00:10:47.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-31T00:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-10-31T00:10:49.5Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2023-10-31T00:10:49Z,40000,False,,,0,,Jump Ball K. Looney vs. J. Valanciunas: Tip to D. Green,"[203110, 1626172, 202685]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-10-31T00:10:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,93.9060446780552,54.90196078431373,1610612744,0,2,2023-10-31T00:11:09Z,70000,False,25.0,5.0,1,right,S. Curry cutting Layup (2 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,cutting,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,2.5,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-10-31T00:11:20.1Z,1,REGULAR,2pt,Jump Shot,[],202685,14.4053876478318,20.588235294117645,1610612740,0,2,2023-10-31T00:11:24Z,90000,False,147.0,83.0,1,left,MISS J. Valanciunas 16' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Right,16.89,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2023-10-31T00:11:22.1Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,2,2023-10-31T00:11:24Z,100000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M01.00S,2023-10-31T00:11:46.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612744,0,2,2023-10-31T00:11:55Z,110000,False,,,0,,GSW shot clock Team TURNOVER,[],1610612744.0,GSW,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1628484.0,,,,,,,,,
12,PT10M48.00S,2023-10-31T00:12:23.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202685,18.2161629434954,6.61764705882353,1610612740,0,2,2023-10-31T00:12:28Z,120000,False,217.0,119.0,1,left,MISS J. Valanciunas 24' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,24.73,Missed,,,,,,,,,,,,,,,,,,
13,PT10M44.00S,2023-10-31T00:12:27.1Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,2,2023-10-31T00:12:28Z,130000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,
14,PT10M37.00S,2023-10-31T00:12:35.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,94.30026281208936,52.69607843137255,1610612744,0,2,2023-10-31T00:12:46Z,140000,False,13.0,1.0,1,right,MISS K. Looney cutting DUNK - blocked,"[1626172, 202685]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,1.35,Missed,,,,,,,,,,Valanciunas,202685.0,,,,,,,
15,PT10M37.00S,2023-10-31T00:12:35.3Z,1,REGULAR,block,,[],202685,,,1610612744,0,2,2023-10-31T00:12:37Z,150000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2023-10-31T00:12:37.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,2,2023-10-31T00:12:46Z,160000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M31.00S,2023-10-31T00:12:41.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,24.392247043363994,87.74509803921569,1610612740,3,2,2023-10-31T00:13:30Z,170000,False,-189.0,177.0,1,left,C. McCollum 25' 3PT running pullup (3 PTS),[203468],1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.86,Made,3.0,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2023-10-31T00:12:50.9Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612744,3,2,2023-10-31T00:12:59Z,180000,False,,,0,,H. Jones shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1630529, 203952]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627962.0,,,1.0,0.0,Wiggins,203952.0,,,
20,PT10M24.00S,2023-10-31T00:13:27.4Z,1,REGULAR,freethrow,1 of 2,[],203952,,,1610612744,3,2,2023-10-31T00:13:57Z,200000,False,,,0,,MISS A. Wiggins Free Throw 1 of 2,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT10M24.00S,2023-10-31T00:13:27.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612744,3,2,2023-10-31T00:13:57Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
22,PT10M24.00S,2023-10-31T00:13:27.4Z,1,REGULAR,freethrow,2 of 2,[],203952,,,1610612744,3,2,2023-10-31T00:13:57Z,220000,False,,,0,,MISS A. Wiggins Free Throw 2 of 2,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
23,PT10M20.00S,2023-10-31T00:13:31.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,3,2,2023-10-31T00:13:57Z,230000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,
24,PT10M02.00S,2023-10-31T00:14:06.0Z,1,REGULAR,2pt,Jump Shot,[],1641722,24.655059132720105,47.549019607843135,1610612740,5,2,2023-10-31T00:14:15Z,240000,False,12.0,179.0,1,left,J. Hawkins 17' pullup Jump Shot (2 PTS) (J. Valanciunas 1 AST),"[1641722, 202685]",1610612740.0,NOP,pullup,,,Hawkins,J. Hawkins,,,,,Mid-Range,16-24 Center,17.97,Made,2.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,,,
27,PT09M49.00S,2023-10-31T00:14:19.0Z,1,REGULAR,foul,personal,['3freethrow'],1641722,,,1610612744,5,2,2023-10-31T00:14:26Z,270000,False,,,0,,J. Hawkins shooting personal FOUL (1 PF) (Curry 3 FT),"[1641722, 201939]",1610612740.0,NOP,shooting,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1628484.0,,,1.0,0.0,Curry,201939.0,,,
29,PT09M49.00S,2023-10-31T00:14:49.0Z,1,REGULAR,freethrow,1 of 3,[],201939,,,1610612744,5,3,2023-10-31T00:14:49Z,290000,False,,,0,,S. Curry Free Throw 1 of 3 (3 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
30,PT09M49.00S,2023-10-31T00:15:05.6Z,1,REGULAR,freethrow,2 of 3,[],201939,,,1610612744,5,4,2023-10-31T00:15:05Z,300000,False,,,0,,S. Curry Free Throw 2 of 3 (4 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
