actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-12-27T01:10:32.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-27T01:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-27T01:10:36.8Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612763,0,0,2023-12-27T01:10:36Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. J. Valanciunas: Tip to M. Smart,"[203935, 1628991, 202685]",1610612763.0,MEM,startperiod,M. Smart,203935.0,Smart,M. Smart,Jackson Jr.,1628991.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-12-27T01:10:45.3Z,1,REGULAR,3pt,Jump Shot,[],1628991,78.26872536136662,91.17647058823529,1610612763,0,0,2023-12-27T01:10:51Z,70000,False,206.0,152.0,1,right,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,25.58,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-12-27T01:10:49.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2023-12-27T01:10:51Z,80000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2023-12-27T01:11:04.6Z,1,REGULAR,3pt,Jump Shot,[],1630529,19.136005256241788,7.352941176470589,1610612740,0,0,2023-12-27T01:11:18Z,90000,False,213.0,127.0,1,left,MISS H. Jones 24' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,24.84,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2023-12-27T01:11:06.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,0,0,2023-12-27T01:11:18Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,9.0,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2023-12-27T01:11:18.1Z,1,REGULAR,foul,personal,[],1628991,,,1610612740,0,0,2023-12-27T01:11:25Z,110000,False,,,0,,J. Jackson Jr. loose ball personal FOUL (1 PF),"[1628991, 202685]",1610612763.0,MEM,loose ball,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1155.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,
13,PT11M13.00S,2023-12-27T01:11:38.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,18.74178712220762,69.85294117647058,1610612740,2,0,2023-12-27T01:12:05Z,130000,False,-99.0,124.0,1,left,B. Ingram 15' driving floating Jump Shot (2 PTS),[1627742],1610612740.0,NOP,driving floating,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,15.86,Made,,,,,,,,,,2.0,,,,,,,,
14,PT10M57.00S,2023-12-27T01:11:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,94.69448094612353,46.81372549019608,1610612763,2,2,2023-12-27T01:12:23Z,140000,False,-16.0,-3.0,1,right,J. Morant driving reverse Layup (2 PTS),[1629630],1610612763.0,MEM,driving reverse,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,1.61,Made,,,,,,,,,,2.0,,,,,,,,
15,PT10M48.00S,2023-12-27T01:12:11.2Z,1,REGULAR,violation,kicked ball,[],1629630,,,1610612740,2,2,2023-12-27T01:12:26Z,150000,False,,,0,,J. Morant kicked ball VIOLATION,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,1628171.0,,,,,,,,,,,,,
