actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-04T23:10:31.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-04T23:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-04T23:10:34.3Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2023-11-04T23:10:34Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. C. Capela: Tip to Z. Williamson,"[1629627, 202685, 203991]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Valanciunas,202685.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-11-04T23:10:47.6Z,1,REGULAR,turnover,out-of-bounds,[],1630529,,,1610612740,0,0,2023-11-04T23:11:04Z,70000,False,,,0,,H. Jones step out-of-bounds TURNOVER (1 TO),[1630529],1610612740.0,NOP,step,,,Jones,H. Jones,,,,,Left Corner 3,24+ Left,201246.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2023-11-04T23:11:07.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630552,9.937582128777924,53.92156862745098,1610612737,0,2,2023-11-04T23:11:57Z,80000,False,-20.0,41.0,1,left,J. Johnson driving Layup (2 PTS) (T. Young 1 AST),"[1630552, 1629027]",1610612737.0,ATL,driving,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,4.54,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,
10,PT11M12.00S,2023-11-04T23:11:27.5Z,1,REGULAR,3pt,Jump Shot,[],203468,81.94809461235218,5.147058823529411,1610612740,0,2,2023-11-04T23:11:32Z,100000,False,-224.0,117.0,1,right,MISS C. McCollum 25' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,25.31,Missed,,,,,,,,,,,,,,,,
11,PT11M10.00S,2023-11-04T23:11:29.6Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,0,2,2023-11-04T23:11:29Z,110000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,
12,PT11M09.00S,2023-11-04T23:11:32.5Z,1,REGULAR,foul,personal,['3freethrow'],1629631,,,1610612740,0,2,2023-11-04T23:11:39Z,120000,False,,,0,,D. Hunter shooting personal FOUL (1 PF) (Ingram 3 FT),"[1629631, 1627742]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,202049.0,,,,,,,,,,,,1.0,0.0,Ingram,1627742.0,,,,
14,PT11M09.00S,2023-11-04T23:11:57.2Z,1,REGULAR,freethrow,1 of 3,['2ndchance'],1627742,,,1610612740,1,2,2023-11-04T23:11:57Z,140000,False,,,0,,B. Ingram Free Throw 1 of 3 (1 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
15,PT11M09.00S,2023-11-04T23:12:14.3Z,1,REGULAR,freethrow,2 of 3,['2ndchance'],1627742,,,1610612740,2,2,2023-11-04T23:12:14Z,150000,False,,,0,,B. Ingram Free Throw 2 of 3 (2 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
16,PT11M09.00S,2023-11-04T23:12:30.0Z,1,REGULAR,freethrow,3 of 3,['2ndchance'],1627742,,,1610612740,3,2,2023-11-04T23:12:30Z,160000,False,,,0,,B. Ingram Free Throw 3 of 3 (3 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
