actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-06T00:10:41.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-06T00:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-06T00:10:43.9Z,1,REGULAR,jumpball,recovered,[],1630577,,,1610612759,0,0,2024-04-06T00:10:44Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. J. Valanciunas: Tip to J. Champagnie,"[1630577, 1641705, 202685]",1610612759.0,SAS,startperiod,J. Champagnie,1630577.0,Champagnie,J. Champagnie,Wembanyama,1641705.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-04-06T00:11:00.7Z,1,REGULAR,3pt,Jump Shot,[],1630200,93.77463863337714,95.34313725490196,1610612759,0,0,2024-04-06T00:11:10Z,70000,False,227.0,6.0,1,right,MISS T. Jones 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-04-06T00:11:03.7Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612740,0,0,2024-04-06T00:11:10Z,80000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-04-06T00:11:15.8Z,1,REGULAR,3pt,Jump Shot,[],203468,24.655059132720105,13.725490196078432,1610612740,3,0,2024-04-06T00:11:20Z,90000,False,181.0,179.0,1,left,C. McCollum 25' 3PT step back (3 PTS),[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,25.51,Made,,,,,3.0,,,,,,,,,,,,,
10,PT11M08.00S,2024-04-06T00:11:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,94.30026281208936,48.28431372549019,1610612759,3,0,2024-04-06T00:11:37Z,100000,False,-9.0,1.0,1,right,MISS S. Mamukelashvili cutting Layup - blocked,"[1630572, 203468]",1610612759.0,SAS,cutting,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,0.87,Missed,,,,,,McCollum,203468.0,,,,,,,,,,,
11,PT11M08.00S,2024-04-06T00:11:31.7Z,1,REGULAR,block,,[],203468,,,1610612759,3,0,2024-04-06T00:19:46Z,110000,False,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2024-04-06T00:11:34.7Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,3,0,2024-04-06T00:11:37Z,120000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M51.00S,2024-04-06T00:11:52.3Z,1,REGULAR,turnover,out-of-bounds,[],203468,,,1610612740,3,0,2024-04-06T00:12:01Z,130000,False,,,0,,C. McCollum bad pass out-of-bounds TURNOVER (1 TO),[203468],1610612740.0,NOP,bad pass,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628487.0,1.0,,,,,,,,,
14,PT10M37.00S,2024-04-06T00:12:13.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630572,91.01511169513797,5.392156862745098,1610612759,3,0,2024-04-06T00:12:17Z,140000,False,-223.0,32.0,1,right,MISS S. Mamukelashvili 3PT,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Left Corner 3,24+ Left,22.53,Missed,,,,,,,,,,,,,,,,,,
