actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-14T00:10:35.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-14T00:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-14T00:10:37.8Z,1,REGULAR,jumpball,recovered,[],1627777,,,1610612739,0,0,2024-03-14T00:10:37Z,40000,False,,,0,,Jump Ball J. Allen vs. J. Valanciunas: Tip to G. Niang,"[1627777, 1628386, 202685]",1610612739.0,CLE,startperiod,G. Niang,1627777.0,Niang,G. Niang,Allen,1628386.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-03-14T00:10:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630171,15.505913272010513,36.465992647058826,1610612739,0,0,2024-03-14T00:11:04Z,70000,False,68.0,93.0,1,left,MISS I. Okoro 11' turnaround Shot - blocked,"[1630171, 203468]",1610612739.0,CLE,turnaround,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),8-16 Right,11.53,Missed,McCollum,203468.0,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-03-14T00:10:59.1Z,1,REGULAR,block,,[],203468,,,1610612739,0,0,2024-03-14T00:11:01Z,80000,False,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2024-03-14T00:11:03.1Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,0,2024-03-14T00:11:04Z,90000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Right,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M31.00S,2024-03-14T00:11:04.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628386,26.10052562417871,38.48039215686275,1610612739,0,0,2024-03-14T00:11:07Z,100000,False,58.0,193.0,1,left,MISS J. Allen 20' Jump Shot,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Center,20.12,Missed,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2024-03-14T00:11:05.1Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,0,0,2024-03-14T00:11:35Z,110000,False,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Mid-Range,16-24 Center,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,
12,PT11M30.00S,2024-03-14T00:11:08.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627777,17.427726675427067,94.6078431372549,1610612739,0,0,2024-03-14T00:15:48Z,120000,False,-223.0,111.0,1,left,MISS G. Niang 24' 3PT,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,24.92,Missed,,,,,,,,,,,,,,,,,,
13,PT11M26.00S,2024-03-14T00:11:12.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2024-03-14T00:11:23Z,130000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M19.00S,2024-03-14T00:11:16.4Z,1,REGULAR,3pt,Jump Shot,[],202685,68.15045992115637,59.55882352941176,1610612740,3,0,2024-03-14T00:11:27Z,140000,False,48.0,247.0,1,right,J. Valanciunas 25' 3PT  (3 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,25.15,Made,,,,,,,3.0,C. McCollum,203468.0,1.0,,,,,,,,
16,PT11M04.00S,2024-03-14T00:11:30.8Z,1,REGULAR,3pt,Jump Shot,[],1628378,30.962549277266753,67.8921568627451,1610612739,3,3,2024-03-14T00:14:04Z,160000,False,-89.0,239.0,1,left,D. Mitchell 25' 3PT pullup (3 PTS) (D. Garland 1 AST),"[1628378, 1629636]",1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.47,Made,,,,,,,3.0,D. Garland,1629636.0,1.0,,,,,,,,
