actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-28T23:11:04.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-28T23:11:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-10-28T23:11:13.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612752,0,0,2023-10-28T23:11:13Z,40000,False,,,0,,Jump Ball M. Robinson vs. J. Valanciunas: Tip to Team (NYK),"[1629011, 202685]",1610612752.0,NYK,startperiod,Team (NYK),Robinson,1629011.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2023-10-28T23:11:46.9Z,1,REGULAR,3pt,Jump Shot,[],1629628,21.895532194480946,9.558823529411764,1610612752,0,0,2023-10-28T23:11:53Z,90000,False,202.0,153.0,1,left,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,25.37,Missed,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,
10,PT11M41.00S,2023-10-28T23:11:49.8Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,0,0,2023-10-28T23:11:49Z,100000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,McCollum,C. McCollum,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M16.00S,2023-10-28T23:12:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.32917214191852,54.166666666666664,1610612740,0,0,2023-10-28T23:12:18Z,110000,False,21.0,20.0,1,right,MISS Z. Williamson driving reverse Layup,[1629627],1610612740.0,NOP,driving reverse,,,,,,Restricted Area,0-8 Center,2.86,Missed,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2023-10-28T23:12:16.2Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,0,2023-10-28T23:12:16Z,120000,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,,,,Restricted Area,0-8 Center,,,Robinson,M. Robinson,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M09.00S,2023-10-28T23:12:21.5Z,1,REGULAR,2pt,Jump Shot,[],1628973,22.552562417871222,25.98039215686275,1610612752,0,0,2023-10-28T23:12:35Z,130000,False,120.0,159.0,1,left,MISS J. Brunson 19' Jump Shot,[1628973],1610612752.0,NYK,,,,,,,Mid-Range,16-24 Right Center,19.97,Missed,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2023-10-28T23:12:24.2Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,0,2023-10-28T23:12:24Z,140000,False,,,0,,M. Robinson REBOUND (Off:1 Def:1),[1629011],1610612752.0,NYK,,,,,,,Mid-Range,16-24 Right Center,,,Robinson,M. Robinson,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
15,PT11M04.00S,2023-10-28T23:12:26.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,12.040078843626807,38.23529411764706,1610612752,0,0,2023-10-28T23:12:41Z,150000,False,59.0,61.0,1,left,MISS M. Robinson 8' Layup,[1629011],1610612752.0,NYK,,,,,,,In The Paint (Non-RA),8-16 Right,8.45,Missed,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
16,PT11M01.00S,2023-10-28T23:12:29.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2023-10-28T23:12:41Z,160000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Right,,,Valanciunas,J. Valanciunas,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M57.00S,2023-10-28T23:12:35.8Z,1,REGULAR,foul,personal,[],1629656,,,1610612740,0,0,2023-10-28T23:12:54Z,170000,False,,,0,,Q. Grimes personal FOUL (1 PF),"[1629656, 1627742]",1610612752.0,NYK,,,,,,,Mid-Range,8-16 Right,,,Grimes,Q. Grimes,,,,,1627526.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,
19,PT10M49.00S,2023-10-28T23:13:02.7Z,1,REGULAR,3pt,Jump Shot,[],1627742,90.88370565045992,3.431372549019608,1610612740,0,0,2023-10-28T23:13:24Z,190000,False,-233.0,33.0,1,right,MISS B. Ingram 3PT,[1627742],1610612740.0,NOP,,,,,,,Left Corner 3,24+ Left,23.52,Missed,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
20,PT10M47.00S,2023-10-28T23:13:04.7Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,0,0,2023-10-28T23:13:24Z,200000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,,,,Left Corner 3,24+ Left,,,Brunson,J. Brunson,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M32.00S,2023-10-28T23:13:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,12.828515111695138,44.6078431372549,1610612752,0,2,2023-10-28T23:13:27Z,210000,False,27.0,68.0,1,left,R. Barrett 7' driving Layup (2 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,driving,,,,,,In The Paint (Non-RA),0-8 Center,7.33,Made,Barrett,R. Barrett,,,,,,,,,,2.0,J. Randle,203944.0,1.0,,,,,
22,PT10M22.00S,2023-10-28T23:13:30.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203468,91.80354796320631,45.34313725490196,1610612740,2,2,2023-10-29T00:47:47Z,220000,False,-23.0,25.0,1,right,C. McCollum running Layup (2 PTS),[203468],1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,3.38,Made,McCollum,C. McCollum,,,,,,,,,,2.0,,,,,,,,
23,PT10M00.00S,2023-10-28T23:13:51.9Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,2,2,2023-10-28T23:13:59Z,230000,False,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1629627]",1610612752.0,NYK,,,,,,,In The Paint (Non-RA),8-16 Center,,,Brunson,J. Brunson,,,,,,,,,,,,,,1.0,Williamson,1629627.0,,
24,PT10M00.00S,2023-10-28T23:13:51.9Z,1,REGULAR,steal,,[],1629627,,,1610612740,2,2,2023-10-29T02:12:48Z,240000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,
25,PT09M56.00S,2023-10-28T23:13:56.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203468,71.82982917214193,79.16666666666666,1610612740,5,2,2023-10-28T23:14:08Z,250000,False,146.0,212.0,1,right,C. McCollum 25' 3PT pullup (5 PTS) (Z. Williamson 1 AST),"[203468, 1629627]",1610612740.0,NOP,pullup,,,,,,Above the Break 3,24+ Right Center,25.75,Made,McCollum,C. McCollum,,,,,,,,,,5.0,Z. Williamson,1629627.0,1.0,,,,,
27,PT09M33.00S,2023-10-28T23:14:18.9Z,1,REGULAR,3pt,Jump Shot,[],1629628,17.821944809461236,7.352941176470589,1610612752,5,2,2023-10-28T23:14:43Z,270000,False,213.0,115.0,1,left,MISS R. Barrett 24' 3PT,[1629628],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,24.22,Missed,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,
