actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-30T01:10:24.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-30T01:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-30T01:10:27.3Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2023-11-30T01:10:27Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. M. Morris Sr.: Tip to C. McCollum,"[203468, 202685, 202694]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Morris Sr.,202694.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-11-30T01:10:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,94.03745072273325,51.71568627450981,1610612740,2,0,2023-11-30T01:10:45Z,70000,False,9.0,4.0,1,right,B. Ingram driving Layup (2 PTS),[1627742],1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,0.93,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2023-11-30T01:10:53.7Z,1,REGULAR,2pt,Jump Shot,[],202694,9.543363994743759,91.17647058823529,1610612755,2,0,2023-11-30T01:11:01Z,80000,False,-206.0,37.0,1,left,MISS M. Morris Sr. 20' step back Shot,[202694],1610612755.0,PHI,step back,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Left,20.92,Missed,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2023-11-30T01:10:56.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,2,0,2023-11-30T01:11:01Z,90000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M17.00S,2023-11-30T01:11:07.2Z,1,REGULAR,turnover,bad pass,[],1629627,,,1610612740,2,0,2023-11-30T01:50:11Z,100000,False,,,0,,Z. Williamson bad pass TURNOVER (1 TO),"[1629627, 1630178]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Maxey,1630178.0,,,,,,,,,,
11,PT11M17.00S,2023-11-30T01:11:07.2Z,1,REGULAR,steal,,[],1630178,,,1610612755,2,0,2023-11-30T01:50:11Z,110000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2023-11-30T01:11:14.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630178,27.283180026281208,15.686274509803921,1610612755,2,0,2023-11-30T01:12:25Z,120000,False,172.0,204.0,1,left,MISS T. Maxey 26' running 3PT,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.66,Missed,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2023-11-30T01:11:17.6Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,2,0,2023-11-30T01:11:17Z,130000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Right Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT11M07.00S,2023-11-30T01:11:19.0Z,1,REGULAR,turnover,out-of-bounds,[],1630529,,,1610612740,2,0,2023-11-30T01:20:18Z,140000,False,,,0,,H. Jones lost ball out-of-bounds TURNOVER (1 TO),[1630529],1610612740.0,NOP,lost ball,,,Jones,H. Jones,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,,,1155.0,,,,,,,,,
15,PT10M46.00S,2023-11-30T01:11:44.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202699,15.850854139290407,66.66666666666666,1610612755,2,0,2023-11-30T01:13:12Z,150000,False,-83.0,96.0,1,left,MISS T. Harris 12' turnaround Shot,[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,12.75,Missed,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2023-11-30T01:11:47.3Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,2,0,2023-11-30T01:11:47Z,160000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Left,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,
17,PT10M32.00S,2023-11-30T01:11:57.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,93.64323258869908,52.94117647058824,1610612740,2,0,2023-11-30T01:14:01Z,170000,False,15.0,7.0,1,right,MISS C. McCollum driving finger roll Layup,[203468],1610612740.0,NOP,driving finger roll,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,1.64,Missed,,,,,,,,,,,,,,,,,,
