actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
267,PT05M03.00S,2024-03-29T00:55:56.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203114,8.229303547963205,57.84313725490197,1610612749,46,34,2024-03-29T00:56:09Z,2660000,False,-39.0,25.0,1,left,K. Middleton driving floating bank Jump Shot (2 PTS),[203114],1610612749.0,MIL,driving floating bank,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,4.64,Made,2.0,,,,,,,,,,,,,,,,,
268,PT04M48.00S,2024-03-29T00:56:17.0Z,2,REGULAR,foul,personal,[],203507,,,1610612740,46,34,2024-03-29T00:56:25Z,2670000,False,,,0,,G. Antetokounmpo personal FOUL (1 PF),"[203507, 202685]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1627534.0,1.0,0.0,Valanciunas,202685.0,,,,,
270,PT04M35.00S,2024-03-29T00:56:49.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,93.24901445466492,35.294117647058826,1610612740,46,34,2024-03-29T00:57:21Z,2690000,False,-74.0,11.0,1,right,MISS J. Valanciunas 7' turnaround fadeaway Shot,[202685],1610612740.0,NOP,turnaround fadeaway,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,7.43,Missed,,,,,,,,,,,,,,,,,,
271,PT04M33.00S,2024-03-29T00:56:51.1Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,46,34,2024-03-29T00:56:53Z,2700000,False,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:5),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,270.0,7.0,5.0,2.0,,,,,,,,,,
272,PT04M16.00S,2024-03-29T00:57:07.6Z,2,REGULAR,turnover,bad pass,[],203081,,,1610612749,46,34,2024-03-29T00:57:11Z,2710000,False,,,0,,D. Lillard bad pass TURNOVER (2 TO),"[203081, 202685]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,2.0,Valanciunas,202685.0
273,PT04M16.00S,2024-03-29T00:57:07.6Z,2,REGULAR,steal,,[],202685,,,1610612740,46,34,2024-03-29T00:57:09Z,2720000,False,,,0,,J. Valanciunas STEAL (1 STL),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
274,PT04M06.00S,2024-03-29T00:57:17.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202685,69.07030223390277,64.2156862745098,1610612740,49,34,2024-03-29T00:57:22Z,2730000,False,71.0,238.0,1,right,J. Valanciunas 24' 3PT  (13 PTS) (T. Murphy III 2 AST),"[202685, 1630530]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,24.86,Made,13.0,T. Murphy III,1630530.0,2.0,,,,,,,,,,,,,,
276,PT03M57.00S,2024-03-29T00:57:27.2Z,2,REGULAR,3pt,Jump Shot,[],203114,21.895532194480946,89.95098039215686,1610612749,49,34,2024-03-29T00:58:06Z,2750000,False,-200.0,153.0,1,left,MISS K. Middleton 25' pullup 3PT,[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,25.18,Missed,,,,,,,,,,,,,,,,,,
277,PT03M54.00S,2024-03-29T00:57:30.2Z,2,REGULAR,rebound,defensive,[],1629627,,,1610612740,49,34,2024-03-29T00:57:32Z,2760000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,,,,,276.0,2.0,2.0,0.0,,,,,,,,,,
278,PT03M44.00S,2024-03-29T00:57:40.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,89.04402102496715,49.754901960784316,1610612740,49,34,2024-03-29T00:57:46Z,2770000,False,-1.0,50.0,1,right,MISS Z. Williamson driving floating Shot,[1629627],1610612740.0,NOP,driving floating,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,5.05,Missed,,,,,,,,,,,,,,,,,,
