actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
91,PT04M36.00S,2023-11-03T00:23:38.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630700,,,1610612740,28,17,2023-11-03T00:23:38Z,900000,False,,,0,,D. Daniels Free Throw 2 of 2 (2 PTS),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
92,PT04M23.00S,2023-11-03T00:23:55.2Z,1,REGULAR,foul,offensive,[],1630595,,,1610612765,28,17,2023-11-03T00:24:01Z,910000,False,,,0,,C. Cunningham charge offensive FOUL (2 PF),"[1630595, 1626204]",1610612765.0,DET,charge,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628487.0,,,,,,2.0,0.0,Nance Jr.,1626204.0,,,,
94,PT04M23.00S,2023-11-03T00:23:55.2Z,1,REGULAR,turnover,offensive foul,[],1630595,,,1610612765,28,17,2023-11-03T00:23:55Z,930000,False,,,0,,C. Cunningham offensive foul TURNOVER (2 TO),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628487.0,2.0,,,,,,,,,,,,
95,PT04M23.00S,2023-11-03T00:24:01.8Z,1,REGULAR,substitution,out,[],1630346,,,1610612740,28,17,2023-11-03T00:24:05Z,940000,False,,,0,,SUB out: M. Ryan,[1630346],1610612740.0,NOP,,,,Ryan,M. Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M23.00S,2023-11-03T00:24:01.8Z,1,REGULAR,substitution,in,[],1641722,,,1610612740,28,17,2023-11-03T00:24:05Z,950000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M23.00S,2023-11-03T00:24:13.8Z,1,REGULAR,substitution,out,[],1630595,,,1610612740,28,17,2023-11-03T00:24:19Z,960000,False,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M23.00S,2023-11-03T00:24:13.8Z,1,REGULAR,substitution,in,[],1630165,,,1610612740,28,17,2023-11-03T00:24:19Z,970000,False,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M10.00S,2023-11-03T00:24:36.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630529,30.305519053876477,25.735294117647058,1610612740,28,17,2023-11-03T00:24:45Z,980000,False,121.0,232.0,1,left,MISS H. Jones 26' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,26.22,Missed,,,,,,,,,,,,,,,,,,
100,PT04M09.00S,2023-11-03T00:24:37.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,28,17,2023-11-03T00:24:45Z,990000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Right Center,,,99.0,,,,,,,,,,,,,,,,,
102,PT03M56.00S,2023-11-03T00:24:59.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631204,82.9993429697766,34.55882352941176,1610612765,28,17,2023-11-03T00:25:07Z,1010000,False,-77.0,107.0,1,right,MISS M. Sasser 13' driving floating Shot,[1631204],1610612765.0,DET,driving floating,,,Sasser,M. Sasser,,,,,In The Paint (Non-RA),8-16 Left,13.22,Missed,,,,,,,,,,,,,,,,,,
103,PT03M51.00S,2023-11-03T00:25:04.5Z,1,REGULAR,rebound,defensive,[],1641722,,,1610612740,28,17,2023-11-03T00:25:07Z,1020000,False,,,0,,J. Hawkins REBOUND (Off:0 Def:1),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,In The Paint (Non-RA),8-16 Left,,,102.0,1.0,1.0,0.0,,,,,,,,,,,,,,
104,PT03M42.00S,2023-11-03T00:25:13.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630184,9.149145860709593,55.14705882352941,1610612740,28,17,2023-11-03T00:25:21Z,1030000,False,-26.0,34.0,1,left,MISS K. Lewis Jr. driving Layup - blocked,"[1630184, 1630191]",1610612740.0,NOP,driving,,,Lewis Jr.,K. Lewis Jr.,,,,,Restricted Area,0-8 Center,4.22,Missed,,,,,,,,,,,,,,,,,Stewart,1630191.0
105,PT03M42.00S,2023-11-03T00:25:13.2Z,1,REGULAR,block,,[],1630191,,,1610612740,28,17,2023-11-03T00:25:16Z,1040000,False,,,0,,I. Stewart BLOCK (1 BLK),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
106,PT03M38.00S,2023-11-03T00:25:17.2Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,28,17,2023-11-03T00:25:21Z,1050000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,104.0,1.0,1.0,0.0,,,,,,,,,,,,,,
107,PT03M30.00S,2023-11-03T00:25:25.9Z,1,REGULAR,2pt,Jump Shot,[],1630165,77.4802890932983,50.73529411764706,1610612765,28,17,2023-11-03T00:25:30Z,1060000,False,4.0,159.0,1,right,MISS K. Hayes 15' pullup Shot,[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Center,15.92,Missed,,,,,,,,,,,,,,,,,,
108,PT03M27.00S,2023-11-03T00:25:28.9Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,28,17,2023-11-03T00:25:30Z,1070000,False,,,0,,H. Jones REBOUND (Off:0 Def:2),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,8-16 Center,,,107.0,2.0,2.0,0.0,,,,,,,,,,,,,,
109,PT03M19.00S,2023-11-03T00:25:39.9Z,1,REGULAR,foul,personal,[],1631093,,,1610612740,28,17,2023-11-03T00:25:51Z,1080000,False,,,0,,J. Ivey personal FOUL (1 PF),"[1631093, 1630529]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,8-16 Right,,,,,,,1662.0,,,,,,1.0,0.0,Jones,1630529.0,,,,
111,PT03M19.00S,2023-11-03T00:25:51.2Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,28,17,2023-11-03T00:26:00Z,1100000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M19.00S,2023-11-03T00:25:51.2Z,1,REGULAR,substitution,out,[],1630191,,,1610612740,28,17,2023-11-03T00:26:00Z,1110000,False,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M19.00S,2023-11-03T00:25:51.2Z,1,REGULAR,substitution,in,[],203468,,,1610612740,28,17,2023-11-03T00:26:00Z,1120000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
