actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-13T00:10:32.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-13T00:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-11-13T00:10:38.0Z,1,REGULAR,jumpball,recovered,[],1627884,,,1610612742,0,0,2023-11-13T00:10:38Z,40000,False,,,0,,Jump Ball D. Lively II vs. J. Valanciunas: Tip to D. Jones Jr.,"[1627884, 1641726, 202685]",1610612742.0,DAL,startperiod,D. Jones Jr.,1627884.0,Jones Jr.,D. Jones Jr.,Lively II,1641726.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-11-13T00:10:51.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641726,12.434296977660972,50.245098039215684,1610612742,0,2,2023-11-13T00:10:58Z,70000,False,-1.0,64.0,1,left,D. Lively II 6' turnaround bank Hook (2 PTS) (L. Doncic 1 AST),"[1641726, 1629029]",1610612742.0,DAL,turnaround bank,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,6.44,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-11-13T00:11:06.6Z,1,REGULAR,3pt,Jump Shot,[],1627742,68.67608409986859,31.372549019607842,1610612740,0,2,2023-11-13T00:11:15Z,90000,False,-93.0,242.0,1,right,MISS B. Ingram 25' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,25.92,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2023-11-13T00:11:09.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,0,2,2023-11-13T00:11:15Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,,,,,,,,,,,,,
12,PT11M01.00S,2023-11-13T00:11:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,8.229303547963205,58.57843137254902,1610612742,0,2,2023-11-13T00:11:42Z,120000,False,-43.0,25.0,1,left,MISS K. Irving driving Layup - blocked,"[202681, 202685]",1610612742.0,DAL,driving,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,4.96,Missed,,,,,,Valanciunas,202685.0,,,,,,,,,,,
28,PT11M01.00S,2023-11-13T00:11:38.2Z,1,REGULAR,block,,[],202685,,,1610612742,0,2,2023-11-13T00:13:39Z,125000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M59.00S,2023-11-13T00:11:40.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,2,2023-11-13T00:11:42Z,130000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,12.0,,,1.0,1.0,0.0,,,,,,,,
14,PT10M46.00S,2023-11-13T00:11:52.9Z,1,REGULAR,3pt,Jump Shot,[],1641722,89.43823915900131,3.9215686274509802,1610612740,0,2,2023-11-13T00:12:01Z,140000,False,-230.0,47.0,1,right,MISS J. Hawkins 3PT - blocked,"[1641722, 1629684]",1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Left Corner 3,24+ Left,23.51,Missed,,,,,,Williams,1629684.0,,,,,,,,,,,
15,PT10M46.00S,2023-11-13T00:11:52.9Z,1,REGULAR,block,,[],1629684,,,1610612740,0,2,2023-11-13T00:12:01Z,150000,False,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
