actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-02T00:10:22.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-02T00:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-04-02T00:10:26.5Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2024-04-02T00:10:26Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. J. Nurkic: Tip to Z. Williamson,"[1629627, 202685, 203994]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Valanciunas,202685.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-04-02T00:10:40.9Z,1,REGULAR,2pt,Jump Shot,[],202685,93.51182654402102,72.79411764705883,1610612740,2,0,2024-04-02T00:10:46Z,70000,False,114.0,8.0,1,right,J. Valanciunas 11' Jump Shot (2 PTS) (H. Jones 1 AST),"[202685, 1630529]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,11.43,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2024-04-02T00:11:05.6Z,1,REGULAR,foul,personal,['2freethrow'],1629627,,,1610612756,2,0,2024-04-02T00:11:13Z,90000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1629627, 203994]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,2534.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,
11,PT11M19.00S,2024-04-02T00:11:28.1Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612756,2,1,2024-04-02T00:11:28Z,110000,False,,,0,,J. Nurkic Free Throw 1 of 2 (1 PTS),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2024-04-02T00:11:40.6Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612756,2,1,2024-04-02T00:11:40Z,120000,False,,,0,,MISS J. Nurkic Free Throw 2 of 2,[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2024-04-02T00:11:41.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,1,2024-04-02T00:11:41Z,130000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT11M02.00S,2024-04-02T00:11:55.3Z,1,REGULAR,2pt,Jump Shot,[],202685,93.64323258869908,31.127450980392158,1610612740,2,1,2024-04-02T00:12:21Z,140000,False,-94.0,7.0,1,right,MISS J. Valanciunas 9' turnaround Shot,[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,9.47,Missed,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2024-04-02T00:11:57.3Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,2,1,2024-04-02T00:11:59Z,150000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT10M53.00S,2024-04-02T00:12:04.3Z,1,REGULAR,3pt,Jump Shot,[],201142,28.07161629434954,17.401960784313726,1610612756,2,1,2024-04-02T00:12:11Z,160000,False,163.0,211.0,1,left,MISS K. Durant 26' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,26.69,Missed,,,,,,,,,,,,,,,,,,
17,PT10M48.00S,2024-04-02T00:12:09.9Z,1,REGULAR,rebound,offensive,[],203994,,,1610612756,2,1,2024-04-02T00:12:09Z,170000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,
18,PT10M46.00S,2024-04-02T00:12:11.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626164,21.369908015768726,55.88235294117647,1610612756,2,3,2024-04-02T00:12:48Z,180000,False,-29.0,148.0,1,left,D. Booker 15' pullup Jump Shot (2 PTS) (J. Nurkic 1 AST),"[1626164, 203994]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Center,15.13,Made,2.0,J. Nurkic,203994.0,1.0,,,,,,,,,,,,,,
20,PT10M32.00S,2024-04-02T00:12:25.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,87.20433639947439,50.73529411764706,1610612740,4,3,2024-04-02T00:12:34Z,200000,False,4.0,68.0,1,right,C. McCollum 6' driving floating Jump Shot (2 PTS),[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,6.79,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M19.00S,2024-04-02T00:12:39.3Z,1,REGULAR,3pt,Jump Shot,[],1626164,14.4053876478318,93.87254901960785,1610612756,4,6,2024-04-02T00:12:51Z,210000,False,-219.0,83.0,1,left,D. Booker 3PT  (5 PTS) (J. Nurkic 2 AST),"[1626164, 203994]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Left Corner 3,24+ Left,23.45,Made,5.0,J. Nurkic,203994.0,2.0,,,,,,,,,,,,,,
