actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-05T00:41:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-05T00:41:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-05T00:41:27.8Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2023-01-05T00:41:27Z,40000,False,,,0,,Jump Ball M. Robinson vs. J. Poeltl: Tip to J. Randle,"[203944, 1629011, 1627751]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-01-05T00:41:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.11760840998686,47.30392156862745,1610612752,2,0,2023-01-05T00:41:43Z,70000,False,-13.0,12.0,1,right,J. Brunson driving Layup (2 PTS) (I. Quickley 1 AST),"[1628973, 1630193]",1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,1.82,Made,2.0,I. Quickley,1630193.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2023-01-05T00:41:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,17.559132720105126,39.950980392156865,1610612759,2,2,2023-01-05T00:42:37Z,90000,False,50.0,113.0,1,left,T. Jones 12' floating Jump Shot (2 PTS),[1630200],1610612759.0,SAS,floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,12.33,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M06.00S,2023-01-05T00:42:19.2Z,1,REGULAR,2pt,Jump Shot,[],1629011,76.82325886990802,50.73529411764706,1610612752,2,2,2023-01-05T00:42:36Z,100000,False,4.0,165.0,1,right,MISS M. Robinson 16' fadeaway Shot,[1629011],1610612752.0,NYK,fadeaway,,,Robinson,M. Robinson,,,,,Mid-Range,16-24 Center,16.54,Missed,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2023-01-05T00:42:20.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,2,2,2023-01-05T00:43:01Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M05.00S,2023-01-05T00:42:24.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612752,2,2,2023-01-05T00:42:31Z,120000,False,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,1198.0,,,,,,,,,,,,
13,PT10M52.00S,2023-01-05T00:42:44.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631110,10.5946123521682,54.90196078431373,1610612759,2,2,2023-01-05T00:42:50Z,130000,False,-25.0,47.0,1,left,MISS J. Sochan driving Layup,[1631110],1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,5.31,Missed,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2023-01-05T00:42:45.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,2,2023-01-05T00:42:50Z,140000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,13.0,,1.0,1.0,0.0,,,,,,,,,
15,PT10M43.00S,2023-01-05T00:42:53.7Z,1,REGULAR,3pt,Jump Shot,[],203944,79.05716162943496,90.68627450980392,1610612752,5,2,2023-01-05T00:42:57Z,150000,False,203.0,144.0,1,right,J. Randle 24' 3PT  (3 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,24.94,Made,3.0,,,,,,,,,,,,,,,,,
