actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-21T23:44:58.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-21T23:44:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-10-21T23:45:01.8Z,1,REGULAR,jumpball,recovered,[],203095,,,1610612752,0,0,2022-10-21T23:45:01Z,40000,,,0,,Jump Ball M. Robinson vs. I. Stewart: Tip to E. Fournier,"[203095, 1629011, 1630191]",1610612752.0,NYK,startperiod,E. Fournier,203095.0,Fournier,E. Fournier,Robinson,1629011.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-10-21T23:45:17.7Z,1,REGULAR,3pt,Jump Shot,[],203095,72.09264126149803,76.47058823529412,1610612752,3,0,2022-10-21T23:45:21Z,70000,132.0,210.0,1,right,E. Fournier 24' 3PT  (3 PTS) (R. Barrett 1 AST),"[203095, 1629628]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,Above the Break 3,24+ Right Center,24.81,Made,3.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2022-10-21T23:45:38.8Z,1,REGULAR,3pt,Jump Shot,[],1630180,8.492115637319317,4.411764705882353,1610612765,3,3,2022-10-21T23:45:41Z,90000,228.0,27.0,1,left,S. Bey 3PT  (3 PTS) (J. Ivey 1 AST),"[1630180, 1631093]",1610612765.0,DET,,,,Bey,S. Bey,,,,,Right Corner 3,24+ Right,22.95,Made,3.0,J. Ivey,1631093.0,1.0,,,,,,,,,,,,,,
11,PT11M02.00S,2022-10-21T23:45:55.0Z,1,REGULAR,2pt,Jump Shot,[],1628973,75.3777923784494,72.54901960784314,1610612752,3,3,2022-10-21T23:46:00Z,110000,113.0,179.0,1,right,MISS J. Brunson 21' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right Center,21.14,Missed,,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2022-10-21T23:45:59.0Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,3,3,2022-10-21T23:46:00Z,120000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Mid-Range,16-24 Right Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M46.00S,2022-10-21T23:46:10.9Z,1,REGULAR,3pt,Jump Shot,[],202711,4.28712220762155,95.34313725490196,1610612765,3,6,2022-10-21T23:46:14Z,130000,-227.0,-12.0,1,left,B. Bogdanovic 3PT  (3 PTS) (J. Ivey 2 AST),"[202711, 1631093]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,22.7,Made,3.0,J. Ivey,1631093.0,2.0,,,,,,,,,,,,,,
15,PT10M33.00S,2022-10-21T23:46:29.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,94.95729303547962,49.754901960784316,1610612752,5,6,2022-10-21T23:46:32Z,150000,-1.0,-5.0,1,right,M. Robinson alley-oop DUNK (2 PTS) (R. Barrett 2 AST),"[1629011, 1629628]",1610612752.0,NYK,alley-oop,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,0.52,Made,2.0,R. Barrett,1629628.0,2.0,,,,,,,,,,,,,,
17,PT10M11.00S,2022-10-21T23:46:52.4Z,1,REGULAR,3pt,Jump Shot,[],1631093,25.18068331143233,83.82352941176471,1610612765,5,6,2022-10-21T23:46:58Z,170000,-169.0,184.0,1,left,MISS J. Ivey 25' 3PT,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,25.0,Missed,,,,,,,,,,,,,,,,,,
18,PT10M06.00S,2022-10-21T23:46:57.4Z,1,REGULAR,rebound,offensive,[],1630595,,,1610612765,5,6,2022-10-21T23:46:58Z,180000,,,0,,C. Cunningham REBOUND (Off:1 Def:0),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,
