actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-27T23:45:49.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-27T23:45:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2023-03-27T23:45:55.1Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612752,0,0,2023-03-27T23:45:55Z,40000,False,,,0,,Jump Ball M. Robinson vs. J. Smith Jr.: Tip to I. Quickley,"[1630193, 1629011, 1631095]",1610612752.0,NYK,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Robinson,1629011.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-03-27T23:46:05.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,83.78777923784494,38.72549019607843,1610612752,2,0,2023-03-27T23:46:20Z,70000,False,-56.0,100.0,1,right,I. Quickley 11' step back Jump Shot (2 PTS),[1630193],1610612752.0,NYK,step back,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,11.47,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2023-03-27T23:46:27.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630231,10.068988173455978,51.9607843137255,1610612745,2,0,2023-03-27T23:47:30Z,90000,False,-10.0,42.0,1,left,MISS K. Martin Jr. floating Shot,[1630231],1610612745.0,HOU,floating,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,4.32,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2023-03-27T23:46:29.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,0,2023-03-27T23:46:31Z,100000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M11.00S,2023-03-27T23:46:37.2Z,1,REGULAR,3pt,Jump Shot,[],203944,69.07030223390277,70.34313725490196,1610612752,5,0,2023-03-27T23:48:13Z,110000,False,102.0,238.0,1,right,J. Randle 25' 3PT pullup (3 PTS),[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,25.9,Made,3.0,,,,,,,,,,,,,,,,,
12,PT10M54.00S,2023-03-27T23:46:53.8Z,1,REGULAR,2pt,Jump Shot,[],1631095,23.73521681997372,52.20588235294118,1610612745,5,2,2023-03-27T23:46:58Z,120000,False,-11.0,171.0,1,left,J. Smith Jr. 17' pullup Jump Shot (2 PTS) (K. Martin Jr. 1 AST),"[1631095, 1630231]",1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Center,17.1,Made,2.0,,,,,K. Martin Jr.,1630231.0,1.0,,,,,,,,,,
14,PT10M27.00S,2023-03-27T23:47:20.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,82.86793692509855,38.72549019607843,1610612752,7,2,2023-03-27T23:47:30Z,140000,False,-56.0,109.0,1,right,I. Quickley 12' driving floating Jump Shot (4 PTS) (R. Barrett 1 AST),"[1630193, 1629628]",1610612752.0,NYK,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,12.23,Made,4.0,,,,,R. Barrett,1629628.0,1.0,,,,,,,,,,
16,PT10M14.00S,2023-03-27T23:47:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,20.318659658344284,36.029411764705884,1610612745,7,4,2023-03-27T23:50:05Z,160000,False,70.0,138.0,1,left,K. Porter Jr. 15' Jump Shot (2 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,15.51,Made,2.0,,,,,,,,,,,,,,,,,
17,PT09M54.00S,2023-03-27T23:47:54.3Z,1,REGULAR,3pt,Jump Shot,[],203944,73.66951379763469,19.852941176470587,1610612752,7,4,2023-03-27T23:47:59Z,170000,False,-151.0,195.0,1,right,MISS J. Randle 24' step back 3PT,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,24.64,Missed,,,,,,,,,,,,,,,,,,
18,PT09M52.00S,2023-03-27T23:47:56.3Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,7,4,2023-03-27T23:47:59Z,180000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT09M36.00S,2023-03-27T23:48:12.9Z,1,REGULAR,3pt,Jump Shot,[],1630224,6.258212877792378,96.56862745098039,1610612745,7,7,2023-03-27T23:48:16Z,190000,False,-233.0,6.0,1,left,J. Green 3PT  (3 PTS) (K. Martin Jr. 2 AST),"[1630224, 1630231]",1610612745.0,HOU,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,23.29,Made,3.0,,,,,K. Martin Jr.,1630231.0,2.0,,,,,,,,,,
21,PT09M22.00S,2023-03-27T23:48:29.3Z,1,REGULAR,foul,personal,['2freethrow'],1630231,,,1610612752,7,7,2023-03-27T23:48:41Z,210000,False,,,0,,K. Martin Jr. shooting personal FOUL (1 PF) (Barrett 2 FT),"[1630231, 1629628]",1610612745.0,HOU,shooting,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204059.0,1.0,0.0,Barrett,1629628.0,,,,,
23,PT09M22.00S,2023-03-27T23:48:48.9Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,8,7,2023-03-27T23:49:05Z,230000,False,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
24,PT09M22.00S,2023-03-27T23:48:48.9Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,8,7,2023-03-27T23:49:05Z,240000,False,,,0,,MISS R. Barrett Free Throw 2 of 2,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
25,PT09M20.00S,2023-03-27T23:48:50.9Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,8,7,2023-03-27T23:49:05Z,250000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,
