actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-05T23:41:36.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-05T23:41:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-05T23:41:39.2Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-11-05T23:41:39Z,40000,,,0,,Jump Ball B. Griffin vs. I. Hartenstein: Tip to M. Smart,"[203935, 201933, 1628392]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Griffin,201933.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-05T23:41:50.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,27.414586070959263,78.43137254901961,1610612738,0,3,2022-11-05T23:41:55Z,70000,-142.0,205.0,1,left,J. Brown 24' 3PT  (3 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,24.97,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2022-11-05T23:42:15.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,87.86136662286465,48.77450980392157,1610612752,0,3,2022-11-05T23:42:22Z,90000,-6.0,62.0,1,right,MISS R. Barrett 6' driving floating Shot,[1629628],1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,6.19,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2022-11-05T23:42:20.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,0,3,2022-11-05T23:42:20Z,100000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,9.0,,,,,,,,,,,,,
12,PT11M07.00S,2022-11-05T23:42:36.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,30.699737187910642,66.17647058823529,1610612738,0,6,2022-11-05T23:43:22Z,120000,-81.0,236.0,1,left,J. Tatum 24' 3PT pullup (3 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,24.96,Made,3.0,,,,,,,,,,,,,,,,,
13,PT10M47.00S,2022-11-05T23:42:55.7Z,1,REGULAR,3pt,Jump Shot,[],203944,74.58935611038108,82.1078431372549,1610612752,0,6,2022-11-05T23:42:59Z,130000,161.0,186.0,1,right,MISS J. Randle 24' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,24.6,Missed,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2022-11-05T23:42:58.7Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,6,2022-11-05T23:42:59Z,140000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M38.00S,2022-11-05T23:43:05.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628401,5.732588699080158,44.6078431372549,1610612738,0,6,2022-11-05T23:43:10Z,150000,27.0,1.0,1,left,MISS D. White driving reverse Layup,[1628401],1610612738.0,BOS,driving reverse,,,White,D. White,,,,,Restricted Area,0-8 Center,2.7,Missed,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2022-11-05T23:43:08.7Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,0,6,2022-11-05T23:43:10Z,160000,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
