actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-26T00:41:41.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-26T00:41:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-26T00:41:45.5Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2022-11-26T00:41:45Z,40000,False,,,0,,Jump Ball J. Nurkic vs. M. Robinson: Tip to A. Simons,"[1629014, 203994, 1629011]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Nurkic,203994.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-11-26T00:41:59.6Z,1,REGULAR,2pt,Jump Shot,[],203924,20.71287779237845,54.65686274509803,1610612757,0,0,2022-11-26T00:42:05Z,70000,False,-23.0,142.0,1,left,MISS J. Grant 14' floating Shot,[203924],1610612757.0,POR,floating,,,Grant,J. Grant,,,,,Mid-Range,8-16 Center,14.41,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-11-26T00:42:00.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-11-26T00:42:05Z,80000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M26.00S,2022-11-26T00:42:41.0Z,1,REGULAR,turnover,out-of-bounds,[],1629628,,,1610612752,0,0,2022-11-26T00:42:45Z,110000,False,,,0,,R. Barrett bad pass out-of-bounds TURNOVER (1 TO),[1629628],1610612752.0,NYK,bad pass,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,,,2003.0,1.0,,,,,,,,,,,,
12,PT11M14.00S,2022-11-26T00:42:59.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203924,30.962549277266753,38.970588235294116,1610612757,0,0,2022-11-26T00:43:05Z,120000,False,55.0,239.0,1,left,MISS J. Grant 24' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Center,24.48,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2022-11-26T00:43:01.8Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,0,0,2022-11-26T00:43:05Z,130000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M03.00S,2022-11-26T00:43:11.4Z,1,REGULAR,2pt,Jump Shot,[],203944,84.44480946123521,77.20588235294117,1610612752,0,0,2022-11-26T00:43:17Z,140000,False,136.0,94.0,1,right,MISS J. Randle 16' Jump Shot,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Right,16.52,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2022-11-26T00:43:13.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,0,0,2022-11-26T00:43:17Z,150000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Mid-Range,16-24 Right,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M50.00S,2022-11-26T00:43:24.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626159,10.33180026281209,50.0,1610612757,0,0,2022-11-26T01:01:17Z,160000,False,0.0,45.0,1,left,MISS J. Winslow Layup - blocked,"[1626159, 1629011]",1610612757.0,POR,,,,Winslow,J. Winslow,,,,,In The Paint (Non-RA),0-8 Center,4.46,Missed,,,,,,,Robinson,1629011.0,,,,,,,,,,
