actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-25T17:08:37.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-25T17:08:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-25T17:08:39.6Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2022-12-25T17:08:39Z,40000,False,,,0,,Jump Ball M. Robinson vs. J. Embiid: Tip to J. Brunson,"[1628973, 1629011, 203954]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-12-25T17:08:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,91.67214191852825,42.15686274509804,1610612752,2,0,2022-12-25T17:08:54Z,70000,False,-39.0,26.0,1,right,J. Brunson driving floating Jump Shot (2 PTS) (Q. Grimes 1 AST),"[1628973, 1629656]",1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,4.69,Made,2.0,Q. Grimes,1629656.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-12-25T17:09:15.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201935,7.5722733245729295,44.85294117647059,1610612755,2,2,2022-12-25T17:09:45Z,90000,False,26.0,19.0,1,left,J. Harden turnaround Hook (2 PTS),[201935],1610612755.0,PHI,turnaround,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,3.18,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2022-12-25T17:09:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.03745072273325,44.85294117647059,1610612752,2,2,2022-12-25T17:09:43Z,100000,False,-26.0,4.0,1,right,MISS R. Barrett driving finger roll Layup,[1629628],1610612752.0,NYK,driving finger roll,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,2.59,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2022-12-25T17:09:28.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,2,2,2022-12-25T17:09:43Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M09.00S,2022-12-25T17:09:35.1Z,1,REGULAR,foul,personal,[],200782,,,1610612752,2,2,2022-12-25T17:10:05Z,120000,False,,,0,,P. Tucker loose ball personal FOUL (1 PF),"[200782, 1629011]",1610612755.0,PHI,loose ball,,,Tucker,P. Tucker,,,,,Restricted Area,0-8 Center,,,,,,,,1148.0,1.0,0.0,Robinson,1629011.0,,,,,,,,
14,PT10M59.00S,2022-12-25T17:09:55.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,75.64060446780552,14.950980392156863,1610612752,5,2,2022-12-25T17:09:59Z,140000,False,-175.0,176.0,1,right,J. Randle 24' 3PT  (3 PTS) (J. Brunson 1 AST),"[203944, 1628973]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,24.87,Made,3.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,
16,PT10M42.00S,2022-12-25T17:10:12.3Z,1,REGULAR,3pt,Jump Shot,[],202699,7.5722733245729295,3.1862745098039214,1610612755,5,2,2022-12-25T17:10:15Z,160000,False,234.0,19.0,1,left,MISS T. Harris bank 3PT,[202699],1610612755.0,PHI,bank,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,23.48,Missed,,,,,,,,,,,,,,,,,,
17,PT10M40.00S,2022-12-25T17:10:14.3Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,5,2,2022-12-25T17:10:15Z,170000,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Right Corner 3,24+ Right,,,,,,,16.0,,,,,,1.0,1.0,0.0,,,,,
