actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-12T00:42:27.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-12T00:42:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-12T00:42:31.2Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612765,0,0,2022-11-12T00:42:31Z,40000,False,,,0,,Jump Ball I. Stewart vs. I. Hartenstein: Tip to B. Bogdanovic,"[202711, 1630191, 1628392]",1610612765.0,DET,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Stewart,1630191.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-11-12T00:42:44.6Z,1,REGULAR,foul,offensive,[],1630191,,,1610612765,0,0,2022-11-12T00:43:04Z,70000,False,,,0,,I. Stewart offensive FOUL (1 PF),"[1630191, 1628973]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Mid-Range,16-24 Center,201639.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2022-11-12T00:42:44.6Z,1,REGULAR,turnover,offensive foul,[],1630191,,,1610612765,0,0,2022-11-12T00:42:44Z,90000,False,,,0,,I. Stewart offensive foul TURNOVER (1 TO),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Mid-Range,16-24 Center,201639.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M34.00S,2022-11-12T00:43:04.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,84.31340341655716,42.8921568627451,1610612752,2,0,2022-11-12T00:43:16Z,100000,False,-36.0,95.0,1,right,J. Brunson 10' driving floating Jump Shot (2 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,10.14,Made,2.0,,,,,,,,,,,
11,PT11M24.00S,2022-11-12T00:43:14.2Z,1,REGULAR,3pt,Jump Shot,[],1630191,32.14520367936925,36.76470588235294,1610612765,2,3,2022-11-12T00:43:20Z,110000,False,66.0,250.0,1,left,I. Stewart 25' 3PT  (3 PTS) (J. Ivey 1 AST),"[1630191, 1631093]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Center,,,,,,,25.83,Made,3.0,J. Ivey,1631093.0,1.0,,,,,,,,
13,PT11M05.00S,2022-11-12T00:43:37.1Z,1,REGULAR,foul,personal,[],202709,,,1610612752,2,3,2022-11-12T00:43:54Z,130000,False,,,0,,C. Joseph personal FOUL (1 PF),"[202709, 1629628]",1610612765.0,DET,,,,Joseph,C. Joseph,,,,,In The Paint (Non-RA),8-16 Center,201639.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,,,,,,,
15,PT10M58.00S,2022-11-12T00:44:11.4Z,1,REGULAR,3pt,Jump Shot,[],1629629,67.36202365308804,51.470588235294116,1610612752,2,3,2022-11-12T00:44:37Z,150000,False,7.0,254.0,1,right,MISS C. Reddish 25' 3PT,[1629629],1610612752.0,NYK,,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Center,,,,,,,25.44,Missed,,,,,,,,,,,,
16,PT10M57.00S,2022-11-12T00:44:12.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,2,3,2022-11-12T00:44:37Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,15.0,,,,,,,
17,PT10M57.00S,2022-11-12T00:44:16.1Z,1,REGULAR,foul,personal,[],202709,,,1610612752,2,3,2022-11-12T00:44:28Z,170000,False,,,0,,C. Joseph loose ball personal FOUL (2 PF),"[202709, 1628392]",1610612765.0,DET,loose ball,,,Joseph,C. Joseph,,,,,Restricted Area,0-8 Center,1201.0,2.0,0.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,
19,PT10M57.00S,2022-11-12T00:44:16.2Z,1,REGULAR,substitution,out,[],202709,,,1610612752,2,3,2022-11-12T00:44:49Z,190000,False,,,0,,SUB out: C. Joseph,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M57.00S,2022-11-12T00:44:16.2Z,1,REGULAR,substitution,in,[],1630165,,,1610612752,2,3,2022-11-12T00:44:49Z,200000,False,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M43.00S,2022-11-12T00:45:04.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629628,94.1688567674113,44.36274509803921,1610612752,2,3,2022-11-12T00:45:13Z,210000,False,-28.0,2.0,1,right,MISS R. Barrett driving finger roll Layup,[1629628],1610612752.0,NYK,driving finger roll,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,2.83,Missed,,,,,,,,,,,,
23,PT10M39.00S,2022-11-12T00:45:08.2Z,1,REGULAR,rebound,defensive,[],202711,,,1610612765,2,3,2022-11-12T00:45:13Z,230000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,
24,PT10M34.00S,2022-11-12T00:45:13.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630165,5.601182654402102,4.6568627450980395,1610612765,2,3,2022-11-12T00:45:19Z,240000,False,227.0,0.0,1,left,MISS K. Hayes 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Right Corner 3,24+ Right,,,,,,,22.67,Missed,,,,,,,,,,,,
25,PT10M30.00S,2022-11-12T00:45:17.8Z,1,REGULAR,rebound,defensive,[],1629629,,,1610612752,2,3,2022-11-12T00:45:19Z,250000,False,,,0,,C. Reddish REBOUND (Off:0 Def:1),[1629629],1610612752.0,NYK,,,,Reddish,C. Reddish,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,
26,PT10M23.00S,2022-11-12T00:45:24.0Z,1,REGULAR,3pt,Jump Shot,[],203944,71.43561103810775,73.52941176470588,1610612752,2,3,2022-11-12T00:45:31Z,260000,False,118.0,216.0,1,right,MISS J. Randle 24' step back 3PT,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,,,,24.59,Missed,,,,,,,,,,,,
27,PT10M18.00S,2022-11-12T00:45:29.0Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,2,3,2022-11-12T00:45:31Z,270000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,
28,PT10M12.00S,2022-11-12T00:45:38.3Z,1,REGULAR,foul,personal,[],1629628,,,1610612765,2,3,2022-11-12T00:45:45Z,280000,False,,,0,,R. Barrett personal FOUL (1 PF),"[1629628, 1631093]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Mid-Range,16-24 Center,201639.0,1.0,0.0,Ivey,1631093.0,,,,,,,,,,,,,,,
31,PT10M05.00S,2022-11-12T00:46:15.2Z,1,REGULAR,turnover,out-of-bounds,[],1630165,,,1610612765,2,3,2022-11-12T00:46:25Z,310000,False,,,0,,K. Hayes lost ball out-of-bounds TURNOVER (1 TO),[1630165],1610612765.0,DET,lost ball,,,Hayes,K. Hayes,,,,,Mid-Range,16-24 Right Center,201639.0,,,,,1.0,,,,,,,,,,,,,,
32,PT09M46.00S,2022-11-12T00:46:37.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629628,85.62746386333771,42.64705882352941,1610612752,4,3,2022-11-12T00:46:46Z,320000,False,-37.0,83.0,1,right,R. Barrett 9' driving floating Jump Shot (2 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.04,Made,2.0,J. Randle,203944.0,1.0,,,,,,,,
34,PT09M30.00S,2022-11-12T00:46:53.1Z,1,REGULAR,3pt,Jump Shot,[],202711,32.670827858081466,39.705882352941174,1610612765,4,3,2022-11-12T00:47:03Z,340000,False,51.0,255.0,1,left,MISS B. Bogdanovic 25' 3PT,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,,,,,,,25.98,Missed,,,,,,,,,,,,
35,PT09M26.00S,2022-11-12T00:46:57.1Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,4,3,2022-11-12T00:47:03Z,350000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,
36,PT09M13.00S,2022-11-12T00:47:10.1Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612752,4,3,2022-11-12T00:47:17Z,360000,False,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 1631093]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Right,,,,,,1.0,,,,,,,,,,,Ivey,1631093.0,,
37,PT09M13.00S,2022-11-12T00:47:10.1Z,1,REGULAR,steal,,[],1631093,,,1610612765,4,3,2022-11-12T00:47:12Z,370000,False,,,0,,J. Ivey STEAL (1 STL),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
38,PT09M09.00S,2022-11-12T00:47:14.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202711,6.1268068331143235,49.50980392156863,1610612765,4,5,2022-11-12T00:47:24Z,380000,False,2.0,5.0,1,left,B. Bogdanovic cutting Layup (2 PTS) (J. Ivey 2 AST),"[202711, 1631093]",1610612765.0,DET,cutting,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,,,,,,,0.57,Made,2.0,J. Ivey,1631093.0,2.0,,,,,,,,
40,PT09M02.00S,2022-11-12T00:47:21.3Z,1,REGULAR,3pt,Jump Shot,[],1629628,78.13731931668858,11.27450980392157,1610612752,4,5,2022-11-12T00:47:27Z,400000,False,-194.0,153.0,1,right,MISS R. Barrett 24' pullup 3PT,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,,,,24.68,Missed,,,,,,,,,,,,
41,PT09M02.00S,2022-11-12T00:47:21.3Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,4,5,2022-11-12T00:47:27Z,410000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,
42,PT08M46.00S,2022-11-12T00:47:37.3Z,1,REGULAR,3pt,Jump Shot,[],1630165,7.703679369250986,4.166666666666666,1610612765,4,5,2022-11-12T00:47:44Z,420000,False,229.0,20.0,1,left,MISS K. Hayes 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Right Corner 3,24+ Right,,,,,,,23.01,Missed,,,,,,,,,,,,
44,PT08M42.00S,2022-11-12T00:47:41.3Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,4,5,2022-11-12T00:47:44Z,440000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,
45,PT08M38.00S,2022-11-12T00:47:44.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203944,91.32720105124835,58.47886029411765,1610612752,6,5,2022-11-12T00:47:55Z,450000,False,42.0,29.0,1,right,J. Randle driving floating bank Jump Shot (2 PTS),[203944],1610612752.0,NYK,driving floating bank,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,5.14,Made,2.0,,,,,,,,,,,
46,PT08M13.00S,2022-11-12T00:48:10.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,16.376478318002626,49.754901960784316,1610612765,6,7,2022-11-12T00:48:19Z,460000,False,1.0,101.0,1,left,K. Hayes 10' fadeaway Jump Shot (2 PTS),[1630165],1610612765.0,DET,fadeaway,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,10.14,Made,2.0,,,,,,,,,,,
47,PT07M59.00S,2022-11-12T00:48:23.7Z,1,REGULAR,3pt,Jump Shot,[],203944,73.80091984231275,82.84313725490196,1610612752,6,7,2022-11-12T00:48:32Z,470000,False,164.0,194.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,,,,25.4,Missed,,,,,,,,,,,,
48,PT07M57.00S,2022-11-12T00:48:25.7Z,1,REGULAR,rebound,defensive,[],202711,,,1610612765,6,7,2022-11-12T00:48:32Z,480000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:2),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,
49,PT07M55.00S,2022-11-12T00:48:28.8Z,1,REGULAR,turnover,bad pass,[],202711,,,1610612765,6,7,2022-11-12T00:48:34Z,490000,False,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[202711, 1628973]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,,,,,,1.0,,,,,,,,,,,Brunson,1628973.0,,
50,PT07M55.00S,2022-11-12T00:48:28.8Z,1,REGULAR,steal,,[],1628973,,,1610612752,6,7,2022-11-12T00:48:30Z,500000,False,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
51,PT07M50.00S,2022-11-12T00:48:35.5Z,1,REGULAR,turnover,traveling,[],1628392,,,1610612752,6,7,2022-11-12T00:48:42Z,510000,False,,,0,,I. Hartenstein traveling TURNOVER (1 TO),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,202027.0,,,,,1.0,,,,,,,,,,,,,,
52,PT07M39.00S,2022-11-12T00:49:05.8Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612765,6,7,2022-11-12T00:49:13Z,520000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Stewart 2 FT),"[1628392, 1630191]",1610612752.0,NYK,shooting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,1201.0,1.0,0.0,Stewart,1630191.0,,,,,,,,,,,,,,,
54,PT07M39.00S,2022-11-12T00:49:32.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630191,,,1610612765,6,7,2022-11-12T00:49:32Z,540000,False,,,0,,MISS I. Stewart Free Throw 1 of 2,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,Missed,,,,,,,,,,,,
55,PT07M39.00S,2022-11-12T00:49:32.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,6,7,2022-11-12T00:49:32Z,550000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,
56,PT07M39.00S,2022-11-12T00:49:51.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630191,,,1610612765,6,8,2022-11-12T00:49:51Z,560000,False,,,0,,I. Stewart Free Throw 2 of 2 (4 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,Made,4.0,,,,,,,,,,,
57,PT07M31.00S,2022-11-12T00:49:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.1688567674113,48.529411764705884,1610612752,8,8,2022-11-12T00:50:04Z,570000,False,-7.0,2.0,1,right,R. Barrett driving Layup (4 PTS),[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,0.77,Made,4.0,,,,,,,,,,,
58,PT07M20.00S,2022-11-12T00:50:11.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,5.863994743758213,48.28431372549019,1610612765,8,10,2022-11-12T00:50:17Z,580000,False,9.0,3.0,1,left,J. Ivey driving Layup (2 PTS),[1631093],1610612765.0,DET,driving,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,,,,,0.9,Made,2.0,,,,,,,,,,,
59,PT07M10.00S,2022-11-12T00:50:20.8Z,1,REGULAR,3pt,Jump Shot,[],1629628,95.87713534822602,94.85294117647058,1610612752,8,10,2022-11-12T00:50:28Z,590000,False,224.0,-14.0,1,right,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,,,,,,,22.47,Missed,,,,,,,,,,,,
60,PT07M07.00S,2022-11-12T00:50:24.2Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,8,10,2022-11-12T00:50:24Z,600000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,59.0,2.0,1.0,1.0,,,,
61,PT07M06.00S,2022-11-12T00:50:25.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,69.59592641261499,30.14705882352941,1610612752,8,10,2022-11-12T00:50:31Z,610000,False,-99.0,233.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,,,25.36,Missed,,,,,,,,,,,,
