shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
12:00,2,PT12M00.00S,2022-12-08T00:45:55.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-08T00:45:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:57,4,PT11M57.00S,2022-12-08T00:45:58.5Z,1,REGULAR,jumpball,recovered,[],1631100,,,1610612737,0,0,2022-12-08T00:45:58Z,40000,False,,,0,,Jump Ball C. Capela vs. M. Robinson: Tip to A. Griffin,"[1631100, 203991, 1629011]",14,1610612737.0,ATL,startperiod,A. Griffin,1631100.0,Griffin,A. Griffin,Capela,203991.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,
11:42,7,PT11M42.00S,2022-12-08T00:46:13.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,7.966491458607096,56.127450980392155,1610612737,0,2,2022-12-08T00:46:21Z,70000,False,-31.0,22.0,1,left,T. Young fadeaway bank Jump Shot (2 PTS),[1629027],11,1610612737.0,ATL,fadeaway bank,,,Young,T. Young,,,,,Restricted Area,0-8 Center,3.79,Made,2.0,,,,,,,,,,,,,,,,,
11:21,8,PT11M21.00S,2022-12-08T00:46:33.7Z,1,REGULAR,3pt,Jump Shot,[],203944,69.99014454664915,28.921568627450984,1610612752,3,2,2022-12-08T00:46:39Z,80000,False,-105.0,230.0,1,right,J. Randle 25' 3PT  (3 PTS) (J. Brunson 1 AST),"[203944, 1628973]",30,1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,25.26,Made,3.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,
11:07,10,PT11M07.00S,2022-12-08T00:46:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,11.12023653088042,49.50980392156863,1610612737,3,2,2022-12-08T00:46:52Z,100000,False,2.0,52.0,1,left,MISS T. Young driving floating Shot,[1629027],11,1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,5.21,Missed,,,,,,,,,,,,,,,,,,
11:05,11,PT11M05.00S,2022-12-08T00:46:50.7Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,3,2,2022-12-08T00:46:52Z,110000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],6,1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
10:48,12,PT10M48.00S,2022-12-08T00:47:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.19776609724047,47.05882352941176,1610612752,5,2,2022-12-08T00:47:10Z,120000,False,-15.0,21.0,1,right,R. Barrett driving Layup (2 PTS),[1629628],9,1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,2.55,Made,2.0,,,,,,,,,,,,,,,,,
10:22,13,PT10M22.00S,2022-12-08T00:47:32.9Z,1,REGULAR,3pt,Jump Shot,[],1629027,30.042706964520367,30.14705882352941,1610612737,5,2,2022-12-08T00:47:39Z,130000,False,99.0,230.0,1,left,MISS T. Young 25' step back 3PT,[1629027],11,1610612737.0,ATL,step back,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,25.04,Missed,,,,,,,,,,,,,,,,,,
10:20,14,PT10M20.00S,2022-12-08T00:47:35.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,5,2,2022-12-08T00:47:35Z,140000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],30,1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
10:04,15,PT10M04.00S,2022-12-08T00:47:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,92.32917214191852,58.82352941176471,1610612752,7,2,2022-12-08T00:47:56Z,150000,False,44.0,20.0,1,right,J. Randle fadeaway bank Jump Shot (5 PTS),[203944],30,1610612752.0,NYK,fadeaway bank,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,4.83,Made,5.0,,,,,,,,,,,,,,,,,
09:38,16,PT09M38.00S,2022-12-08T00:48:17.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631100,8.360709592641262,51.71568627450981,1610612737,7,2,2022-12-08T00:48:27Z,160000,False,-9.0,26.0,1,left,MISS A. Griffin turnaround Hook,[1631100],14,1610612737.0,ATL,turnaround,,,Griffin,A. Griffin,,,,,Restricted Area,0-8 Center,2.75,Missed,,,,,,,,,,,,,,,,,,
09:36,17,PT09M36.00S,2022-12-08T00:48:19.5Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,7,2,2022-12-08T00:48:27Z,170000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],15,1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,
09:36,18,PT09M36.00S,2022-12-08T00:48:21.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,7.5722733245729295,50.49019607843137,1610612737,7,2,2022-12-08T00:48:47Z,180000,False,-2.0,19.0,1,left,MISS C. Capela tip Layup,[203991],15,1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1.89,Missed,,,,,,,,,,,,,,,,,,
