actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-26T23:41:09.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-26T23:41:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-10-26T23:41:11.3Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2022-10-26T23:41:11Z,40000,,,0,,Jump Ball M. Robinson vs. M. Plumlee: Tip to J. Randle,"[203944, 1629011, 203486]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-10-26T23:41:31.2Z,1,REGULAR,2pt,Jump Shot,[],1629628,21.369908015768726,26.96078431372549,1610612752,2,0,2022-10-26T23:42:09Z,70000,115.0,148.0,1,left,R. Barrett 18' step back Jump Shot (2 PTS),[1629628],1610612752.0,NYK,step back,,,Barrett,R. Barrett,,,,,Mid-Range,16-24 Right Center,18.79,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2022-10-26T23:41:49.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,71.43561103810775,25.0,1610612766,2,3,2022-10-26T23:41:53Z,80000,-125.0,216.0,1,right,P. Washington 24' 3PT  (3 PTS) (G. Hayward 1 AST),"[1629023, 202330]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,24.96,Made,3.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,
10,PT10M55.00S,2022-10-26T23:42:13.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,9.674770039421814,51.470588235294116,1610612752,4,3,2022-10-26T23:42:18Z,100000,-7.0,38.0,1,left,J. Brunson turnaround Jump Shot (2 PTS),[1628973],1610612752.0,NYK,turnaround,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,3.91,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M43.00S,2022-10-26T23:42:28.7Z,1,REGULAR,foul,personal,[],1629628,,,1610612766,4,3,2022-10-26T23:42:56Z,110000,,,0,,R. Barrett personal FOUL (1 PF),"[1629628, 202330]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Right,,,,,,,204058.0,1.0,0.0,Hayward,202330.0,,,,,,,,,
13,PT10M34.00S,2022-10-26T23:42:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628372,86.5473061760841,49.01960784313725,1610612766,4,3,2022-10-26T23:43:30Z,130000,-5.0,74.0,1,right,MISS D. Smith Jr. 7' driving floating Shot,[1628372],1610612766.0,CHA,driving floating,,,Smith Jr.,D. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.42,Missed,,,,,,,,,,,,,,,,,,
14,PT10M32.00S,2022-10-26T23:42:54.8Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,4,3,2022-10-26T23:43:04Z,140000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M25.00S,2022-10-26T23:43:01.4Z,1,REGULAR,2pt,Jump Shot,[],1628973,25.18068331143233,64.4607843137255,1610612752,6,3,2022-10-26T23:43:07Z,150000,-72.0,184.0,1,left,J. Brunson 19' pullup Jump Shot (4 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,19.79,Made,4.0,,,,,,,,,,,,,,,,,
16,PT10M15.00S,2022-10-26T23:43:11.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,94.82588699080158,53.92156862745098,1610612766,6,3,2022-10-26T23:43:16Z,160000,20.0,-4.0,1,right,MISS P. Washington driving Layup - blocked,"[1629023, 1629011]",1610612766.0,CHA,driving,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,2.0,Missed,,,,,,,,,,,,,,Robinson,1629011.0,,,
17,PT10M15.00S,2022-10-26T23:43:11.8Z,1,REGULAR,block,,[],1629011,,,1610612766,6,3,2022-10-26T23:43:14Z,170000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M13.00S,2022-10-26T23:43:13.8Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,6,3,2022-10-26T23:43:16Z,180000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
