actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-01T00:41:55.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-01T00:41:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-12-01T00:42:00.0Z,1,REGULAR,jumpball,recovered,[],1629656,,,1610612752,0,0,2022-12-01T00:42:00Z,40000,False,,,0,,Jump Ball M. Robinson vs. B. Lopez: Tip to Q. Grimes,"[1629656, 1629011, 201572]",1610612752.0,NYK,startperiod,Q. Grimes,1629656.0,Grimes,Q. Grimes,Robinson,1629011.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-12-01T00:42:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,11.514454664914586,53.67647058823529,1610612752,0,0,2022-12-01T00:42:21Z,70000,False,-18.0,56.0,1,left,MISS J. Brunson driving floating Shot - blocked,"[1628973, 1628975]",1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,5.87,Missed,Carter,1628975.0,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-12-01T00:42:12.0Z,1,REGULAR,block,,[],1628975,,,1610612752,0,0,2022-12-01T00:42:14Z,80000,False,,,0,,J. Carter BLOCK (1 BLK),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-12-01T00:42:14.0Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2022-12-01T00:42:21Z,90000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M34.00S,2022-12-01T00:42:20.5Z,1,REGULAR,3pt,Jump Shot,[],1628960,94.56307490144546,2.450980392156863,1610612749,0,0,2022-12-01T00:42:27Z,100000,False,-238.0,-1.0,1,right,MISS G. Allen 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Left Corner 3,24+ Left,23.77,Missed,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2022-12-01T00:42:22.5Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,0,0,2022-12-01T00:42:27Z,110000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Left Corner 3,24+ Left,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M12.00S,2022-12-01T00:42:42.7Z,1,REGULAR,3pt,Jump Shot,[],1628973,7.30946123521682,4.6568627450980395,1610612752,0,0,2022-12-01T00:42:46Z,120000,False,227.0,16.0,1,left,MISS J. Brunson 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Right Corner 3,24+ Right,22.73,Missed,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2022-12-01T00:42:44.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2022-12-01T00:42:46Z,130000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Right Corner 3,24+ Right,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M02.00S,2022-12-01T00:42:52.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201572,90.09526938239159,50.98039215686274,1610612749,0,0,2022-12-01T00:42:57Z,140000,False,5.0,41.0,1,right,MISS B. Lopez Hook,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,4.09,Missed,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2022-12-01T00:42:54.7Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,0,2022-12-01T00:42:57Z,150000,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT10M54.00S,2022-12-01T00:43:01.1Z,1,REGULAR,3pt,Jump Shot,[],203944,26.363337713534822,80.3921568627451,1610612752,3,0,2022-12-01T00:43:06Z,160000,False,-152.0,195.0,1,left,J. Randle 24' 3PT pullup (3 PTS),[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,24.75,Made,,,,,,,3.0,,,,,,,,,,,
17,PT10M39.00S,2022-12-01T00:43:20.6Z,1,REGULAR,foul,offensive,[],201950,,,1610612749,3,0,2022-12-01T00:43:42Z,170000,False,,,0,,J. Holiday offensive FOUL (1 PF),"[201950, 1629656]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Left,,,,,,,,,,1662.0,1.0,0.0,Grimes,1629656.0,,,,,,
19,PT10M39.00S,2022-12-01T00:43:20.6Z,1,REGULAR,turnover,offensive foul,[],201950,,,1610612749,3,0,2022-12-01T00:43:28Z,190000,False,,,0,,J. Holiday offensive foul TURNOVER (1 TO),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Left,,,,,,,,,,1662.0,,,,,1.0,,,,,
20,PT10M39.00S,2022-12-01T00:43:20.7Z,1,REGULAR,substitution,out,[],1628973,,,1610612752,3,0,2022-12-01T00:43:33Z,200000,False,,,0,,SUB out: J. Brunson,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M39.00S,2022-12-01T00:43:20.7Z,1,REGULAR,substitution,in,[],201565,,,1610612752,3,0,2022-12-01T00:43:33Z,210000,False,,,0,,SUB in: D. Rose,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M23.00S,2022-12-01T00:43:52.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203944,30.831143232588698,40.19607843137255,1610612752,3,0,2022-12-01T00:44:00Z,220000,False,49.0,237.0,1,left,MISS J. Randle 24' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,24.23,Missed,,,,,,,,,,,,,,,,,,
23,PT10M21.00S,2022-12-01T00:43:54.8Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,3,0,2022-12-01T00:44:00Z,230000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,
24,PT10M13.00S,2022-12-01T00:44:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,93.9060446780552,51.470588235294116,1610612749,3,0,2022-12-01T00:45:25Z,240000,False,7.0,5.0,1,right,MISS G. Allen driving reverse Layup,[1628960],1610612749.0,MIL,driving reverse,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,0.88,Missed,,,,,,,,,,,,,,,,,,
