actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-02T00:41:40.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-02T00:41:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-02T00:41:44.0Z,1,REGULAR,jumpball,recovered,[],1629661,,,1610612751,0,0,2023-03-02T00:41:44Z,40000,False,,,0,,Jump Ball N. Claxton vs. M. Robinson: Tip to C. Johnson,"[1629661, 1629651, 1629011]",1610612751.0,BKN,startperiod,C. Johnson,1629661.0,Johnson,C. Johnson,Claxton,1629651.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-03-02T00:41:54.5Z,1,REGULAR,3pt,Jump Shot,[],1629661,28.86005256241787,20.588235294117645,1610612751,0,3,2023-03-02T00:41:59Z,70000,False,147.0,219.0,1,left,C. Johnson 26' 3PT  (3 PTS) (M. Bridges 1 AST),"[1629661, 1628969]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,26.37,Made,3.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2023-03-02T00:42:21.8Z,1,REGULAR,3pt,Jump Shot,[],203944,96.5341655716163,95.58823529411765,1610612752,3,3,2023-03-02T00:42:26Z,90000,False,228.0,-20.0,1,right,J. Randle 3PT  (3 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,22.88,Made,3.0,,,,,,,,,,,,,,,,,
10,PT11M05.00S,2023-03-02T00:42:34.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,14.4053876478318,58.82352941176471,1610612751,3,3,2023-03-02T00:42:40Z,100000,False,-44.0,83.0,1,left,MISS M. Bridges 9' pullup Shot,[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,9.39,Missed,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2023-03-02T00:42:36.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,3,3,2023-03-02T00:42:40Z,110000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M56.00S,2023-03-02T00:42:43.8Z,1,REGULAR,3pt,Jump Shot,[],1629628,95.6143232588699,95.83333333333334,1610612752,6,3,2023-03-02T00:42:49Z,120000,False,229.0,-11.0,1,right,R. Barrett 3PT  (3 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,22.95,Made,3.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,
14,PT10M40.00S,2023-03-02T00:42:59.5Z,1,REGULAR,3pt,Jump Shot,[],1629661,27.020367936925098,78.92156862745098,1610612751,6,6,2023-03-02T00:43:04Z,140000,False,-145.0,201.0,1,left,C. Johnson 24' 3PT  (6 PTS) (S. Dinwiddie 1 AST),"[1629661, 203915]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,24.8,Made,6.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,
16,PT10M13.00S,2023-03-02T00:43:26.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,81.68528252299606,62.99019607843137,1610612752,8,6,2023-03-02T00:43:50Z,160000,False,65.0,120.0,1,right,J. Brunson 13' step back Jump Shot (2 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,13.62,Made,2.0,,,,,,,,,,,,,,,,,
17,PT09M58.00S,2023-03-02T00:43:41.0Z,1,REGULAR,2pt,Jump Shot,[],1628969,18.610381077529567,22.794117647058822,1610612751,8,6,2023-03-02T00:43:45Z,170000,False,136.0,122.0,1,left,MISS M. Bridges 18' turnaround Shot,[1628969],1610612751.0,BKN,turnaround,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Right Center,18.3,Missed,,,,,,,,,,,,,,,,,,
