actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-03T17:41:15.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-03T17:41:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-03T17:41:17.7Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2022-12-03T17:41:17Z,40000,False,,,0,,Jump Ball M. Robinson vs. D. Powell: Tip to J. Randle,"[203944, 1629011, 203939]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-12-03T17:41:31.2Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612752,0,0,2022-12-03T17:41:45Z,70000,False,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Robinson 2 FT),"[1627827, 1629011]",1610612742.0,DAL,shooting,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,200833.0,1.0,0.0,Robinson,1629011.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2022-12-03T17:42:01.9Z,1,REGULAR,freethrow,1 of 2,[],1629011,,,1610612752,0,0,2022-12-03T17:42:20Z,90000,False,,,0,,MISS M. Robinson Free Throw 1 of 2,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M45.00S,2022-12-03T17:42:01.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612752,0,0,2022-12-03T17:42:20Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M45.00S,2022-12-03T17:42:01.9Z,1,REGULAR,freethrow,2 of 2,[],1629011,,,1610612752,0,0,2022-12-03T17:42:20Z,110000,False,,,0,,MISS M. Robinson Free Throw 2 of 2,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M43.00S,2022-12-03T17:42:03.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2022-12-03T17:42:20Z,120000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M28.00S,2022-12-03T17:42:33.9Z,1,REGULAR,3pt,Jump Shot,[],203501,31.61957950065703,61.029411764705884,1610612742,0,3,2022-12-03T17:42:51Z,130000,False,-55.0,245.0,1,left,T. Hardaway Jr. 25' 3PT pullup (3 PTS) (L. Doncic 1 AST),"[203501, 1629029]",1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,,,,,,Made,,,,,25.08,3.0,L. Doncic,1629029.0,1.0,,,,,
15,PT11M09.00S,2022-12-03T17:42:53.0Z,1,REGULAR,2pt,Jump Shot,[],203944,76.03482260183968,48.03921568627451,1610612752,2,3,2022-12-03T17:42:58Z,150000,False,-10.0,173.0,1,right,J. Randle 17' Jump Shot (2 PTS) (J. Brunson 1 AST),"[203944, 1628973]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Center,,,,,,Made,,,,,17.31,2.0,J. Brunson,1628973.0,1.0,,,,,
17,PT10M52.00S,2022-12-03T17:43:09.4Z,1,REGULAR,3pt,Jump Shot,[],203915,15.193823915900131,94.36274509803921,1610612742,2,3,2022-12-03T17:43:12Z,170000,False,-222.0,90.0,1,left,MISS S. Dinwiddie 3PT,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left,,,,,,Missed,,,,,23.95,,,,,,,,,
