shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-11T23:12:31.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-11T23:12:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:56,4,PT11M56.00S,2022-12-11T23:12:34.6Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2022-12-11T23:12:34Z,40000,False,,,0,,Jump Ball D. Sabonis vs. M. Robinson: Tip to H. Barnes,"[203084, 1627734, 1629011]",40,1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,
11:42,7,PT11M42.00S,2022-12-11T23:12:49.1Z,1,REGULAR,3pt,Jump Shot,[],1631099,32.40801576872536,49.26470588235294,1610612758,0,0,2022-12-11T23:12:55Z,70000,False,4.0,252.0,1,left,MISS K. Murray 25' 3PT,[1631099],13,1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,25.21,Missed,,,,,,,,,,,,,,,,,,
11:39,8,PT11M39.00S,2022-12-11T23:12:52.1Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,0,0,2022-12-11T23:12:55Z,80000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],10,1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11:33,9,PT11M33.00S,2022-12-11T23:13:01.6Z,1,REGULAR,turnover,3-second-violation,[],1631099,,,1610612758,0,0,2022-12-11T23:13:12Z,90000,False,,,0,,K. Murray 3-second-violation TURNOVER (1 TO),[1631099],13,1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,2005.0,1.0,,,,,,,,,,,,
11:18,10,PT11M18.00S,2022-12-11T23:13:26.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629011,93.9060446780552,48.03921568627451,1610612752,2,0,2022-12-11T23:13:29Z,100000,False,-10.0,5.0,1,right,M. Robinson DUNK (2 PTS) (J. Brunson 1 AST),"[1629011, 1628973]",23,1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,,,2.0,J. Brunson,1628973.0,1.0,,,,,,,,
11:13,12,PT11M13.00S,2022-12-11T23:13:41.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612758,2,0,2022-12-11T23:13:42Z,120000,False,,,0,,SAC Timeout,[],,1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,13,PT11M00.00S,2022-12-11T23:16:53.9Z,1,REGULAR,3pt,Jump Shot,[],203084,19.530223390275953,3.9215686274509802,1610612758,2,3,2022-12-11T23:16:58Z,130000,False,230.0,131.0,1,left,H. Barnes 26' 3PT  (3 PTS) (K. Huerter 1 AST),"[203084, 1628989]",40,1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,26.51,Made,,,,,,,3.0,K. Huerter,1628989.0,1.0,,,,,,,,
10:40,15,PT10M40.00S,2022-12-11T23:17:12.5Z,1,REGULAR,3pt,Jump Shot,[],203944,67.88764783180025,37.00980392156863,1610612752,2,3,2022-12-11T23:17:16Z,150000,False,-65.0,249.0,1,right,MISS J. Randle 25' 3PT,[203944],30,1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,25.77,Missed,,,,,,,,,,,,,,,,,,
10:37,16,PT10M37.00S,2022-12-11T23:17:15.5Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,3,2022-12-11T23:17:16Z,160000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],10,1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,
10:32,17,PT10M32.00S,2022-12-11T23:17:21.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628989,31.61957950065703,57.107843137254896,1610612758,2,3,2022-12-11T23:17:27Z,170000,False,-36.0,245.0,1,left,MISS K. Huerter 24' 3PT,[1628989],9,1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,24.73,Missed,,,,,,,,,,,,,,,,,,
10:28,18,PT10M28.00S,2022-12-11T23:17:25.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,3,2022-12-11T23:17:27Z,180000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],30,1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10:19,19,PT10M19.00S,2022-12-11T23:17:33.6Z,1,REGULAR,2pt,Jump Shot,[],1628973,84.57621550591328,18.627450980392158,1610612752,2,3,2022-12-11T23:17:38Z,190000,False,-157.0,92.0,1,right,MISS J. Brunson 18' step back Shot,[1628973],11,1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left,18.21,Missed,,,,,,,,,,,,,,,,,,
10:17,20,PT10M17.00S,2022-12-11T23:17:35.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,3,2022-12-11T23:17:38Z,200000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],10,1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Left,,,19.0,3.0,2.0,1.0,,,,,,,,,,,,,,
10:13,21,PT10M13.00S,2022-12-11T23:17:41.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627734,6.389618922470433,50.0,1610612758,2,3,2022-12-11T23:19:40Z,210000,False,0.0,8.0,1,left,MISS D. Sabonis running Layup,[1627734],10,1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,0.76,Missed,,,,,,,,,,,,,,,,,,
10:12,22,PT10M12.00S,2022-12-11T23:17:42.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,3,2022-12-11T23:19:40Z,220000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],30,1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
09:53,23,PT09M53.00S,2022-12-11T23:17:59.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629628,89.17542706964521,55.14705882352941,1610612752,2,3,2022-12-11T23:18:03Z,230000,False,26.0,49.0,1,right,MISS R. Barrett turnaround Hook,[1629628],9,1610612752.0,NYK,turnaround,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,5.56,Missed,,,,,,,,,,,,,,,,,,
09:52,24,PT09M52.00S,2022-12-11T23:18:00.6Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,2,3,2022-12-11T23:18:03Z,240000,False,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],23,1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,,
