actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-01T00:33:15.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-01T00:33:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-01T00:33:17.3Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2023-02-01T00:33:17Z,40000,False,,,0,,Jump Ball J. Sims vs. A. Davis: Tip to J. Randle,"[203944, 1630579, 203076]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Sims,1630579.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-02-01T00:33:31.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,13.222733245729303,51.9607843137255,1610612752,2,0,2023-02-01T00:35:53Z,70000,False,-10.0,72.0,1,left,J. Brunson 7' driving floating Jump Shot (2 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.25,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2023-02-01T00:33:52.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,84.05059132720105,52.94117647058824,1610612747,2,2,2023-02-01T00:33:56Z,80000,False,15.0,97.0,1,right,A. Davis 9' turnaround Jump Shot (2 PTS) (T. Brown Jr. 1 AST),"[203076, 1628972]",1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,9.85,Made,2.0,T. Brown Jr.,1628972.0,1.0,,,,,,,,,,,,,,
10,PT11M03.00S,2023-02-01T00:34:10.3Z,1,REGULAR,2pt,Jump Shot,[],1629628,23.866622864651774,66.66666666666666,1610612752,2,2,2023-02-01T00:34:15Z,100000,False,-83.0,172.0,1,left,MISS R. Barrett 19' pullup Shot,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,Mid-Range,16-24 Left Center,19.09,Missed,,,,,,,,,,,,,,,,,,
11,PT11M02.00S,2023-02-01T00:34:13.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,2,2,2023-02-01T00:34:13Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,,10.0,,,,,,,,,,,,,
13,PT10M48.00S,2023-02-01T00:34:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,93.64323258869908,46.07843137254902,1610612747,2,2,2023-02-01T00:34:42Z,130000,False,-20.0,7.0,1,right,MISS L. James driving Layup,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,2.09,Missed,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2023-02-01T00:34:37.1Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,2,2,2023-02-01T00:34:42Z,140000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M35.00S,2023-02-01T00:34:55.6Z,1,REGULAR,foul,technical,['1freethrow'],203076,,,1610612752,2,2,2023-02-01T00:35:07Z,150000,False,,,0,,A. Davis defensive-3-second technical FOUL (1 Tech),[203076],1610612747.0,LAL,defensive-3-second,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1162.0,0.0,1.0,,,,,,,
16,PT10M35.00S,2023-02-01T00:35:11.6Z,1,REGULAR,freethrow,1 of 1,[],203944,,,1610612752,3,2,2023-02-01T00:35:11Z,160000,False,,,0,,J. Randle technical Free Throw 1 of 1 (1 PTS),[203944],1610612752.0,NYK,technical,,,Randle,J. Randle,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
17,PT10M28.00S,2023-02-01T00:35:31.7Z,1,REGULAR,3pt,Jump Shot,[],1628973,26.363337713534822,17.892156862745097,1610612752,3,2,2023-02-01T00:35:38Z,170000,False,161.0,195.0,1,left,MISS J. Brunson 25' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,25.28,Missed,,,,,,,,,,,,,,,,,,
18,PT10M26.00S,2023-02-01T00:35:33.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,3,2,2023-02-01T00:35:38Z,180000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Right Center,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M15.00S,2023-02-01T00:35:44.0Z,1,REGULAR,2pt,Jump Shot,[],1629060,80.50262812089356,70.09803921568627,1610612747,3,4,2023-02-01T00:38:52Z,190000,False,100.0,131.0,1,right,R. Hachimura 16' step back Jump Shot (2 PTS) (L. James 1 AST),"[1629060, 2544]",1610612747.0,LAL,step back,,,Hachimura,R. Hachimura,,,,,Mid-Range,16-24 Right Center,16.5,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
21,PT09M56.00S,2023-02-01T00:36:02.5Z,1,REGULAR,3pt,Jump Shot,[],1629656,31.225361366622867,65.19607843137256,1610612752,3,4,2023-02-01T00:36:11Z,210000,False,-76.0,241.0,1,left,MISS Q. Grimes 25' 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Center,25.27,Missed,,,,,,,,,,,,,,,,,,
22,PT09M54.00S,2023-02-01T00:36:04.5Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,3,4,2023-02-01T00:36:11Z,220000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Center,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M47.00S,2023-02-01T00:36:11.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629060,78.0059132720105,11.029411764705882,1610612747,3,4,2023-02-01T00:36:19Z,230000,False,-195.0,154.0,1,right,MISS R. Hachimura 24' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,24.85,Missed,,,,,,,,,,,,,,,,,,
24,PT09M45.00S,2023-02-01T00:36:13.6Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,3,4,2023-02-01T00:36:19Z,240000,False,,,0,,J. Sims REBOUND (Off:0 Def:1),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,Above the Break 3,24+ Left Center,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,
