actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-21T00:32:58.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-21T00:32:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-21T00:33:01.3Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2022-12-21T00:33:01Z,40000,False,,,0,,Jump Ball M. Robinson vs. K. Looney: Tip to J. Randle,"[203944, 1629011, 1626172]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-12-21T00:33:10.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,88.25558475689881,41.911764705882355,1610612752,0,0,2022-12-21T00:40:57Z,70000,False,-40.0,58.0,1,right,MISS J. Brunson 7' driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.06,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-12-21T00:33:12.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2022-12-21T00:33:16Z,80000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-12-21T00:33:35.3Z,1,REGULAR,2pt,Jump Shot,[],1629673,23.340998685939553,23.03921568627451,1610612744,0,0,2022-12-21T00:33:39Z,90000,False,135.0,167.0,1,left,MISS J. Poole 21' Jump Shot,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Right Center,21.45,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-12-21T00:33:37.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-12-21T00:33:39Z,100000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2022-12-21T00:33:43.0Z,1,REGULAR,3pt,Jump Shot,[],203944,73.14388961892247,20.098039215686274,1610612752,0,0,2022-12-21T00:33:50Z,110000,False,-150.0,200.0,1,right,MISS J. Randle 24' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,24.96,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2022-12-21T00:33:45.0Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,0,0,2022-12-21T00:33:50Z,120000,False,,,0,,R. Barrett REBOUND (Off:1 Def:0),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M05.00S,2022-12-21T00:33:52.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629628,83.39356110381078,48.529411764705884,1610612752,0,0,2022-12-21T00:41:25Z,130000,False,-7.0,104.0,1,right,MISS R. Barrett 10' driving floating Shot,[1629628],1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,10.39,Missed,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2022-12-21T00:33:54.8Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,0,0,2022-12-21T00:33:57Z,140000,False,,,0,,J. Randle REBOUND (Off:1 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
