actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-24T23:41:25.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-24T23:41:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-10-24T23:41:30.1Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2022-10-24T23:41:30Z,40000,,,0,,Jump Ball M. Robinson vs. W. Carter Jr.: Tip to J. Brunson,"[1628973, 1629011, 1628976]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-10-24T23:41:44.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,85.10183968462549,49.50980392156863,1610612752,0,0,2022-10-24T23:41:52Z,70000,-2.0,88.0,1,right,MISS J. Brunson 8' turnaround fadeaway Shot,[1628973],1610612752.0,NYK,turnaround fadeaway,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,8.75,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-10-24T23:41:46.2Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,0,2022-10-24T23:41:52Z,80000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-10-24T23:42:01.7Z,1,REGULAR,turnover,traveling,[],203082,,,1610612753,0,0,2022-10-24T23:42:07Z,90000,,,0,,T. Ross traveling TURNOVER (1 TO),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,Right Corner 3,24+ Right,,,,,,,202035.0,1.0,,,,,,,,,,,,
10,PT11M13.00S,2022-10-24T23:42:20.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203944,67.49342969776609,40.68627450980392,1610612752,0,0,2022-10-24T23:42:27Z,100000,-47.0,253.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,25.74,Missed,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2022-10-24T23:42:22.7Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,0,2022-10-24T23:42:27Z,110000,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,
12,PT10M53.00S,2022-10-24T23:42:43.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,6.389618922470433,54.65686274509803,1610612753,0,0,2022-10-24T23:43:58Z,120000,-23.0,8.0,1,left,MISS F. Wagner driving floating bank Shot - blocked,"[1630532, 1629011]",1610612753.0,ORL,driving floating bank,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,Robinson,1629011.0,,,,,,,,,,
13,PT10M53.00S,2022-10-24T23:42:43.4Z,1,REGULAR,block,,[],1629011,,,1610612753,0,0,2022-10-24T23:42:45Z,130000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2022-10-24T23:42:45.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2022-10-24T23:42:49Z,140000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,12.0,,,,,,,,,,,,,,,,,
