actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-05T00:11:08.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-05T00:11:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-05T00:11:11.7Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2023-02-05T00:11:11Z,40000,False,,,0,,Jump Ball I. Zubac vs. J. Sims: Tip to M. Morris Sr.,"[202694, 1627826, 1630579]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-02-05T00:11:25.4Z,1,REGULAR,3pt,Jump Shot,[],202331,71.56701708278581,25.735294117647058,1610612746,0,3,2023-02-05T00:11:29Z,70000,False,-121.0,215.0,1,right,P. George 24' 3PT  (3 PTS) (M. Morris Sr. 1 AST),"[202331, 202694]",1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,24.67,Made,3.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-02-05T00:11:45.5Z,1,REGULAR,3pt,Jump Shot,[],203944,31.882391590013142,60.78431372549019,1610612752,3,3,2023-02-05T00:11:49Z,90000,False,-54.0,247.0,1,left,J. Randle 25' 3PT  (3 PTS) (J. Brunson 1 AST),"[203944, 1628973]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,25.3,Made,3.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,
11,PT11M04.00S,2023-02-05T00:12:06.4Z,1,REGULAR,foul,personal,[],203944,,,1610612746,3,3,2023-02-05T00:12:19Z,110000,False,,,0,,J. Randle personal FOUL (1 PF),"[203944, 1627826]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202027.0,1.0,0.0,Zubac,1627826.0,,,,,,,,,
13,PT10M56.00S,2023-02-05T00:12:30.0Z,1,REGULAR,3pt,Jump Shot,[],1629611,91.14651773981603,94.85294117647058,1610612746,3,3,2023-02-05T00:12:35Z,130000,False,224.0,31.0,1,right,MISS T. Mann 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,22.64,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2023-02-05T00:12:33.0Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,3,3,2023-02-05T00:12:35Z,140000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M46.00S,2023-02-05T00:12:40.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,10.200394218134035,58.333333333333336,1610612752,3,3,2023-02-05T00:12:43Z,150000,False,-42.0,43.0,1,left,MISS R. Barrett 6' driving floating Shot,[1629628],1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,6.02,Missed,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2023-02-05T00:12:42.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,3,3,2023-02-05T00:12:43Z,160000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M28.00S,2023-02-05T00:12:58.3Z,1,REGULAR,3pt,Jump Shot,[],1629611,93.51182654402102,94.85294117647058,1610612746,3,6,2023-02-05T00:13:01Z,170000,False,224.0,8.0,1,right,T. Mann 3PT  (3 PTS) (P. George 1 AST),"[1629611, 202331]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,22.45,Made,3.0,P. George,202331.0,1.0,,,,,,,,,,,,,,
