actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-02T20:11:26.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-02T20:11:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-02T20:11:30.3Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2023-01-02T20:11:30Z,40000,False,,,0,,Jump Ball D. Ayton vs. M. Robinson: Tip to C. Paul,"[101108, 1629028, 1629011]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-01-02T20:11:39.8Z,1,REGULAR,3pt,Jump Shot,[],1628470,67.09921156373193,54.41176470588235,1610612756,0,0,2023-01-02T20:11:45Z,70000,False,22.0,257.0,1,right,MISS T. Craig 25' 3PT,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Center,25.77,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-01-02T20:11:41.8Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2023-01-02T20:11:45Z,80000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2023-01-02T20:11:58.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629011,5.732588699080158,50.73529411764706,1610612752,0,0,2023-01-02T20:12:04Z,90000,False,-4.0,1.0,1,left,MISS M. Robinson driving Layup,[1629011],1610612752.0,NYK,driving,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,0.4,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2023-01-02T20:12:00.4Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612756,0,0,2023-01-02T20:12:04Z,100000,False,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2023-01-02T20:12:12.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,92.72339027595268,62.00980392156863,1610612756,0,2,2023-01-02T20:12:16Z,110000,False,60.0,16.0,1,right,D. Ayton 6' turnaround Hook (2 PTS),[1629028],1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,6.21,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M50.00S,2023-01-02T20:12:37.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,15.982260183968464,34.55882352941176,1610612752,0,2,2023-01-02T20:13:00Z,120000,False,77.0,98.0,1,left,MISS I. Quickley 12' pullup Shot,[1630193],1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Right,12.45,Missed,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2023-01-02T20:12:39.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,0,2,2023-01-02T20:13:00Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,12.0,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2023-01-02T20:12:46.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612752,0,2,2023-01-02T20:12:52Z,140000,False,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,1193.0,,,,,,,,,,,,
