actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-13T17:11:49.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-13T17:11:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-13T17:11:51.7Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2022-11-13T17:11:51Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. J. Robinson-Earl: Tip to J. Randle,"[203944, 1628392, 1630526]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Hartenstein,1628392.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-13T17:12:08.1Z,1,REGULAR,3pt,Jump Shot,[],1628392,5.075558475689881,96.07843137254902,1610612752,0,0,2022-11-13T17:12:17Z,70000,False,-230.0,-5.0,1,left,MISS I. Hartenstein 3PT,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Left Corner 3,24+ Left,23.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-11-13T17:12:12.1Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2022-11-13T17:12:17Z,80000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-11-13T17:12:25.8Z,1,REGULAR,2pt,Jump Shot,[],1628983,79.58278580814718,46.07843137254902,1610612760,0,0,2022-11-13T17:12:29Z,90000,False,-20.0,139.0,1,right,MISS S. Gilgeous-Alexander 14' Jump Shot,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Center,14.08,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-11-13T17:12:27.8Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-11-13T17:12:29Z,100000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M15.00S,2022-11-13T17:12:32.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629628,6.258212877792378,50.49019607843137,1610612752,2,0,2022-11-13T17:13:25Z,110000,False,-2.0,6.0,1,left,R. Barrett running Layup (2 PTS) (J. Brunson 1 AST),"[1629628, 1628973]",1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,0.68,Made,,,,,2.0,J. Brunson,1628973.0,1.0,,,,,,,,,,
13,PT10M57.00S,2022-11-13T17:12:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,82.9993429697766,42.15686274509804,1610612760,2,0,2022-11-13T17:12:56Z,130000,False,-39.0,107.0,1,right,MISS J. Giddey 11' pullup Shot,[1630581],1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,11.42,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-11-13T17:12:54.2Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,2,0,2022-11-13T17:12:56Z,140000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M48.00S,2022-11-13T17:13:02.8Z,1,REGULAR,foul,personal,['2freethrow'],1630526,,,1610612752,2,0,2022-11-13T17:13:10Z,150000,False,,,0,,J. Robinson-Earl shooting personal FOUL (1 PF) (Reddish 2 FT),"[1630526, 1629629]",1610612760.0,OKC,shooting,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1626300.0,1.0,0.0,Reddish,1629629.0,,,,,
