actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-02T23:41:38.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-02T23:41:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-02T23:41:42.3Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2022-11-02T23:41:42Z,40000,,,0,,Jump Ball M. Robinson vs. C. Capela: Tip to J. Brunson,"[1628973, 1629011, 203991]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-02T23:41:53.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629011,94.43166885676742,49.754901960784316,1610612752,2,0,2022-11-02T23:41:59Z,70000,-1.0,0.0,1,right,M. Robinson alley-oop Layup (2 PTS) (R. Barrett 1 AST),"[1629011, 1629628]",1610612752.0,NYK,alley-oop,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,0.12,Made,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2022-11-02T23:42:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,7.703679369250986,44.11764705882353,1610612737,2,0,2022-11-02T23:42:17Z,90000,29.0,20.0,1,left,MISS T. Young driving Layup - blocked,"[1629027, 1629011]",1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,3.55,Missed,,,,,Robinson,1629011.0,,,,,,,,,,,,
10,PT11M30.00S,2022-11-02T23:42:09.5Z,1,REGULAR,block,,[],1629011,,,1610612737,2,0,2022-11-02T23:42:12Z,100000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2022-11-02T23:42:11.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,2,0,2022-11-02T23:42:17Z,110000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,9.0,,,,,,,,,,,
14,PT11M16.00S,2022-11-02T23:42:59.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629631,7.440867279894875,42.64705882352941,1610612737,2,0,2022-11-02T23:43:04Z,140000,37.0,17.0,1,left,MISS D. Hunter driving floating bank Shot,[1629631],1610612737.0,ATL,driving floating bank,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,4.07,Missed,,,,,,,,,,,,,,,,,,
15,PT11M14.00S,2022-11-02T23:43:01.2Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,2,0,2022-11-02T23:43:04Z,150000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT11M11.00S,2022-11-02T23:43:04.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203944,93.9060446780552,54.41176470588235,1610612752,2,0,2022-11-02T23:43:08Z,160000,22.0,5.0,1,right,MISS J. Randle driving Layup,[203944],1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,2.26,Missed,,,,,,,,,,,,,,,,,,
17,PT11M09.00S,2022-11-02T23:43:06.1Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,2,0,2022-11-02T23:43:08Z,170000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT11M03.00S,2022-11-02T23:43:12.5Z,1,REGULAR,3pt,Jump Shot,[],1629631,10.068988173455978,3.6764705882352944,1610612737,2,0,2022-11-02T23:43:16Z,180000,232.0,42.0,1,left,MISS D. Hunter 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Right Corner 3,24+ Right,23.54,Missed,,,,,,,,,,,,,,,,,,
