actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-17T01:10:22.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-17T01:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-17T01:10:25.2Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2022-12-17T01:10:25Z,40000,False,,,0,,Jump Ball M. Robinson vs. N. Vucevic: Tip to J. Brunson,"[1628973, 1629011, 202696]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-12-17T01:10:48.1Z,1,REGULAR,turnover,out-of-bounds,[],1628973,,,1610612752,0,0,2022-12-17T01:10:53Z,70000,False,,,0,,J. Brunson bad pass out-of-bounds TURNOVER (1 TO),[1628973],1610612752.0,NYK,bad pass,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,1151.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2022-12-17T01:11:08.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630172,21.23850197109067,18.137254901960784,1610612741,2,0,2022-12-17T01:11:14Z,80000,False,159.0,147.0,1,left,P. Williams 21' pullup Jump Shot (2 PTS) (A. Caruso 1 AST),"[1630172, 1627936]",1610612741.0,CHI,pullup,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right Center,,,21.68,Made,2.0,A. Caruso,1627936.0,1.0,,,,,,,,,,,,
10,PT10M53.00S,2022-12-17T01:11:34.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,71.96123521681997,82.1078431372549,1610612752,2,3,2022-12-17T01:11:38Z,100000,False,161.0,211.0,1,right,J. Brunson 26' 3PT step back (3 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,26.52,Made,3.0,,,,,,,,,,,,,,,
11,PT10M43.00S,2022-12-17T01:11:44.8Z,1,REGULAR,3pt,Jump Shot,[],1627936,27.54599211563732,13.970588235294118,1610612741,2,3,2022-12-17T01:11:49Z,110000,False,180.0,206.0,1,left,MISS A. Caruso 27' 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Right Center,,,27.39,Missed,,,,,,,,,,,,,,,,
12,PT10M40.00S,2022-12-17T01:11:47.8Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,3,2022-12-17T01:11:49Z,120000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M31.00S,2022-12-17T01:11:56.0Z,1,REGULAR,3pt,Jump Shot,[],1629628,76.16622864651774,88.23529411764706,1610612752,2,6,2022-12-17T01:12:02Z,130000,False,191.0,172.0,1,right,R. Barrett 25' 3PT  (3 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,25.68,Made,3.0,J. Randle,203944.0,1.0,,,,,,,,,,,,
15,PT10M16.00S,2022-12-17T01:12:11.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,14.011169513797633,46.81372549019608,1610612741,4,6,2022-12-17T01:12:55Z,150000,False,16.0,79.0,1,left,N. Vucevic 8' floating Jump Shot (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,,,8.08,Made,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,
17,PT09M53.00S,2022-12-17T01:12:34.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,90.22667542706965,47.794117647058826,1610612752,4,6,2022-12-17T01:12:39Z,170000,False,-11.0,39.0,1,right,MISS J. Brunson driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,4.09,Missed,,,,,,,,,,,,,,,,
