actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-01T01:10:14.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-01T01:10:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-01T01:10:16.5Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2023-02-01T01:10:16Z,40000,False,,,0,,Jump Ball N. Vucevic vs. I. Zubac: Tip to A. Dosunmu,"[1630245, 202696, 1627826]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-02-01T01:10:28.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,93.38042049934296,47.05882352941176,1610612741,2,0,2023-02-01T01:11:29Z,70000,False,-15.0,10.0,1,right,N. Vucevic cutting Layup (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,cutting,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,1.76,Made,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-02-01T01:10:46.9Z,1,REGULAR,3pt,Jump Shot,[],1628379,34.247700394218136,44.36274509803921,1610612746,2,0,2023-02-01T01:10:56Z,90000,False,28.0,269.0,1,left,MISS L. Kennard 27' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Center,27.09,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2023-02-01T01:10:50.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,0,2023-02-01T01:10:54Z,100000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M14.00S,2023-02-01T01:10:59.2Z,1,REGULAR,3pt,Jump Shot,[],203897,71.17279894875165,21.323529411764707,1610612741,5,0,2023-02-01T01:11:04Z,110000,False,-143.0,218.0,1,right,Z. LaVine 26' 3PT  (3 PTS) (D. DeRozan 1 AST),"[203897, 201942]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,26.14,Made,3.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
13,PT10M52.00S,2023-02-01T01:11:20.7Z,1,REGULAR,3pt,Jump Shot,[],202331,29.911300919842315,70.34313725490196,1610612746,5,0,2023-02-01T01:11:27Z,130000,False,-102.0,229.0,1,left,MISS P. George 25' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,25.03,Missed,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2023-02-01T01:11:23.7Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,5,0,2023-02-01T01:11:27Z,140000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M38.00S,2023-02-01T01:11:35.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,86.5473061760841,45.83333333333333,1610612741,5,0,2023-02-01T01:11:40Z,150000,False,-21.0,74.0,1,right,MISS D. DeRozan 7' turnaround Shot,[201942],1610612741.0,CHI,turnaround,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,7.69,Missed,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2023-02-01T01:11:38.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,0,2023-02-01T01:11:40Z,160000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M24.00S,2023-02-01T01:11:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,6.652431011826544,54.90196078431373,1610612746,5,0,2023-02-01T01:11:56Z,170000,False,-25.0,10.0,1,left,MISS L. Kennard driving floating bank Shot,[1628379],1610612746.0,LAC,driving floating bank,,,Kennard,L. Kennard,,,,,Restricted Area,0-8 Center,2.65,Missed,,,,,,,,,,,,,,,,,,
18,PT10M22.00S,2023-02-01T01:11:50.5Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,5,0,2023-02-01T01:11:50Z,180000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,
19,PT10M16.00S,2023-02-01T01:11:56.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630172,71.17279894875165,23.03921568627451,1610612741,5,0,2023-02-01T01:12:39Z,190000,False,-135.0,218.0,1,right,MISS P. Williams 25' running 3PT,[1630172],1610612741.0,CHI,running,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,25.67,Missed,,,,,,,,,,,,,,,,,,
20,PT10M13.00S,2023-02-01T01:11:59.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,0,2023-02-01T01:12:03Z,200000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Left Center,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,
21,PT10M07.00S,2023-02-01T01:12:09.8Z,1,REGULAR,violation,kicked ball,[],202696,,,1610612746,5,0,2023-02-01T01:12:14Z,210000,False,,,0,,N. Vucevic kicked ball VIOLATION,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,1179.0,,,,,,,,,
22,PT10M01.00S,2023-02-01T01:12:30.2Z,1,REGULAR,3pt,Jump Shot,[],202695,31.61957950065703,36.029411764705884,1610612746,5,3,2023-02-01T01:12:36Z,220000,False,70.0,245.0,1,left,K. Leonard 25' 3PT  (3 PTS) (P. George 1 AST),"[202695, 202331]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Center,25.45,Made,3.0,P. George,202331.0,1.0,,,,,,,,,,,,,,
24,PT09M46.00S,2023-02-01T01:12:45.0Z,1,REGULAR,3pt,Jump Shot,[],201942,71.43561103810775,22.794117647058822,1610612741,5,3,2023-02-01T01:12:51Z,240000,False,-136.0,216.0,1,right,MISS D. DeRozan 25' 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,25.52,Missed,,,,,,,,,,,,,,,,,,
25,PT09M43.00S,2023-02-01T01:12:48.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,3,2023-02-01T01:12:51Z,250000,False,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Left Center,,,,,,,24.0,3.0,3.0,0.0,,,,,,,,,,
26,PT09M35.00S,2023-02-01T01:12:56.4Z,1,REGULAR,3pt,Jump Shot,[],202331,32.40801576872536,48.28431372549019,1610612746,5,3,2023-02-01T01:13:02Z,260000,False,9.0,252.0,1,left,MISS P. George 25' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Center,25.22,Missed,,,,,,,,,,,,,,,,,,
27,PT09M33.00S,2023-02-01T01:12:58.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,5,3,2023-02-01T01:13:02Z,270000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,
28,PT09M26.00S,2023-02-01T01:13:05.9Z,1,REGULAR,2pt,Jump Shot,[],203897,73.66951379763469,26.96078431372549,1610612741,5,3,2023-02-01T01:13:51Z,280000,False,-115.0,195.0,1,right,MISS Z. LaVine 22' pullup Shot,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Left Center,22.65,Missed,,,,,,,,,,,,,,,,,,
29,PT09M23.00S,2023-02-01T01:13:08.9Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,5,3,2023-02-01T01:13:11Z,290000,False,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Left Center,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M13.00S,2023-02-01T01:13:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,14.011169513797633,42.40196078431372,1610612746,5,3,2023-02-01T01:13:23Z,300000,False,38.0,79.0,1,left,MISS T. Mann 8' driving floating Shot,[1629611],1610612746.0,LAC,driving floating,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,8.78,Missed,,,,,,,,,,,,,,,,,,
31,PT09M11.00S,2023-02-01T01:13:20.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,5,3,2023-02-01T01:13:23Z,310000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,30.0,3.0,3.0,0.0,,,,,,,,,,
32,PT09M07.00S,2023-02-01T01:13:25.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630245,93.11760840998686,45.83333333333333,1610612741,5,3,2023-02-01T01:13:32Z,320000,False,-21.0,12.0,1,right,MISS A. Dosunmu running Layup - blocked,"[1630245, 202695]",1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,2.41,Missed,,,,,,,,,,Leonard,202695.0,,,,,,,
33,PT09M07.00S,2023-02-01T01:13:25.2Z,1,REGULAR,block,,[],202695,,,1610612741,5,3,2023-02-01T01:13:27Z,330000,False,,,0,,K. Leonard BLOCK (1 BLK),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT09M04.00S,2023-02-01T01:13:28.2Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,5,3,2023-02-01T01:13:32Z,340000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
35,PT09M00.00S,2023-02-01T01:13:31.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202331,5.469776609724048,48.529411764705884,1610612746,5,5,2023-02-01T01:13:37Z,350000,False,7.0,-1.0,1,left,P. George running Layup (2 PTS),[202331],1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,0.75,Made,2.0,,,,,,,,,,,,,,,,,
