actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-14T01:10:27.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-14T01:10:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-14T01:10:30.4Z,1,REGULAR,jumpball,recovered,[],1630172,,,1610612741,0,0,2022-11-14T01:10:30Z,40000,False,,,0,,Jump Ball N. Vucevic vs. N. Jokic: Tip to P. Williams,"[1630172, 202696, 203999]",1610612741.0,CHI,startperiod,P. Williams,1630172.0,Williams,P. Williams,Vucevic,202696.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-11-14T01:10:40.6Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,0,0,2022-11-14T01:10:44Z,70000,False,,,0,,N. Vucevic bad pass TURNOVER (1 TO),"[202696, 203999]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,1.0,Jokic,203999.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2022-11-14T01:10:40.6Z,1,REGULAR,steal,,[],203999,,,1610612743,0,0,2022-11-14T01:10:42Z,80000,False,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-11-14T01:10:49.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629008,82.21090670170827,41.42156862745098,1610612743,0,2,2022-11-14T01:11:28Z,90000,False,-43.0,115.0,1,right,M. Porter Jr. 12' pullup Jump Shot (2 PTS),[1629008],1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,12.25,Made,2.0,,,,,,,,,,,,,,
10,PT11M08.00S,2022-11-14T01:11:18.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,6.521024967148489,50.245098039215684,1610612741,0,2,2022-11-14T01:12:12Z,100000,False,-1.0,9.0,1,left,MISS Z. LaVine driving finger roll Layup,[203897],1610612741.0,CHI,driving finger roll,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,0.89,Missed,,,,,,,,,,,,,,,
11,PT11M05.00S,2022-11-14T01:11:21.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,0,2,2022-11-14T01:11:24Z,110000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M55.00S,2022-11-14T01:11:35.3Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612743,0,2,2022-11-14T01:11:57Z,120000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Gordon 2 FT),"[201942, 203932]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2005.0,1.0,0.0,Gordon,203932.0,,,,,
14,PT10M55.00S,2022-11-14T01:11:58.2Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,0,3,2022-11-14T01:11:58Z,140000,False,,,0,,A. Gordon Free Throw 1 of 2 (1 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
15,PT10M55.00S,2022-11-14T01:11:58.2Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,0,3,2022-11-14T01:12:17Z,150000,False,,,0,,MISS A. Gordon Free Throw 2 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
