actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-22T01:11:00.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-22T01:11:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-22T01:11:02.4Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-11-22T01:11:02Z,40000,False,,,0,,Jump Ball A. Horford vs. N. Vucevic: Tip to M. Smart,"[203935, 201143, 202696]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Horford,201143.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-22T01:11:14.4Z,1,REGULAR,2pt,Jump Shot,[],201143,77.4802890932983,49.50980392156863,1610612738,0,0,2022-11-22T01:11:21Z,70000,False,-2.0,159.0,1,right,MISS A. Horford 15' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,8-16 Center,15.92,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-11-22T01:11:18.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2022-11-22T01:11:21Z,80000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-11-22T01:11:33.8Z,1,REGULAR,foul,offensive,[],1630172,,,1610612741,0,0,2022-11-22T01:11:46Z,90000,False,,,0,,P. Williams off-the-ball offensive FOUL (1 PF),"[1630172, 203935]",1610612741.0,CHI,off-the-ball,,,Williams,P. Williams,,,,,Mid-Range,16-24 Center,,,,,,,1628172.0,1.0,0.0,Smart,203935.0,,,,,,,,,
11,PT11M29.00S,2022-11-22T01:11:33.8Z,1,REGULAR,turnover,offensive foul,[],1630172,,,1610612741,0,0,2022-11-22T01:11:33Z,110000,False,,,0,,P. Williams offensive foul TURNOVER (1 TO),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Center,,,,,,,1628172.0,,,,,1.0,,,,,,,,
12,PT11M23.00S,2022-11-22T01:11:47.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,72.61826544021025,18.872549019607842,1610612738,0,0,2022-11-22T01:11:54Z,120000,False,-156.0,205.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.73,Missed,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2022-11-22T01:11:50.4Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,0,0,2022-11-22T01:11:54Z,130000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M08.00S,2022-11-22T01:12:02.9Z,1,REGULAR,3pt,Jump Shot,[],1630172,26.10052562417871,15.686274509803921,1610612741,0,0,2022-11-22T01:12:07Z,140000,False,172.0,193.0,1,left,MISS P. Williams 25' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,25.81,Missed,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2022-11-22T01:12:06.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2022-11-22T01:12:07Z,150000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
