actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-05T01:12:41.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-05T01:12:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-05T01:12:45.0Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2023-02-05T01:12:45Z,40000,False,,,0,,Jump Ball N. Vucevic vs. D. Eubanks: Tip to A. Dosunmu,"[1630245, 202696, 1629234]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-02-05T01:12:59.5Z,1,REGULAR,2pt,Jump Shot,[],201942,9.543363994743759,88.23529411764706,1610612741,0,0,2023-02-05T01:13:06Z,70000,False,-191.0,37.0,1,left,MISS D. DeRozan 19' Jump Shot,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left,19.48,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-02-05T01:12:59.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,0,0,2023-02-05T01:16:14Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Mid-Range,16-24 Left,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2023-02-05T01:13:25.6Z,1,REGULAR,3pt,Jump Shot,[],203081,71.43561103810775,17.892156862745097,1610612757,0,3,2023-02-05T01:13:31Z,90000,False,-161.0,216.0,1,right,D. Lillard 26' 3PT  (3 PTS) (J. Grant 1 AST),"[203081, 203924]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,26.91,Made,,3.0,J. Grant,203924.0,1.0,,,,,,,,,,,,,
11,PT11M11.00S,2023-02-05T01:13:38.6Z,1,REGULAR,2pt,Jump Shot,[],202696,6.258212877792378,22.794117647058822,1610612741,0,3,2023-02-05T01:13:44Z,110000,False,136.0,6.0,1,left,MISS N. Vucevic 13' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Right,13.61,Missed,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2023-02-05T01:13:40.6Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,0,3,2023-02-05T01:13:44Z,120000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,8-16 Right,,,11.0,,,,,1.0,1.0,0.0,,,,,,,,,,
13,PT10M57.00S,2023-02-05T01:13:53.1Z,1,REGULAR,2pt,Jump Shot,[],203924,76.95466491458606,51.470588235294116,1610612757,0,3,2023-02-05T01:13:58Z,130000,False,7.0,164.0,1,right,MISS J. Grant 16' pullup Shot,[203924],1610612757.0,POR,pullup,,,Grant,J. Grant,,,,,Mid-Range,16-24 Center,16.43,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2023-02-05T01:13:57.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,3,2023-02-05T01:13:58Z,140000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Center,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,,,
15,PT10M37.00S,2023-02-05T01:14:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,6.783837056504599,47.30392156862745,1610612741,2,3,2023-02-05T01:14:16Z,150000,False,13.0,11.0,1,left,A. Dosunmu driving Layup (2 PTS) (D. DeRozan 1 AST),"[1630245, 201942]",1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1.76,Made,,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,
