actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-15T20:43:05.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-15T20:43:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT12M00.00S,2023-01-15T20:43:06.7Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2023-01-15T20:43:24Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-15T20:43:08.4Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2023-01-15T20:43:08Z,40000,False,,,0,,Jump Ball N. Vucevic vs. K. Looney: Tip to A. Dosunmu,"[1630245, 202696, 1626172]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-01-15T20:43:23.7Z,1,REGULAR,3pt,Jump Shot,[],1627936,9.017739816031538,4.166666666666666,1610612741,0,0,2023-01-15T20:43:29Z,70000,False,229.0,32.0,1,left,MISS A. Caruso 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,23.15,Missed,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2023-01-15T20:43:23.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,0,0,2023-01-15T20:43:29Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Right Corner 3,24+ Right,,,7.0,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2023-01-15T20:43:52.8Z,1,REGULAR,3pt,Jump Shot,[],202691,71.17279894875165,21.323529411764707,1610612744,0,3,2023-01-15T20:43:57Z,100000,False,-143.0,218.0,1,right,K. Thompson 26' 3PT  (3 PTS) (A. Wiggins 1 AST),"[202691, 203952]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,26.14,Made,,3.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,
13,PT11M07.00S,2023-01-15T20:44:10.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,8.623521681997373,57.84313725490197,1610612741,0,3,2023-01-15T20:44:17Z,120000,False,-39.0,29.0,1,left,MISS N. Vucevic Hook,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,4.85,Missed,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2023-01-15T20:44:12.8Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,3,2023-01-15T20:44:17Z,130000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,,,
15,PT10M53.00S,2023-01-15T20:44:24.7Z,1,REGULAR,3pt,Jump Shot,[],203952,66.17936925098554,42.64705882352941,1610612744,0,3,2023-01-15T20:44:30Z,140000,False,-37.0,265.0,1,right,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,26.79,Missed,,,,,,,,,,,,,,,,,,
16,PT10M49.00S,2023-01-15T20:44:28.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,3,2023-01-15T20:44:30Z,150000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,15.0,,,,,1.0,1.0,0.0,,,,,,,,,,
17,PT10M41.00S,2023-01-15T20:44:36.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,8.229303547963205,49.754901960784316,1610612741,2,3,2023-01-15T20:44:40Z,160000,False,1.0,25.0,1,left,N. Vucevic turnaround Hook (2 PTS) (A. Caruso 1 AST),"[202696, 1627936]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,2.49,Made,,2.0,A. Caruso,1627936.0,1.0,,,,,,,,,,,,,
