actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-03-05T20:40:38.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-05T20:40:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-05T20:40:40.5Z,1,REGULAR,jumpball,recovered,[],1629614,,,1610612754,0,0,2023-03-05T20:40:40Z,40000,False,,,0,,Jump Ball M. Turner vs. N. Vucevic: Tip to A. Nembhard,"[1629614, 1626167, 202696]",1610612754.0,IND,startperiod,A. Nembhard,1629614.0,Nembhard,A. Nembhard,Turner,1626167.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-03-05T20:40:51.6Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,0,0,2023-03-05T20:40:55Z,70000,False,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 202696]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,1.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2023-03-05T20:40:51.6Z,1,REGULAR,steal,,[],202696,,,1610612741,0,0,2023-03-05T20:40:53Z,80000,False,,,0,,N. Vucevic STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2023-03-05T20:41:02.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202696,6.389618922470433,51.470588235294116,1610612741,0,0,2023-03-05T20:41:06Z,90000,False,-7.0,8.0,1,left,MISS N. Vucevic cutting finger roll Layup - blocked,"[202696, 1626167]",1610612741.0,CHI,cutting finger roll,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,1.06,Missed,Turner,1626167.0,,,,,,,,,,,,,
10,PT11M35.00S,2023-03-05T20:41:02.2Z,1,REGULAR,block,,[],1626167,,,1610612741,0,0,2023-03-05T20:41:04Z,100000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2023-03-05T20:41:05.2Z,1,REGULAR,rebound,defensive,[],1629670,,,1610612754,0,0,2023-03-05T20:41:06Z,110000,False,,,0,,J. Nwora REBOUND (Off:0 Def:1),[1629670],1610612754.0,IND,,,,Nwora,J. Nwora,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M31.00S,2023-03-05T20:41:07.9Z,1,REGULAR,turnover,traveling,[],1629670,,,1610612754,0,0,2023-03-05T20:41:15Z,120000,False,,,0,,J. Nwora traveling TURNOVER (1 TO),[1629670],1610612754.0,IND,,,,Nwora,J. Nwora,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,1626301.0,,,,,,,,
13,PT11M06.00S,2023-03-05T20:41:41.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,8.623521681997373,94.85294117647058,1610612741,3,0,2023-03-05T20:42:30Z,130000,False,-224.0,29.0,1,left,Z. LaVine 3PT pullup (3 PTS),[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Left Corner 3,24+ Left,,,,22.61,Made,,,,,,,,3.0,,,,,,,
15,PT11M00.00S,2023-03-05T20:41:50.4Z,1,REGULAR,foul,personal,[],203897,,,1610612754,3,0,2023-03-05T20:41:58Z,150000,False,,,0,,Z. LaVine personal FOUL (1 PF),"[203897, 1629614]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,1146.0,,1.0,0.0,Nembhard,1629614.0,,,
17,PT10M55.00S,2023-03-05T20:42:13.0Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612754,3,0,2023-03-05T20:42:21Z,170000,False,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 1627936]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Mid-Range,8-16 Right,1.0,Caruso,1627936.0,,,,,,,,,,,,,,,,,
18,PT10M55.00S,2023-03-05T20:42:13.0Z,1,REGULAR,steal,,[],1627936,,,1610612741,3,0,2023-03-05T20:42:16Z,180000,False,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
19,PT10M50.00S,2023-03-05T20:42:19.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627936,6.652431011826544,48.77450980392157,1610612741,5,0,2023-03-05T20:42:26Z,190000,False,6.0,10.0,1,left,A. Caruso running Layup (2 PTS),[1627936],1610612741.0,CHI,running,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,1.17,Made,,,,,,,,2.0,,,,,,,
20,PT10M50.00S,2023-03-05T20:42:22.4Z,1,REGULAR,foul,personal,['1freethrow'],1630169,,,1610612741,5,0,2023-03-05T20:42:29Z,200000,False,,,0,,T. Haliburton shooting personal FOUL (1 PF) (Caruso 1 FT),"[1630169, 1627936]",1610612754.0,IND,shooting,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1146.0,,1.0,0.0,Caruso,1627936.0,,,
22,PT10M50.00S,2023-03-05T20:42:39.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,5,0,2023-03-05T20:46:52Z,220000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M50.00S,2023-03-05T20:45:37.8Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1627936,,,1610612741,6,0,2023-03-05T20:45:37Z,230000,False,,,0,,A. Caruso Free Throw 1 of 1 (3 PTS),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,Made,,,,,,,,3.0,,,,,,,
24,PT10M37.00S,2023-03-05T20:45:53.3Z,1,REGULAR,3pt,Jump Shot,[],1629670,74.98357424441524,12.5,1610612754,6,3,2023-03-05T20:45:59Z,240000,False,-188.0,183.0,1,right,J. Nwora 26' 3PT  (3 PTS) (A. Nembhard 1 AST),"[1629670, 1629614]",1610612754.0,IND,,,,Nwora,J. Nwora,,,,,Above the Break 3,24+ Left Center,,,,26.18,Made,,,,,,,,3.0,,,,,A. Nembhard,1629614.0,1.0
26,PT10M08.00S,2023-03-05T20:46:21.9Z,1,REGULAR,2pt,Jump Shot,[],203897,20.318659658344284,28.431372549019606,1610612741,8,3,2023-03-05T20:46:30Z,260000,False,108.0,138.0,1,left,Z. LaVine 17' turnaround fadeaway Jump Shot (5 PTS),[203897],1610612741.0,CHI,turnaround fadeaway,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Right Center,,,,17.55,Made,,,,,,,,5.0,,,,,,,
27,PT09M56.00S,2023-03-05T20:46:35.2Z,1,REGULAR,2pt,Jump Shot,[],1626167,78.9257555847569,50.245098039215684,1610612754,8,5,2023-03-05T20:46:42Z,270000,False,1.0,146.0,1,right,M. Turner 14' Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Center,,,,14.56,Made,,,,,,,,2.0,,,,,T. Haliburton,1630169.0,1.0
29,PT09M56.00S,2023-03-05T20:46:39.2Z,1,REGULAR,foul,personal,['1freethrow'],201942,,,1610612754,8,5,2023-03-05T20:47:02Z,290000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Turner 1 FT),"[201942, 1626167]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,1626301.0,,1.0,0.0,Turner,1626167.0,,,
31,PT09M56.00S,2023-03-05T20:47:03.5Z,1,REGULAR,freethrow,1 of 1,[],1626167,,,1610612754,8,5,2023-03-05T20:47:05Z,310000,False,,,0,,MISS M. Turner Free Throw 1 of 1,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
32,PT09M52.00S,2023-03-05T20:47:07.5Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,8,5,2023-03-05T20:47:05Z,320000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,
33,PT09M35.00S,2023-03-05T20:47:23.3Z,1,REGULAR,3pt,Jump Shot,[],201942,4.155716162943495,95.34313725490196,1610612741,11,5,2023-03-05T20:47:27Z,330000,False,-227.0,-13.0,1,left,D. DeRozan 3PT  (3 PTS) (Z. LaVine 1 AST),"[201942, 203897]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Left Corner 3,24+ Left,,,,22.71,Made,,,,,,,,3.0,,,,,Z. LaVine,203897.0,1.0
35,PT09M14.00S,2023-03-05T20:47:42.5Z,1,REGULAR,3pt,Jump Shot,[],1626167,67.09921156373193,33.088235294117645,1610612754,11,5,2023-03-05T20:47:47Z,350000,False,-85.0,257.0,1,right,MISS M. Turner 27' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,,27.04,Missed,,,,,,,,,,,,,,,
36,PT09M11.00S,2023-03-05T20:47:45.5Z,1,REGULAR,rebound,defensive,[],201976,,,1610612741,11,5,2023-03-05T20:47:47Z,360000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Center,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,
37,PT09M00.00S,2023-03-05T20:47:56.9Z,1,REGULAR,2pt,Jump Shot,[],201942,4.944152431011826,71.07843137254902,1610612741,13,5,2023-03-05T20:48:00Z,370000,False,-105.0,-6.0,1,left,D. DeRozan 10' turnaround fadeaway Jump Shot (5 PTS),[201942],1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,,10.56,Made,,,,,,,,5.0,,,,,,,
39,PT08M45.00S,2023-03-05T20:48:11.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,93.38042049934296,47.30392156862745,1610612754,13,5,2023-03-05T20:48:18Z,390000,False,-13.0,10.0,1,right,MISS T. Haliburton driving reverse Layup,[1630169],1610612754.0,IND,driving reverse,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,1.66,Missed,,,,,,,,,,,,,,,
40,PT08M43.00S,2023-03-05T20:48:13.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,13,5,2023-03-05T20:48:18Z,400000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,
41,PT08M41.00S,2023-03-05T20:48:19.0Z,1,REGULAR,foul,personal,['2freethrow'],1629614,,,1610612741,13,5,2023-03-05T20:48:54Z,410000,False,,,0,,A. Nembhard shooting personal FOUL (1 PF) (LaVine 2 FT),"[1629614, 203897]",1610612754.0,IND,shooting,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1626301.0,,1.0,0.0,LaVine,203897.0,,,
43,PT08M41.00S,2023-03-05T20:49:06.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203897,,,1610612741,14,5,2023-03-05T20:49:21Z,430000,False,,,0,,Z. LaVine Free Throw 1 of 2 (6 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,Made,,,,,,,,6.0,,,,,,,
44,PT08M41.00S,2023-03-05T20:49:06.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203897,,,1610612741,14,5,2023-03-05T20:49:21Z,440000,False,,,0,,MISS Z. LaVine Free Throw 2 of 2,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
45,PT08M38.00S,2023-03-05T20:49:09.1Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,14,5,2023-03-05T20:49:21Z,450000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,
46,PT08M21.00S,2023-03-05T20:49:38.0Z,1,REGULAR,3pt,Jump Shot,[],1629670,95.48291721419186,3.9215686274509802,1610612754,14,5,2023-03-05T20:49:44Z,460000,False,-230.0,-10.0,1,right,MISS J. Nwora 3PT,[1629670],1610612754.0,IND,,,,Nwora,J. Nwora,,,,,Left Corner 3,24+ Left,,,,23.06,Missed,,,,,,,,,,,,,,,
47,PT08M18.00S,2023-03-05T20:49:41.0Z,1,REGULAR,rebound,defensive,[],201976,,,1610612741,14,5,2023-03-05T20:49:44Z,470000,False,,,0,,P. Beverley REBOUND (Off:0 Def:2),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Left Corner 3,24+ Left,,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,
