actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-24T01:10:20.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-24T01:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-24T01:10:23.3Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2023-01-24T01:10:23Z,40000,False,,,0,,Jump Ball C. Capela vs. N. Vucevic: Tip to T. Young,"[1629027, 203991, 202696]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-24T01:10:36.4Z,1,REGULAR,2pt,Jump Shot,[],1627749,80.1084099868594,66.66666666666666,1610612737,0,2,2023-01-24T01:10:42Z,70000,False,83.0,134.0,1,right,D. Murray 15' pullup Jump Shot (2 PTS) (B. Bogdanovic 1 AST),"[1627749, 203992]",1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Right,15.82,Made,2.0,B. Bogdanovic,203992.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-01-24T01:10:54.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,10.726018396846255,61.76470588235294,1610612741,2,2,2023-01-24T01:11:02Z,90000,False,-59.0,48.0,1,left,N. Vucevic 7' turnaround Hook (2 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,7.61,Made,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,
11,PT11M09.00S,2023-01-24T01:11:10.9Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,2,2,2023-01-24T01:11:15Z,110000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 203897]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,8-16 Left,,,,,,,1.0,LaVine,203897.0,,,,,,,,,,,
12,PT11M09.00S,2023-01-24T01:11:10.9Z,1,REGULAR,steal,,[],203897,,,1610612741,2,2,2023-01-24T01:11:13Z,120000,False,,,0,,Z. LaVine STEAL (1 STL),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2023-01-24T01:11:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203897,6.258212877792378,50.98039215686274,1610612741,4,2,2023-01-24T01:11:23Z,130000,False,-5.0,6.0,1,left,Z. LaVine running reverse Layup (2 PTS),[203897],1610612741.0,CHI,running reverse,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,0.8,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2023-01-24T01:11:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,94.03745072273325,49.01960784313725,1610612737,4,2,2023-01-24T01:11:31Z,140000,False,-5.0,4.0,1,right,MISS D. Murray driving Layup,[1627749],1610612737.0,ATL,driving,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,0.6,Missed,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2023-01-24T01:11:29.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,4,2,2023-01-24T01:11:31Z,150000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M37.00S,2023-01-24T01:11:42.6Z,1,REGULAR,3pt,Jump Shot,[],1630172,8.754927726675426,4.901960784313726,1610612741,4,2,2023-01-24T01:11:49Z,160000,False,225.0,30.0,1,left,MISS P. Williams 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,22.75,Missed,,,,,,,,,,,,,,,,,,
