actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-18T00:10:27.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-18T00:10:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-18T00:10:29.9Z,1,REGULAR,jumpball,recovered,[],201976,,,1610612741,0,0,2023-03-18T00:10:29Z,40000,False,,,0,,Jump Ball N. Vucevic vs. R. Gobert: Tip to P. Beverley,"[201976, 202696, 203497]",1610612741.0,CHI,startperiod,P. Beverley,201976.0,Beverley,P. Beverley,Vucevic,202696.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-03-18T00:10:42.5Z,1,REGULAR,foul,personal,[],203497,,,1610612741,0,0,2023-03-18T00:10:54Z,70000,False,,,0,,R. Gobert personal FOUL (1 PF),"[203497, 201976]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Right Center,1627962.0,1.0,0.0,Beverley,201976.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2023-03-18T00:11:06.6Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612741,0,0,2023-03-18T00:11:39Z,90000,False,,,0,,Z. LaVine bad pass TURNOVER (1 TO),"[203897, 1630183]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,,,,,,1.0,McDaniels,1630183.0,,,,,,,,,,,,
10,PT11M39.00S,2023-03-18T00:11:06.6Z,1,REGULAR,steal,,[],1630183,,,1610612750,0,0,2023-03-18T00:11:08Z,100000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2023-03-18T00:11:16.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203937,94.30026281208936,50.0,1610612750,0,2,2023-03-18T00:11:20Z,110000,False,0.0,1.0,1,right,K. Anderson driving Layup (2 PTS),[203937],1610612750.0,MIN,driving,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,,,0.11,Made,2.0,,,,,,,,,
12,PT11M15.00S,2023-03-18T00:11:30.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627936,6.1268068331143235,46.81372549019608,1610612741,2,2,2023-03-18T00:11:35Z,120000,False,16.0,5.0,1,left,A. Caruso cutting Layup (2 PTS) (N. Vucevic 1 AST),"[1627936, 202696]",1610612741.0,CHI,cutting,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,,,,1.67,Made,2.0,N. Vucevic,202696.0,1.0,,,,,,
14,PT10M59.00S,2023-03-18T00:11:46.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,93.38042049934296,50.0,1610612750,2,4,2023-03-18T00:12:21Z,140000,False,0.0,10.0,1,right,R. Gobert cutting DUNK (2 PTS) (M. Conley 1 AST),"[203497, 201144]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,0.97,Made,2.0,M. Conley,201144.0,1.0,,,,,,
16,PT10M44.00S,2023-03-18T00:12:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,11.514454664914586,47.794117647058826,1610612741,4,4,2023-03-18T00:12:37Z,160000,False,11.0,56.0,1,left,N. Vucevic floating Jump Shot (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,5.68,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,
18,PT10M34.00S,2023-03-18T00:12:11.4Z,1,REGULAR,3pt,Jump Shot,[],1630183,93.64323258869908,3.6764705882352944,1610612750,4,7,2023-03-18T00:12:17Z,180000,False,-232.0,7.0,1,right,J. McDaniels 3PT  (3 PTS) (K. Anderson 1 AST),"[1630183, 203937]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,,,,,,,,,23.17,Made,3.0,K. Anderson,203937.0,1.0,,,,,,
20,PT10M20.00S,2023-03-18T00:12:25.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,5.863994743758213,50.0,1610612741,6,7,2023-03-18T00:12:28Z,200000,False,0.0,3.0,1,left,P. Beverley driving Layup (2 PTS),[201976],1610612741.0,CHI,driving,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,,,,,,,0.26,Made,2.0,,,,,,,,,
21,PT10M03.00S,2023-03-18T00:12:42.7Z,1,REGULAR,3pt,Jump Shot,[],1630162,78.53153745072274,10.784313725490197,1610612750,6,10,2023-03-18T00:12:50Z,210000,False,-196.0,149.0,1,right,A. Edwards 24' 3PT  (3 PTS) (K. Anderson 2 AST),"[1630162, 203937]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,,,,24.65,Made,3.0,K. Anderson,203937.0,2.0,,,,,,
23,PT09M49.00S,2023-03-18T00:12:55.9Z,1,REGULAR,3pt,Jump Shot,[],202696,25.837713534822605,15.931372549019606,1610612741,9,10,2023-03-18T00:13:01Z,230000,False,170.0,190.0,1,left,N. Vucevic 25' 3PT  (5 PTS) (P. Beverley 1 AST),"[202696, 201976]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.54,Made,5.0,P. Beverley,201976.0,1.0,,,,,,
25,PT09M27.00S,2023-03-18T00:13:18.7Z,1,REGULAR,2pt,Jump Shot,[],203937,93.24901445466492,69.6078431372549,1610612750,9,10,2023-03-18T00:13:57Z,250000,False,98.0,11.0,1,right,MISS K. Anderson 9' driving floating Shot,[203937],1610612750.0,MIN,driving floating,,,Anderson,K. Anderson,,,,,Mid-Range,8-16 Right,,,,,,,,,9.86,Missed,,,,,,,,,,
26,PT09M27.00S,2023-03-18T00:13:18.7Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,9,10,2023-03-18T00:13:27Z,260000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,25.0,1.0,0.0,1.0,,
28,PT09M22.00S,2023-03-18T00:13:42.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,93.64323258869908,48.77450980392157,1610612750,9,10,2023-03-18T00:13:47Z,280000,False,-6.0,7.0,1,right,MISS R. Gobert driving Layup,[203497],1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,0.95,Missed,,,,,,,,,,
29,PT09M20.00S,2023-03-18T00:13:44.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,9,10,2023-03-18T00:13:47Z,290000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,
30,PT09M04.00S,2023-03-18T00:14:01.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,10.988830486202366,49.754901960784316,1610612741,9,10,2023-03-18T00:15:09Z,300000,False,1.0,51.0,1,left,MISS N. Vucevic turnaround Hook - blocked,"[202696, 203497]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,5.08,Missed,,,,,,,,,Gobert,203497.0
31,PT09M04.00S,2023-03-18T00:14:01.1Z,1,REGULAR,block,,[],203497,,,1610612741,9,10,2023-03-18T00:14:03Z,310000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M03.00S,2023-03-18T00:14:02.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,9,10,2023-03-18T00:16:27Z,320000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,30.0,,,,,
