shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-11T01:10:53.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-11T01:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:56,4,PT11M56.00S,2022-12-11T01:10:56.8Z,1,REGULAR,jumpball,recovered,[],1627827,,,1610612742,0,0,2022-12-11T01:10:56Z,40000,False,,,0,,Jump Ball D. Powell vs. N. Vucevic: Tip to D. Finney-Smith,"[1627827, 203939, 202696]",10,1610612742.0,DAL,startperiod,D. Finney-Smith,1627827.0,Finney-Smith,D. Finney-Smith,Powell,203939.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
11:46,7,PT11M46.00S,2022-12-11T01:11:06.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,94.43166885676742,50.49019607843137,1610612742,0,2,2022-12-11T01:11:12Z,70000,False,2.0,0.0,1,right,D. Powell alley-oop DUNK (2 PTS) (S. Dinwiddie 1 AST),"[203939, 203915]",7,1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,0.25,Made,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,
11:27,9,PT11M27.00S,2022-12-11T01:11:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,16.113666228646515,50.49019607843137,1610612741,0,2,2022-12-11T01:11:31Z,90000,False,-2.0,99.0,1,left,MISS N. Vucevic 9' pullup Shot,[202696],9,1610612741.0,CHI,pullup,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,9.9,Missed,,,,,,,,,,,,,,,,,,
11:25,10,PT11M25.00S,2022-12-11T01:11:28.3Z,1,REGULAR,rebound,defensive,[],203915,,,1610612742,0,2,2022-12-11T01:11:31Z,100000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],26,1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11:14,11,PT11M14.00S,2022-12-11T01:11:38.5Z,1,REGULAR,3pt,Jump Shot,[],203501,68.80749014454665,29.411764705882355,1610612742,0,2,2022-12-11T01:11:44Z,110000,False,-103.0,241.0,1,right,MISS T. Hardaway Jr. 26' 3PT,[203501],11,1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,26.18,Missed,,,,,,,,,,,,,,,,,,
11:10,12,PT11M10.00S,2022-12-11T01:11:42.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,2,2022-12-11T01:11:44Z,120000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],9,1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
11:01,13,PT11M01.00S,2022-12-11T01:11:52.4Z,1,REGULAR,3pt,Jump Shot,[],1630172,25.837713534822605,82.1078431372549,1610612741,3,2,2022-12-11T01:11:56Z,130000,False,-161.0,190.0,1,left,P. Williams 24' 3PT  (3 PTS) (N. Vucevic 1 AST),"[1630172, 202696]",44,1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,24.9,Made,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,
10:44,15,PT10M44.00S,2022-12-11T01:12:08.4Z,1,REGULAR,3pt,Jump Shot,[],1627827,78.13731931668858,12.009803921568627,1610612742,3,2,2022-12-11T01:12:13Z,150000,False,-190.0,153.0,1,right,MISS D. Finney-Smith 24' 3PT,[1627827],10,1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,24.39,Missed,,,,,,,,,,,,,,,,,,
10:41,16,PT10M41.00S,2022-12-11T01:12:11.4Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,3,2,2022-12-11T01:12:13Z,160000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],11,1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
