actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-03T00:10:16.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-03T00:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-03T00:10:20.2Z,1,REGULAR,jumpball,recovered,[],202330,,,1610612766,0,0,2022-11-03T00:10:20Z,40000,,,0,,Jump Ball M. Plumlee vs. N. Vucevic: Tip to G. Hayward,"[202330, 203486, 202696]",1610612766.0,CHA,startperiod,G. Hayward,202330.0,Hayward,G. Hayward,Plumlee,203486.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-11-03T00:10:34.7Z,1,REGULAR,turnover,out-of-bounds,[],202330,,,1610612766,0,0,2022-11-03T00:11:38Z,70000,,,0,,G. Hayward bad pass out-of-bounds TURNOVER (1 TO),[202330],1610612766.0,CHA,bad pass,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,101283.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2022-11-03T00:11:17.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630172,6.1268068331143235,49.754901960784316,1610612741,2,0,2022-11-03T00:11:57Z,80000,1.0,5.0,1,left,P. Williams reverse Layup (2 PTS) (N. Vucevic 1 AST),"[1630172, 202696]",1610612741.0,CHI,reverse,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,0.52,Made,2.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,
10,PT11M04.00S,2022-11-03T00:11:22.1Z,1,REGULAR,2pt,Jump Shot,[],1626162,77.61169513797634,48.77450980392157,1610612766,2,2,2022-11-03T00:12:32Z,100000,-6.0,158.0,1,right,K. Oubre Jr. 15' pullup Jump Shot (2 PTS) (M. Plumlee 1 AST),"[1626162, 203486]",1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Center,,,15.81,Made,2.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,
12,PT10M36.00S,2022-11-03T00:11:50.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630172,5.732588699080158,49.50980392156863,1610612741,4,2,2022-11-03T00:13:01Z,120000,2.0,1.0,1,left,P. Williams cutting DUNK (4 PTS) (Z. LaVine 1 AST),"[1630172, 203897]",1610612741.0,CHI,cutting,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,0.29,Made,4.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,
14,PT10M24.00S,2022-11-03T00:12:03.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628372,92.72339027595268,48.529411764705884,1610612766,4,2,2022-11-03T00:12:11Z,140000,-7.0,16.0,1,right,MISS D. Smith Jr. driving reverse Layup - blocked,"[1628372, 202696]",1610612766.0,CHA,driving reverse,,,Smith Jr.,D. Smith Jr.,,,,,Restricted Area,0-8 Center,,,1.75,Missed,,,,,Vucevic,202696.0,,,,,,,,,,
15,PT10M24.00S,2022-11-03T00:12:03.1Z,1,REGULAR,block,,[],202696,,,1610612766,4,2,2022-11-03T00:12:05Z,150000,,,0,,N. Vucevic BLOCK (1 BLK),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M21.00S,2022-11-03T00:12:06.1Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,4,2,2022-11-03T00:12:11Z,160000,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,
17,PT10M20.00S,2022-11-03T00:12:08.7Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612741,4,2,2022-11-03T00:12:22Z,170000,,,0,,P. Washington shooting personal FOUL (1 PF) (Dosunmu 2 FT),"[1629023, 1630245]",1610612766.0,CHA,shooting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,1627524.0,,,,,,,,,,,,,,1.0,0.0,Dosunmu,1630245.0,,
