actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-10T01:10:23.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-10T01:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-10T01:10:25.6Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2022-11-10T01:10:25Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. N. Vucevic: Tip to Z. Williamson,"[1629627, 202685, 202696]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Valanciunas,202685.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-11-10T01:10:40.0Z,1,REGULAR,3pt,Jump Shot,[],203468,29.6484888304862,81.37254901960785,1610612740,0,0,2022-11-10T01:10:45Z,70000,False,-157.0,226.0,1,left,MISS C. McCollum 27' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,27.53,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-11-10T01:10:44.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2022-11-10T01:10:45Z,80000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2022-11-10T01:10:57.2Z,1,REGULAR,3pt,Jump Shot,[],203897,65.1281208935611,49.01960784313725,1610612741,0,0,2022-11-10T01:11:28Z,90000,False,-5.0,275.0,1,right,MISS Z. LaVine 27' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,27.53,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-11-10T01:11:00.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2022-11-10T01:11:04Z,100000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M10.00S,2022-11-10T01:11:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,5.863994743758213,50.73529411764706,1610612740,0,2,2022-11-10T01:11:18Z,110000,False,-4.0,3.0,1,left,H. Jones driving finger roll Layup (2 PTS),[1630529],1610612740.0,NOP,driving finger roll,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,0.45,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M51.00S,2022-11-10T01:11:32.0Z,1,REGULAR,2pt,Jump Shot,[],1630172,91.80354796320631,22.30392156862745,1610612741,0,2,2022-11-10T01:12:28Z,120000,False,-138.0,25.0,1,right,MISS P. Williams 14' Jump Shot,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,8-16 Left,14.07,Missed,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2022-11-10T01:11:35.0Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,0,2,2022-11-10T01:11:38Z,130000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M33.00S,2022-11-10T01:11:50.3Z,1,REGULAR,2pt,Jump Shot,[],1627742,24.392247043363994,34.31372549019608,1610612740,0,2,2022-11-10T01:11:56Z,140000,False,78.0,177.0,1,left,MISS B. Ingram 19' pullup Shot - blocked,"[1627742, 1630172]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right Center,19.34,Missed,,,,,,Williams,1630172.0,,,,,,,,,,,
161,PT10M33.00S,2022-11-10T01:11:50.3Z,1,REGULAR,block,,[],1630172,,,1610612740,0,2,2022-11-10T01:38:30Z,150000,False,,,0,,P. Williams BLOCK (1 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
16,PT10M29.00S,2022-11-10T01:11:54.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,2,2022-11-10T01:11:56Z,160000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M28.00S,2022-11-10T01:11:54.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630172,92.72339027595268,52.69607843137255,1610612741,0,2,2022-11-10T01:12:02Z,170000,False,13.0,16.0,1,right,MISS P. Williams running DUNK,[1630172],1610612741.0,CHI,running,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,2.09,Missed,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2022-11-10T01:11:57.8Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,0,2,2022-11-10T01:12:02Z,190000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M15.00S,2022-11-10T01:12:08.5Z,1,REGULAR,turnover,traveling,[],1630529,,,1610612740,0,2,2022-11-10T01:12:14Z,200000,False,,,0,,H. Jones traveling TURNOVER (1 TO),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Center,,,,,,,,,,202026.0,1.0,,,,,,,,,
21,PT10M03.00S,2022-11-10T01:12:41.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201942,71.17279894875165,46.07843137254902,1610612741,2,2,2022-11-10T01:12:47Z,210000,False,-20.0,218.0,1,right,D. DeRozan 21' pullup Jump Shot (2 PTS) (P. Williams 1 AST),"[201942, 1630172]",1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,21.94,Made,,,,,2.0,,,,,P. Williams,1630172.0,1.0,,,,,,
23,PT09M47.00S,2022-11-10T01:12:57.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629627,7.703679369250986,55.392156862745104,1610612740,2,2,2022-11-10T01:13:02Z,230000,False,-27.0,20.0,1,left,MISS Z. Williamson driving Hook,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,3.35,Missed,,,,,,,,,,,,,,,,,,
24,PT09M45.00S,2022-11-10T01:12:59.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,2,2022-11-10T01:13:02Z,240000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,23.0,3.0,3.0,0.0,,,,,,,,,,,,,,
25,PT09M42.00S,2022-11-10T01:13:02.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630245,93.77463863337714,48.77450980392157,1610612741,4,2,2022-11-10T01:15:07Z,250000,False,-6.0,6.0,1,right,A. Dosunmu running Layup (2 PTS) (D. DeRozan 1 AST),"[1630245, 201942]",1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,2.0,,,,,D. DeRozan,201942.0,1.0,,,,,,
27,PT09M27.00S,2022-11-10T01:13:17.1Z,1,REGULAR,3pt,Jump Shot,[],1627742,26.363337713534822,82.59803921568627,1610612740,4,2,2022-11-10T01:13:22Z,270000,False,-163.0,195.0,1,left,MISS B. Ingram 25' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,25.44,Missed,,,,,,,,,,,,,,,,,,
28,PT09M23.00S,2022-11-10T01:13:21.1Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,4,2,2022-11-10T01:13:22Z,280000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M15.00S,2022-11-10T01:13:29.1Z,1,REGULAR,3pt,Jump Shot,[],1630172,94.69448094612353,5.392156862745098,1610612741,7,2,2022-11-10T01:15:55Z,290000,False,-223.0,-3.0,1,right,P. Williams 3PT  (3 PTS) (A. Dosunmu 1 AST),"[1630172, 1630245]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Left Corner 3,24+ Left,22.3,Made,,,,,3.0,,,,,A. Dosunmu,1630245.0,1.0,,,,,,
