actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-07T01:12:09.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-07T01:12:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-07T01:12:12.6Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2023-02-07T01:12:12Z,40000,False,,,0,,Jump Ball N. Vucevic vs. J. Poeltl: Tip to A. Dosunmu,"[1630245, 202696, 1627751]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-02-07T01:12:27.2Z,1,REGULAR,2pt,Jump Shot,[],202696,10.068988173455978,74.50980392156863,1610612741,2,0,2023-02-07T01:13:54Z,70000,False,-123.0,42.0,1,left,N. Vucevic 12' Jump Shot (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,12.95,Made,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2023-02-07T01:12:51.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,93.11760840998686,45.83333333333333,1610612759,2,2,2023-02-07T01:13:49Z,90000,False,-21.0,12.0,1,right,K. Johnson reverse Layup (2 PTS),[1629640],1610612759.0,SAS,reverse,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,2.41,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2023-02-07T01:13:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,5.995400788436268,50.49019607843137,1610612741,4,2,2023-02-07T01:13:14Z,110000,False,-2.0,4.0,1,left,D. DeRozan driving finger roll Layup (2 PTS),[201942],1610612741.0,CHI,driving finger roll,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,0.46,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M53.00S,2023-02-07T01:13:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.9060446780552,50.245098039215684,1610612759,4,4,2023-02-07T01:16:35Z,120000,False,1.0,5.0,1,right,J. Poeltl cutting Layup (2 PTS) (M. Branham 1 AST),"[1627751, 1631103]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.49,Made,2.0,M. Branham,1631103.0,1.0,,,,,,,,,,,,,,
14,PT10M53.00S,2023-02-07T01:13:20.7Z,1,REGULAR,foul,personal,['1freethrow'],1630245,,,1610612759,4,4,2023-02-07T01:13:32Z,140000,False,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Poeltl 1 FT),"[1630245, 1627751]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,,101283.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,
16,PT10M53.00S,2023-02-07T01:13:51.0Z,1,REGULAR,freethrow,1 of 1,[],1627751,,,1610612759,4,4,2023-02-07T01:13:53Z,160000,False,,,0,,MISS J. Poeltl Free Throw 1 of 1,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT10M51.00S,2023-02-07T01:13:53.0Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,4,4,2023-02-07T01:13:53Z,170000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
18,PT10M38.00S,2023-02-07T01:14:07.1Z,1,REGULAR,foul,personal,['2freethrow'],1631103,,,1610612741,4,4,2023-02-07T01:14:16Z,180000,False,,,0,,M. Branham shooting personal FOUL (1 PF) (LaVine 2 FT),"[1631103, 203897]",1610612759.0,SAS,shooting,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,101283.0,1.0,0.0,LaVine,203897.0,,,,,,,,,
