actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-30T00:10:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-30T00:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-03-30T00:10:35.7Z,1,REGULAR,jumpball,recovered,[],1627936,,,1610612741,0,0,2023-03-30T00:10:35Z,40000,False,,,0,,Jump Ball N. Vucevic vs. A. Davis: Tip to A. Caruso,"[1627936, 202696, 203076]",1610612741.0,CHI,startperiod,A. Caruso,1627936.0,Caruso,A. Caruso,Vucevic,202696.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2023-03-30T00:10:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,6.521024967148489,49.754901960784316,1610612741,0,0,2023-03-30T00:10:42Z,70000,False,1.0,9.0,1,left,MISS Z. LaVine driving Layup,[203897],1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,0.89,Missed,,,,,,,,,,,,,,,,,,
8,PT11M51.00S,2023-03-30T00:10:39.3Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,0,2023-03-30T00:10:42Z,80000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M40.00S,2023-03-30T00:10:51.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,93.38042049934296,50.0,1610612747,0,2,2023-03-30T00:11:47Z,90000,False,0.0,10.0,1,right,J. Vanderbilt cutting Layup (2 PTS) (L. James 1 AST),"[1629020, 2544]",1610612747.0,LAL,cutting,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,0.97,Made,,,,,2.0,L. James,2544.0,1.0,,,,,,,,,,
11,PT11M22.00S,2023-03-30T00:11:12.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,13.354139290407357,47.05882352941176,1610612741,0,2,2023-03-30T00:13:17Z,110000,False,15.0,73.0,1,left,MISS N. Vucevic 7' floating Shot,[202696],1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,7.45,Missed,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2023-03-30T00:11:13.2Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,0,2,2023-03-30T00:13:17Z,120000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M19.00S,2023-03-30T00:11:14.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202696,5.590000152587891,50.0,1610612741,0,2,2023-03-30T00:13:37Z,130000,False,0.0,0.0,1,left,MISS N. Vucevic putback Layup,[202696],1610612741.0,CHI,putback,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
14,PT11M18.00S,2023-03-30T00:11:15.9Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,0,2,2023-03-30T00:13:37Z,140000,False,,,0,,N. Vucevic REBOUND (Off:2 Def:0),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,13.0,2.0,0.0,2.0,,,,,,,,,,,,,,
15,PT11M18.00S,2023-03-30T00:11:16.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202696,5.590000152587891,50.0,1610612741,2,2,2023-03-30T00:14:07Z,150000,False,0.0,0.0,1,left,N. Vucevic putback Layup (2 PTS),[202696],1610612741.0,CHI,putback,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M51.00S,2023-03-30T00:11:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,93.9060446780552,53.92156862745098,1610612747,2,2,2023-03-30T00:11:42Z,160000,False,20.0,5.0,1,right,MISS L. James driving Layup,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2023-03-30T00:11:40.7Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612747,2,2,2023-03-30T00:11:40Z,170000,False,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
