actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2023-01-01T00:10:55.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-01T00:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-01T00:11:03.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612741,0,0,2023-01-01T00:11:03Z,40000,False,,,0,,Jump Ball N. Vucevic vs. J. Allen: Tip to Team (CHI),"[202696, 1628386]",1610612741.0,CHI,startperiod,Team (CHI),Vucevic,202696.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-01-01T00:11:26.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630172,6.258212877792378,51.71568627450981,1610612741,2,0,2023-01-01T00:11:35Z,70000,False,-9.0,6.0,1,left,P. Williams driving Layup (2 PTS),[1630172],1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,1.07,Made,2.0,Williams,P. Williams,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2023-01-01T00:11:44.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,86.94152431011827,60.29411764705882,1610612739,2,0,2023-01-01T00:11:51Z,90000,False,51.0,70.0,1,right,MISS D. Mitchell 8' driving floating Shot,[1628378],1610612739.0,CLE,driving floating,,,,,,In The Paint (Non-RA),8-16 Right,8.71,Missed,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2023-01-01T00:11:49.5Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,2,0,2023-01-01T00:11:49Z,100000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Allen,J. Allen,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M20.00S,2023-01-01T00:11:52.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201567,90.93298291721419,2.7190563725490198,1610612739,2,3,2023-01-01T00:12:01Z,140000,False,-236.0,33.0,1,right,K. Love 3PT  (3 PTS) (J. Allen 1 AST),"[201567, 1628386]",1610612739.0,CLE,,,,,,,Left Corner 3,24+ Left,23.87,Made,3.0,Love,K. Love,,,,,J. Allen,1628386.0,1.0,,,,,,,,,,,
16,PT11M08.00S,2023-01-01T00:12:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630172,5.995400788436268,47.05882352941176,1610612741,4,3,2023-01-01T00:12:09Z,160000,False,15.0,4.0,1,left,P. Williams driving Layup (4 PTS) (Z. LaVine 1 AST),"[1630172, 203897]",1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,1.52,Made,4.0,Williams,P. Williams,,,,,Z. LaVine,203897.0,1.0,,,,,,,,,,,
18,PT10M53.00S,2023-01-01T00:12:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,94.03745072273325,46.568627450980394,1610612739,4,5,2023-01-01T00:12:25Z,180000,False,-17.0,4.0,1,right,C. LeVert driving reverse Layup (2 PTS),[1627747],1610612739.0,CLE,driving reverse,,,,,,Restricted Area,0-8 Center,1.76,Made,2.0,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,
19,PT10M38.00S,2023-01-01T00:12:35.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630172,5.863994743758213,49.26470588235294,1610612741,6,5,2023-01-01T00:12:40Z,190000,False,4.0,3.0,1,left,P. Williams cutting DUNK (6 PTS) (A. Dosunmu 1 AST),"[1630172, 1630245]",1610612741.0,CHI,cutting,,,,,,Restricted Area,0-8 Center,0.45,Made,6.0,Williams,P. Williams,,,,,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,
21,PT10M20.00S,2023-01-01T00:12:53.2Z,1,REGULAR,3pt,Jump Shot,[],201567,67.49342969776609,22.058823529411764,1610612739,6,8,2023-01-01T00:13:01Z,210000,False,-140.0,253.0,1,right,K. Love 28' 3PT  (6 PTS) (C. LeVert 1 AST),"[201567, 1627747]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,28.91,Made,6.0,Love,K. Love,,,,,C. LeVert,1627747.0,1.0,,,,,,,,,,,
