actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-23T00:14:07.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-23T00:14:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-23T00:14:11.0Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2022-10-23T00:14:11Z,40000,,,0,,Jump Ball J. Allen vs. N. Vucevic: Tip to D. Mitchell,"[1628378, 1628386, 202696]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-10-23T00:14:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,93.9060446780552,52.94117647058824,1610612739,0,0,2022-10-23T00:14:33Z,70000,15.0,5.0,1,right,MISS I. Okoro driving Layup - blocked,"[1630171, 202696]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,1.55,Missed,Vucevic,202696.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-10-23T00:14:25.5Z,1,REGULAR,block,,[],202696,,,1610612739,0,0,2022-10-23T00:14:28Z,80000,,,0,,N. Vucevic BLOCK (1 BLK),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-10-23T00:14:29.5Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,0,2022-10-23T00:14:33Z,90000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M35.00S,2022-10-23T00:14:31.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627747,68.67608409986859,68.38235294117648,1610612739,0,0,2022-10-23T00:14:40Z,100000,92.0,242.0,1,right,MISS C. LeVert 25' 3PT,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Right Center,25.88,Missed,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2022-10-23T00:14:36.9Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,0,0,2022-10-23T00:14:40Z,110000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M14.00S,2022-10-23T00:14:52.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202696,4.944152431011826,50.245098039215684,1610612741,2,0,2022-10-23T00:14:57Z,120000,-1.0,-6.0,1,left,N. Vucevic cutting DUNK (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,cutting,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,0.61,Made,,,,,,,2.0,Z. LaVine,203897.0,1.0,,,,,,,,
14,PT10M54.00S,2022-10-23T00:15:12.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,88.91261498028909,51.470588235294116,1610612739,2,2,2022-10-23T00:15:18Z,140000,7.0,52.0,1,right,E. Mobley driving Hook (2 PTS),[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,5.22,Made,,,,,,,2.0,,,,,,,,,,,
15,PT10M32.00S,2022-10-23T00:15:34.1Z,1,REGULAR,3pt,Jump Shot,[],203897,22.552562417871222,88.48039215686273,1610612741,5,2,2022-10-23T00:15:39Z,150000,-192.0,159.0,1,left,Z. LaVine 24' 3PT step back (3 PTS) (N. Vucevic 1 AST),"[203897, 202696]",1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,24.99,Made,,,,,,,3.0,N. Vucevic,202696.0,1.0,,,,,,,,
