actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-14T01:10:14.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-14T01:10:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-14T01:10:17.0Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2023-01-14T01:10:17Z,40000,False,,,0,,Jump Ball M. Muscala vs. N. Vucevic: Tip to L. Dort,"[1629652, 203488, 202696]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Muscala,203488.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2023-01-14T01:10:20.7Z,1,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612760,0,0,2023-01-14T01:10:30Z,70000,False,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Dort 2 FT),"[1630245, 1629652]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,203592.0,1.0,0.0,Dort,1629652.0,,,,,,,,,,,,,,,
9,PT11M57.00S,2023-01-14T01:10:43.2Z,1,REGULAR,freethrow,1 of 2,[],1629652,,,1610612760,0,1,2023-01-14T01:11:07Z,90000,False,,,0,,L. Dort Free Throw 1 of 2 (1 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M57.00S,2023-01-14T01:10:43.2Z,1,REGULAR,freethrow,2 of 2,[],1629652,,,1610612760,0,2,2023-01-14T01:11:07Z,100000,False,,,0,,L. Dort Free Throw 2 of 2 (2 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M38.00S,2023-01-14T01:11:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627936,6.915243101182654,48.28431372549019,1610612741,2,2,2023-01-14T01:11:26Z,110000,False,9.0,13.0,1,left,A. Caruso cutting Layup (2 PTS) (N. Vucevic 1 AST),"[1627936, 202696]",1610612741.0,CHI,cutting,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.52,N. Vucevic,202696.0,1.0,,,,,,,,,
13,PT11M28.00S,2023-01-14T01:11:30.9Z,1,REGULAR,3pt,Jump Shot,[],203488,70.90998685939553,20.833333333333336,1610612760,2,5,2023-01-14T01:11:36Z,130000,False,-146.0,221.0,1,right,M. Muscala 26' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[203488, 1628983]",1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,26.47,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,
15,PT11M13.00S,2023-01-14T01:11:46.5Z,1,REGULAR,3pt,Jump Shot,[],203897,32.14520367936925,31.372549019607842,1610612741,2,5,2023-01-14T01:12:33Z,150000,False,93.0,250.0,1,left,MISS Z. LaVine 26' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,26.65,,,,,,,,,,,,
16,PT11M10.00S,2023-01-14T01:11:49.5Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,2,5,2023-01-14T01:11:50Z,160000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT11M04.00S,2023-01-14T01:11:56.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,92.85479632063075,46.32352941176471,1610612760,2,5,2023-01-14T01:12:04Z,170000,False,-18.0,15.0,1,right,MISS J. Giddey driving Layup - blocked,"[1630581, 1630172]",1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.36,,,,,,,,Williams,1630172.0,,,
