actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-02T19:40:40.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-02T19:40:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-02T19:40:43.6Z,1,REGULAR,jumpball,recovered,[],1630214,,,1610612763,0,0,2023-04-02T19:40:43Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. N. Vucevic: Tip to X. Tillman,"[1630214, 1628991, 202696]",1610612763.0,MEM,startperiod,X. Tillman,1630214.0,Tillman,X. Tillman,Jackson Jr.,1628991.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-04-02T19:40:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,6.258212877792378,46.07843137254902,1610612763,0,0,2023-04-02T19:40:59Z,70000,False,20.0,6.0,1,left,MISS J. Jackson Jr. driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.06,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-04-02T19:40:57.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2023-04-02T19:40:59Z,80000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-04-02T19:41:09.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,85.75886990801577,51.225490196078425,1610612741,0,0,2023-04-02T19:41:13Z,90000,False,6.0,81.0,1,right,MISS N. Vucevic 8' turnaround Shot,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,8.16,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2023-04-02T19:41:11.2Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,0,2023-04-02T19:41:13Z,100000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M21.00S,2023-04-02T19:41:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,12.828515111695138,49.01960784313725,1610612763,0,0,2023-04-02T19:41:23Z,110000,False,5.0,68.0,1,left,MISS J. Morant 6' driving floating Shot - blocked,"[1629630, 1627936]",1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,6.83,Missed,,,,,Caruso,1627936.0,,,,,,,,,,,,
12,PT11M21.00S,2023-04-02T19:41:18.5Z,1,REGULAR,block,,[],1627936,,,1610612763,0,0,2023-04-02T19:41:20Z,120000,False,,,0,,A. Caruso BLOCK (1 BLK),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2023-04-02T19:41:21.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2023-04-02T19:41:23Z,130000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT11M12.00S,2023-04-02T19:41:27.1Z,1,REGULAR,3pt,Jump Shot,[],201976,69.20170827858082,73.2843137254902,1610612741,0,0,2023-04-02T19:41:33Z,140000,False,116.0,237.0,1,right,MISS P. Beverley 26' pullup 3PT,[201976],1610612741.0,CHI,pullup,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Right Center,26.4,Missed,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2023-04-02T19:41:30.1Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,0,2023-04-02T19:41:33Z,150000,False,,,0,,J. Morant REBOUND (Off:0 Def:2),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M54.00S,2023-04-02T19:41:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630214,7.046649145860711,46.568627450980394,1610612763,0,2,2023-04-02T19:42:03Z,170000,False,17.0,14.0,1,left,X. Tillman Layup (2 PTS),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,2.2,Made,,,,,,,2.0,,,,,,,,,,,
18,PT10M31.00S,2023-04-02T19:42:19.8Z,1,REGULAR,3pt,Jump Shot,[],203897,64.73390275952694,36.76470588235294,1610612741,0,2,2023-04-02T19:42:25Z,180000,False,-66.0,279.0,1,right,MISS Z. LaVine 28' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,28.67,Missed,,,,,,,,,,,,,,,,,,
19,PT10M28.00S,2023-04-02T19:42:22.8Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,2,2023-04-02T19:42:25Z,190000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M20.00S,2023-04-02T19:42:31.9Z,1,REGULAR,3pt,Jump Shot,[],1628415,25.969119579500656,21.07843137254902,1610612763,0,2,2023-04-02T19:42:38Z,200000,False,145.0,192.0,1,left,MISS D. Brooks 24' step back 3PT,[1628415],1610612763.0,MEM,step back,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,24.0,Missed,,,,,,,,,,,,,,,,,,
21,PT10M16.00S,2023-04-02T19:42:35.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,2,2023-04-02T19:42:38Z,210000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,20.0,3.0,3.0,0.0,,,,,,,,,,,,,,
22,PT10M04.00S,2023-04-02T19:42:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201976,88.78120893561103,51.9607843137255,1610612741,0,2,2023-04-02T19:42:54Z,220000,False,10.0,53.0,1,right,MISS P. Beverley driving floating Shot,[201976],1610612741.0,CHI,driving floating,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,5.39,Missed,,,,,,,,,,,,,,,,,,
