actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-25T00:10:53.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-25T00:10:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-25T00:10:56.6Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2022-10-25T00:10:56Z,40000,,,0,,Jump Ball A. Horford vs. N. Vucevic: Tip to J. Brown,"[1627759, 201143, 202696]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Horford,201143.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-10-25T00:11:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.93495400788436,53.431372549019606,1610612738,0,2,2022-10-25T00:11:18Z,70000,17.0,23.0,1,right,J. Tatum driving Layup (2 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.9,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
8,PT11M24.00S,2022-10-25T00:11:29.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630172,8.229303547963205,47.05882352941176,1610612741,0,2,2022-10-25T00:12:07Z,80000,15.0,25.0,1,left,MISS P. Williams driving Layup,[1630172],1610612741.0,CHI,driving,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,2.89,Missed,,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-10-25T00:11:32.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,2,2022-10-25T00:11:34Z,90000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,
10,PT11M13.00S,2022-10-25T00:11:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.64323258869908,52.20588235294118,1610612738,0,4,2022-10-25T00:11:43Z,100000,11.0,7.0,1,right,J. Brown driving Layup (2 PTS) (D. White 2 AST),"[1627759, 1628401]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.32,Made,2.0,D. White,1628401.0,2.0,,,,,,,,,,,,,,
12,PT10M58.00S,2022-10-25T00:11:57.4Z,1,REGULAR,turnover,out-of-bounds,[],1630245,,,1610612741,0,4,2022-10-25T00:12:04Z,120000,,,0,,A. Dosunmu lost ball out-of-bounds TURNOVER (1 TO),[1630245],1610612741.0,CHI,lost ball,,,Dosunmu,A. Dosunmu,,,,,Left Corner 3,24+ Left,,,,,,,,,,,203054.0,1.0,,,,,,,,
13,PT10M47.00S,2022-10-25T00:12:13.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628369,93.11760840998686,50.49019607843137,1610612738,0,6,2022-10-25T00:12:27Z,130000,2.0,12.0,1,right,J. Tatum cutting DUNK (4 PTS) (D. White 3 AST),"[1628369, 1628401]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.25,Made,4.0,D. White,1628401.0,3.0,,,,,,,,,,,,,,
16,PT10M25.00S,2022-10-25T00:12:43.4Z,1,REGULAR,2pt,Jump Shot,[],203897,23.99802890932983,28.186274509803923,1610612741,0,6,2022-10-25T00:12:50Z,150000,109.0,173.0,1,left,MISS Z. LaVine 20' step back Shot,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Right Center,20.46,Missed,,,,,,,,,,,,,,,,,,
17,PT10M23.00S,2022-10-25T00:12:45.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,6,2022-10-25T00:12:45Z,160000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M16.00S,2022-10-25T00:12:53.3Z,1,REGULAR,3pt,Jump Shot,[],201143,72.48685939553219,19.11764705882353,1610612738,0,6,2022-10-25T00:13:01Z,170000,-154.0,206.0,1,right,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,25.75,Missed,,,,,,,,,,,,,,,,,,
19,PT10M14.00S,2022-10-25T00:12:55.3Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,0,6,2022-10-25T00:13:01Z,180000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
