actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-25T01:12:26.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-25T01:12:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-25T01:12:29.8Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612751,0,0,2023-02-25T01:12:29Z,40000,False,,,0,,Jump Ball N. Claxton vs. N. Vucevic: Tip to S. Dinwiddie,"[203915, 1629651, 202696]",1610612751.0,BKN,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Claxton,1629651.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-02-25T01:12:38.6Z,1,REGULAR,turnover,bad pass,[],1627827,,,1610612751,0,0,2023-02-25T01:12:44Z,70000,False,,,0,,D. Finney-Smith bad pass TURNOVER (1 TO),"[1627827, 201942]",1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,16-24 Left Center,1.0,DeRozan,201942.0,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2023-02-25T01:12:38.6Z,1,REGULAR,steal,,[],201942,,,1610612741,0,0,2023-02-25T01:13:34Z,80000,False,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2023-02-25T01:12:46.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201942,4.155716162943495,95.83333333333334,1610612741,0,0,2023-02-25T01:12:54Z,90000,False,-229.0,-13.0,1,left,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Left Corner 3,24+ Left,,,,22.96,Missed,,,,,,,,,,,,,,,
10,PT11M35.00S,2023-02-25T01:12:50.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,0,0,2023-02-25T01:12:54Z,100000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M28.00S,2023-02-25T01:12:58.4Z,1,REGULAR,3pt,Jump Shot,[],203915,94.43166885676742,4.901960784313726,1610612751,0,0,2023-02-25T01:13:02Z,110000,False,-225.0,0.0,1,right,MISS S. Dinwiddie 3PT,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Left Corner 3,24+ Left,,,,22.55,Missed,,,,,,,,,,,,,,,
12,PT11M25.00S,2023-02-25T01:13:01.4Z,1,REGULAR,rebound,defensive,[],201976,,,1610612741,0,0,2023-02-25T01:13:02Z,120000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Left Corner 3,24+ Left,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M16.00S,2023-02-25T01:13:09.4Z,1,REGULAR,2pt,Jump Shot,[],203897,23.603810775295663,52.450980392156865,1610612741,2,0,2023-02-25T01:13:13Z,130000,False,-12.0,169.0,1,left,Z. LaVine 16' pullup Jump Shot (2 PTS),[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Center,,,,16.98,Made,,,,,2.0,,,,,,,,,,
14,PT11M06.00S,2023-02-25T01:13:22.5Z,1,REGULAR,turnover,out-of-bounds,[],1628969,,,1610612751,2,0,2023-02-25T01:13:29Z,140000,False,,,0,,M. Bridges step out-of-bounds TURNOVER (1 TO),[1628969],1610612751.0,BKN,step,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,1.0,,,,,,,,,,2003.0,,,,,,,,,
15,PT10M50.00S,2023-02-25T01:13:48.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202696,10.200394218134035,48.529411764705884,1610612741,4,0,2023-02-25T01:13:57Z,150000,False,7.0,43.0,1,left,N. Vucevic turnaround Hook (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,4.4,Made,,,,,2.0,,D. DeRozan,201942.0,1.0,,,,,,
17,PT10M27.00S,2023-02-25T01:14:10.4Z,1,REGULAR,3pt,Jump Shot,[],1628969,92.59198423127464,3.9215686274509802,1610612751,4,0,2023-02-25T01:14:17Z,170000,False,-230.0,17.0,1,right,MISS M. Bridges 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,,23.1,Missed,,,,,,,,,,,,,,,
18,PT10M24.00S,2023-02-25T01:14:13.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,4,0,2023-02-25T01:14:13Z,180000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Left Corner 3,24+ Left,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M14.00S,2023-02-25T01:14:43.9Z,1,REGULAR,2pt,Jump Shot,[],201942,19.793035479632064,25.0,1610612741,6,0,2023-02-25T01:14:47Z,200000,False,125.0,134.0,1,left,D. DeRozan 18' pullup Jump Shot (2 PTS) (P. Beverley 1 AST),"[201942, 201976]",1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,,,,18.3,Made,,,,,2.0,,P. Beverley,201976.0,1.0,,,,,,
22,PT10M02.00S,2023-02-25T01:14:58.0Z,1,REGULAR,turnover,traveling,[],1628969,,,1610612751,6,0,2023-02-25T01:15:03Z,220000,False,,,0,,M. Bridges traveling TURNOVER (2 TO),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,2.0,,,,,,,,,,1193.0,,,,,,,,,
23,PT09M50.00S,2023-02-25T01:15:20.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201942,27.808804204993432,53.67647058823529,1610612741,8,0,2023-02-25T01:15:35Z,230000,False,-18.0,209.0,1,left,D. DeRozan 20' pullup Jump Shot (4 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,,,,20.97,Made,,,,,4.0,,,,,,,,,,
24,PT09M50.00S,2023-02-25T01:15:24.6Z,1,REGULAR,foul,personal,['1freethrow'],1629661,,,1610612741,8,0,2023-02-25T01:15:29Z,240000,False,,,0,,C. Johnson shooting personal FOUL (1 PF) (DeRozan 1 FT),"[1629661, 201942]",1610612751.0,BKN,shooting,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,202901.0,,,,1.0,0.0,DeRozan,201942.0,,
26,PT09M50.00S,2023-02-25T01:15:47.7Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],201942,,,1610612741,9,0,2023-02-25T01:15:47Z,260000,False,,,0,,D. DeRozan Free Throw 1 of 1 (5 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,Made,,,,,5.0,,,,,,,,,,
27,PT09M25.00S,2023-02-25T01:16:14.5Z,1,REGULAR,3pt,Jump Shot,[],1628969,96.66557161629436,96.81372549019608,1610612751,9,0,2023-02-25T01:16:18Z,270000,False,234.0,-21.0,1,right,MISS M. Bridges 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,,23.51,Missed,,,,,,,,,,,,,,,
