actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-16T00:10:33.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-16T00:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-03-16T00:10:39.0Z,1,REGULAR,jumpball,recovered,[],203897,,,1610612741,0,0,2023-03-16T00:10:39Z,40000,False,,,0,,Jump Ball N. Vucevic vs. D. Sabonis: Tip to Z. LaVine,"[203897, 202696, 1627734]",1610612741.0,CHI,startperiod,Z. LaVine,203897.0,LaVine,Z. LaVine,Vucevic,202696.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-03-16T00:10:48.4Z,1,REGULAR,turnover,bad pass,[],201942,,,1610612741,0,0,2023-03-16T00:10:52Z,70000,False,,,0,,D. DeRozan bad pass TURNOVER (1 TO),"[201942, 1628368]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,1.0,Fox,1628368.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-03-16T00:10:48.4Z,1,REGULAR,steal,,[],1628368,,,1610612758,0,0,2023-03-16T00:10:51Z,80000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-03-16T00:10:52.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628368,92.85479632063075,50.245098039215684,1610612758,0,2,2023-03-16T00:10:58Z,90000,False,1.0,15.0,1,right,D. Fox running DUNK (2 PTS),[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,1.47,Made,2.0,,,,,,,,,,,,,,
10,PT11M19.00S,2023-03-16T00:11:13.1Z,1,REGULAR,2pt,Jump Shot,[],202696,3.3672798948751645,84.80392156862744,1610612741,2,2,2023-03-16T00:12:15Z,100000,False,-174.0,-21.0,1,left,N. Vucevic 17' Jump Shot (2 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Left,,,,17.52,Made,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,
12,PT11M03.00S,2023-03-16T00:11:31.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,88.51839684625493,50.245098039215684,1610612758,2,2,2023-03-16T00:11:44Z,120000,False,1.0,55.0,1,right,MISS H. Barnes driving floating Shot,[203084],1610612758.0,SAC,driving floating,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,5.54,Missed,,,,,,,,,,,,,,,
13,PT11M01.00S,2023-03-16T00:11:33.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,2,2,2023-03-16T00:11:44Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,12.0,,,,,,,,,,
14,PT10M49.00S,2023-03-16T00:11:49.0Z,1,REGULAR,2pt,Jump Shot,[],202696,17.559132720105126,23.03921568627451,1610612741,4,2,2023-03-16T00:11:54Z,140000,False,135.0,113.0,1,left,N. Vucevic 17' pullup Jump Shot (4 PTS) (P. Beverley 1 AST),"[202696, 201976]",1610612741.0,CHI,pullup,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right Center,,,,17.56,Made,4.0,P. Beverley,201976.0,1.0,,,,,,,,,,,
16,PT10M35.00S,2023-03-16T00:12:03.6Z,1,REGULAR,3pt,Jump Shot,[],1631099,87.20433639947439,3.6764705882352944,1610612758,4,2,2023-03-16T00:12:08Z,160000,False,-232.0,68.0,1,right,MISS K. Murray 24' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Left Corner 3,24+ Left,,,,24.13,Missed,,,,,,,,,,,,,,,
17,PT10M32.00S,2023-03-16T00:12:06.6Z,1,REGULAR,rebound,defensive,[],201976,,,1610612741,4,2,2023-03-16T00:12:08Z,170000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Left Corner 3,24+ Left,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
