actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-27T00:10:22.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-27T00:10:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-27T00:10:25.4Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612754,0,0,2022-10-27T00:10:25Z,40000,,,0,,Jump Ball M. Turner vs. N. Vucevic: Tip to T. Haliburton,"[1630169, 1626167, 202696]",1610612754.0,IND,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Turner,1626167.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-10-27T00:10:44.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630174,93.64323258869908,47.794117647058826,1610612754,0,2,2022-10-27T00:11:49Z,70000,-11.0,7.0,1,right,A. Nesmith driving reverse DUNK (2 PTS) (M. Turner 1 AST),"[1630174, 1626167]",1610612754.0,IND,driving reverse,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,1.32,Made,2.0,M. Turner,1626167.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-10-27T00:11:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630172,7.966491458607096,51.71568627450981,1610612741,0,2,2022-10-27T00:11:04Z,90000,-9.0,22.0,1,left,MISS P. Williams driving Layup,[1630172],1610612741.0,CHI,driving,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,2.4,Missed,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2022-10-27T00:11:03.6Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,2,2022-10-27T00:11:04Z,110000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M16.00S,2022-10-27T00:11:05.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,72.7496714848883,81.37254901960785,1610612754,0,5,2022-10-27T00:11:14Z,120000,157.0,204.0,1,right,B. Hield 25' 3PT  (3 PTS) (T. Haliburton 1 AST),"[1627741, 1630169]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,25.71,Made,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
14,PT10M56.00S,2022-10-27T00:11:24.9Z,1,REGULAR,3pt,Jump Shot,[],1630172,26.49474375821288,19.11764705882353,1610612741,3,5,2022-10-27T00:11:30Z,140000,154.0,197.0,1,left,P. Williams 25' 3PT  (3 PTS) (A. Dosunmu 1 AST),"[1630172, 1630245]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,25.0,Made,3.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,
16,PT10M44.00S,2022-10-27T00:11:37.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,92.9862023653088,49.50980392156863,1610612754,3,5,2022-10-27T00:11:51Z,160000,-2.0,13.0,1,right,MISS J. Smith driving Layup,[1630188],1610612754.0,IND,driving,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,1.36,Missed,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2022-10-27T00:11:39.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,3,5,2022-10-27T00:11:51Z,170000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M33.00S,2022-10-27T00:11:48.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,15.062417871222076,46.81372549019608,1610612741,5,5,2022-10-27T00:11:54Z,180000,16.0,89.0,1,left,N. Vucevic 9' Jump Shot (2 PTS) (A. Dosunmu 2 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,9.05,Made,2.0,A. Dosunmu,1630245.0,2.0,,,,,,,,,,,,,,
