actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-06T22:11:42.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-06T22:11:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-06T22:11:44.2Z,1,REGULAR,jumpball,recovered,[],1641739,,,1610612757,0,0,2025-04-06T22:11:44Z,40000,False,,,0,,Jump Ball D. Clingan vs. B. Biyombo: Tip to T. Camara,"[1641739, 1642270, 202687]",1610612757.0,POR,startperiod,T. Camara,1641739.0,Camara,T. Camara,Clingan,1642270.0,Biyombo,202687.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-04-06T22:11:56.3Z,1,REGULAR,3pt,Jump Shot,[],1631101,34.11629434954008,50.73529411764706,1610612757,3,0,2025-04-06T22:12:02Z,70000,False,-4.0,268.0,1,left,S. Sharpe 26' 3PT  (3 PTS) (D. Banton 1 AST),"[1631101, 1630625]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,26.82,Made,3.0,D. Banton,1630625.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2025-04-06T22:12:16.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202687,87.46714848883047,34.068627450980394,1610612759,3,0,2025-04-06T22:12:40Z,90000,False,-80.0,65.0,1,right,MISS B. Biyombo 10' floating Shot,[202687],1610612759.0,SAS,floating,,,Biyombo,B. Biyombo,,,,,In The Paint (Non-RA),8-16 Left,10.3,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2025-04-06T22:12:18.3Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612757,3,0,2025-04-06T22:12:21Z,100000,False,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M10.00S,2025-04-06T22:12:31.1Z,1,REGULAR,3pt,Jump Shot,[],1630625,6.258212877792378,96.32352941176471,1610612757,3,0,2025-04-06T22:12:35Z,110000,False,-232.0,6.0,1,left,MISS D. Banton 3PT,[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,Left Corner 3,24+ Left,23.17,Missed,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2025-04-06T22:12:34.1Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,3,0,2025-04-06T22:12:35Z,120000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Left Corner 3,24+ Left,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M54.00S,2025-04-06T22:12:46.3Z,1,REGULAR,2pt,Jump Shot,[],1630170,76.95466491458606,31.862745098039213,1610612759,3,0,2025-04-06T22:12:50Z,130000,False,-91.0,164.0,1,right,MISS D. Vassell 18' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Left Center,18.75,Missed,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2025-04-06T22:12:48.3Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,3,0,2025-04-06T22:12:50Z,140000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,16-24 Left Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M49.00S,2025-04-06T22:12:54.5Z,1,REGULAR,turnover,out-of-bounds,[],1641739,,,1610612757,3,0,2025-04-06T22:14:41Z,150000,False,,,0,,T. Camara bad pass out-of-bounds TURNOVER (1 TO),[1641739],1610612757.0,POR,bad pass,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1626301.0,1.0,,,,,,,,
16,PT10M40.00S,2025-04-06T22:13:06.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642264,77.08607095926413,12.745098039215685,1610612759,3,0,2025-04-06T22:14:02Z,160000,False,-186.0,163.0,1,right,MISS S. Castle 24' pullup 3PT,[1642264],1610612759.0,SAS,pullup,,,Castle,S. Castle,,,,,Above the Break 3,24+ Left Center,24.75,Missed,,,,,,,,,,,,,,,,,,
17,PT10M38.00S,2025-04-06T22:13:08.6Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,3,0,2025-04-06T22:13:08Z,170000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M32.00S,2025-04-06T22:13:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631101,15.850854139290407,55.392156862745104,1610612757,3,0,2025-04-06T22:13:18Z,180000,False,-27.0,96.0,1,left,MISS S. Sharpe 10' driving floating Shot,[1631101],1610612757.0,POR,driving floating,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,10.02,Missed,,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2025-04-06T22:13:16.5Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,3,0,2025-04-06T22:13:18Z,190000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M22.00S,2025-04-06T22:13:27.7Z,1,REGULAR,foul,personal,['2freethrow'],1641739,,,1610612759,3,0,2025-04-06T22:13:35Z,200000,False,,,0,,T. Camara shooting personal FOUL (1 PF) (Castle 2 FT),"[1641739, 1642264]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1626301.0,,1.0,0.0,Castle,1642264.0,,,,
22,PT10M22.00S,2025-04-06T22:14:01.3Z,1,REGULAR,freethrow,1 of 2,[],1642264,,,1610612759,3,1,2025-04-06T22:14:24Z,220000,False,,,0,,S. Castle Free Throw 1 of 2 (1 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
23,PT10M22.00S,2025-04-06T22:14:01.3Z,1,REGULAR,freethrow,2 of 2,[],1642264,,,1610612759,3,1,2025-04-06T22:14:24Z,230000,False,,,0,,MISS S. Castle Free Throw 2 of 2,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
24,PT10M20.00S,2025-04-06T22:14:03.3Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,3,1,2025-04-06T22:14:24Z,240000,False,,,0,,T. Camara REBOUND (Off:0 Def:2),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,
25,PT10M09.00S,2025-04-06T22:14:35.3Z,1,REGULAR,2pt,Jump Shot,[],1629680,7.835085413929041,27.450980392156865,1610612757,3,1,2025-04-06T22:17:17Z,250000,False,113.0,21.0,1,left,MISS M. Thybulle 11' driving floating Shot,[1629680],1610612757.0,POR,driving floating,,,Thybulle,M. Thybulle,,,,,Mid-Range,8-16 Right,11.47,Missed,,,,,,,,,,,,,,,,,,
26,PT10M08.00S,2025-04-06T22:14:36.3Z,1,REGULAR,rebound,offensive,[],1630625,,,1610612757,3,1,2025-04-06T22:17:17Z,260000,False,,,0,,D. Banton REBOUND (Off:1 Def:0),[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,Mid-Range,8-16 Right,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,
43,PT10M07.00S,2025-04-06T22:14:38.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630625,7.670827858081481,53.18627450980392,1610612757,3,1,2025-04-06T22:18:15Z,265000,False,-16.0,20.0,1,left,MISS D. Banton tip Layup,[1630625],1610612757.0,POR,tip,,,Banton,D. Banton,,,,,Restricted Area,0-8 Center,2.52,Missed,,,,,,,,,,,,,,,,,,
44,PT10M07.00S,2025-04-06T22:14:38.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,3,1,2025-04-06T22:18:15Z,267500,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,43.0,,,,,,,,,,,,,
28,PT10M01.00S,2025-04-06T22:15:05.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642270,24.655059132720105,89.95098039215686,1610612757,3,1,2025-04-06T22:17:45Z,280000,False,-200.0,179.0,1,left,MISS D. Clingan 26' 3PT,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,26.85,Missed,,,,,,,,,,,,,,,,,,
29,PT09M58.00S,2025-04-06T22:15:08.7Z,1,REGULAR,rebound,defensive,[],101108,,,1610612759,3,1,2025-04-06T22:15:10Z,290000,False,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M45.00S,2025-04-06T22:15:22.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202687,84.83902759526939,42.8921568627451,1610612759,3,3,2025-04-06T22:15:26Z,300000,False,-36.0,90.0,1,right,B. Biyombo 9' turnaround Hook (2 PTS),[202687],1610612759.0,SAS,turnaround,,,Biyombo,B. Biyombo,,,,,In The Paint (Non-RA),8-16 Center,9.67,Made,2.0,,,,,,,,,,,,,,,,,
31,PT09M33.00S,2025-04-06T22:15:34.1Z,1,REGULAR,3pt,Jump Shot,[],1641739,19.530223390275953,91.66666666666666,1610612757,3,3,2025-04-06T22:15:40Z,310000,False,-208.0,131.0,1,left,MISS T. Camara 24' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,24.61,Missed,,,,,,,,,,,,,,,,,,
32,PT09M31.00S,2025-04-06T22:15:36.1Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,3,3,2025-04-06T22:15:40Z,320000,False,,,0,,D. Clingan REBOUND (Off:1 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,,,,,,,31.0,2.0,1.0,1.0,,,,,,,,,,
33,PT09M31.00S,2025-04-06T22:15:39.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642270,5.995400788436268,47.794117647058826,1610612757,5,3,2025-04-06T22:15:49Z,330000,False,11.0,4.0,1,left,D. Clingan putback Layup (2 PTS),[1642270],1610612757.0,POR,putback,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,1.17,Made,2.0,,,,,,,,,,,,,,,,,
34,PT09M31.00S,2025-04-06T22:15:41.0Z,1,REGULAR,foul,personal,['1freethrow'],202687,,,1610612757,5,3,2025-04-06T22:15:46Z,340000,False,,,0,,B. Biyombo shooting personal FOUL (1 PF) (Clingan 1 FT),"[202687, 1642270]",1610612759.0,SAS,shooting,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1626301.0,,1.0,0.0,Clingan,1642270.0,,,,
36,PT09M31.00S,2025-04-06T22:16:07.2Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1642270,,,1610612757,6,3,2025-04-06T22:16:07Z,360000,False,,,0,,D. Clingan Free Throw 1 of 1 (3 PTS),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
37,PT09M17.00S,2025-04-06T22:16:30.1Z,1,REGULAR,turnover,out-of-bounds,[],101108,,,1610612759,6,3,2025-04-06T22:16:36Z,370000,False,,,0,,C. Paul bad pass out-of-bounds TURNOVER (1 TO),[101108],1610612759.0,SAS,bad pass,,,Paul,C. Paul,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,201639.0,1.0,,,,,,,,
38,PT08M54.00S,2025-04-06T22:16:57.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641739,8.229303547963205,46.568627450980394,1610612757,8,3,2025-04-06T22:17:02Z,380000,False,17.0,25.0,1,left,T. Camara driving Layup (2 PTS),[1641739],1610612757.0,POR,driving,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,3.03,Made,2.0,,,,,,,,,,,,,,,,,
39,PT08M37.00S,2025-04-06T22:17:15.3Z,1,REGULAR,2pt,Jump Shot,[],1630170,93.64323258869908,73.2843137254902,1610612759,8,5,2025-04-06T22:17:21Z,390000,False,116.0,7.0,1,right,D. Vassell 11' turnaround fadeaway Jump Shot (2 PTS),[1630170],1610612759.0,SAS,turnaround fadeaway,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Right,11.66,Made,2.0,,,,,,,,,,,,,,,,,
